Date Time	Event (Rain Bucket Tip)
01/30/04 11:00:52.0	0
01/30/04 11:00:57.0	0.01
02/01/04 09:04:51.5	0.02
02/01/04 10:23:56.0	0.03
02/02/04 01:24:48.0	0.04
02/02/04 01:40:13.0	0.05
02/02/04 06:12:35.5	0.06
02/02/04 06:17:25.0	0.07
02/02/04 08:15:37.5	0.08
02/02/04 08:24:16.0	0.09
02/02/04 09:13:27.5	0.1
02/02/04 09:15:24.5	0.11
02/02/04 09:17:40.0	0.12
02/02/04 09:21:14.5	0.13
02/02/04 09:26:19.0	0.14
02/02/04 09:30:34.0	0.15
02/02/04 09:31:59.0	0.16
02/02/04 09:35:13.0	0.17
02/02/04 09:38:36.5	0.18
02/02/04 09:42:09.5	0.19
02/02/04 09:45:20.0	0.2
02/02/04 09:47:20.0	0.21
02/02/04 09:49:10.5	0.22
02/02/04 09:50:12.5	0.23
02/02/04 09:51:31.5	0.24
02/02/04 09:53:50.5	0.25
02/02/04 09:55:59.5	0.26
02/02/04 09:58:04.5	0.27
02/02/04 09:59:31.0	0.28
02/02/04 10:01:17.5	0.29
02/02/04 10:02:00.0	0.3
02/02/04 10:02:25.0	0.31
02/02/04 10:02:41.5	0.32
02/02/04 10:02:55.5	0.33
02/02/04 10:03:06.5	0.34
02/02/04 10:03:25.0	0.35
02/02/04 10:03:43.0	0.36
02/02/04 10:04:05.5	0.37
02/02/04 10:04:23.0	0.38
02/02/04 10:04:42.5	0.39
02/02/04 10:05:06.5	0.4
02/02/04 10:05:29.5	0.41
02/02/04 10:05:51.5	0.42
02/02/04 10:06:13.0	0.43
02/02/04 10:06:31.5	0.44
02/02/04 10:06:54.0	0.45
02/02/04 10:07:15.0	0.46
02/02/04 10:07:31.5	0.47
02/02/04 10:07:48.5	0.48
02/02/04 10:08:08.0	0.49
02/02/04 10:08:36.0	0.5
02/02/04 10:08:59.0	0.51
02/02/04 10:09:41.5	0.52
02/02/04 10:10:31.0	0.53
02/02/04 10:11:32.5	0.54
02/02/04 10:12:40.0	0.55
02/02/04 10:13:55.5	0.56
02/02/04 10:15:07.0	0.57
02/02/04 10:16:39.0	0.58
02/02/04 10:18:34.5	0.59
02/02/04 10:20:03.0	0.6
02/02/04 10:21:57.5	0.61
02/02/04 10:24:33.5	0.62
02/02/04 10:27:52.0	0.63
02/02/04 10:31:01.0	0.64
02/02/04 10:33:37.5	0.65
02/02/04 10:36:49.0	0.66
02/02/04 10:39:29.5	0.67
02/02/04 10:41:58.0	0.68
02/02/04 10:45:38.0	0.69
02/02/04 10:48:41.5	0.7
02/02/04 10:52:32.5	0.71
02/02/04 10:56:55.0	0.72
02/02/04 11:01:55.0	0.73
02/02/04 11:09:03.0	0.74
02/02/04 11:15:26.5	0.75
02/02/04 11:19:18.5	0.76
02/02/04 11:22:57.0	0.77
02/02/04 11:25:27.0	0.78
02/02/04 14:55:05.0	0.79
02/02/04 17:51:48.5	0.8
02/02/04 19:00:58.5	0.81
02/02/04 19:03:09.0	0.82
02/02/04 21:37:25.5	0.83
02/02/04 23:40:38.0	0.84
02/02/04 23:51:49.0	0.85
02/03/04 00:42:10.5	0.86
02/03/04 00:57:48.5	0.87
02/03/04 02:00:33.5	0.88
02/03/04 02:28:38.0	0.89
