Serial Number:     531972     --     Series: Event (Rainfall )

Date Time	Event (Rainfall )
12/29/05 13:44:43.0	0
12/29/05 13:44:52.5	0.01
12/30/05 01:53:00.0	0.02
12/30/05 01:53:00.5	0.03
12/30/05 12:06:48.0	0.04
12/30/05 12:06:48.5	0.05
12/30/05 12:19:57.5	0.06
12/30/05 12:19:58.0	0.07
12/30/05 12:47:27.0	0.08
12/30/05 12:47:27.5	0.09
12/30/05 12:57:21.0	0.1
12/30/05 12:57:21.5	0.11
12/30/05 13:07:01.5	0.12
12/30/05 13:21:21.5	0.13
12/30/05 13:41:39.0	0.14
12/30/05 13:49:19.5	0.15
12/30/05 13:49:20.0	0.16
12/30/05 13:53:40.0	0.17
12/30/05 13:56:51.5	0.18
12/30/05 14:00:33.0	0.19
12/30/05 14:00:33.5	0.2
12/30/05 14:05:59.5	0.21
12/30/05 14:06:00.0	0.22
12/30/05 14:24:23.5	0.23
12/30/05 14:24:24.0	0.24
12/30/05 14:37:17.0	0.25
12/30/05 14:37:17.5	0.26
12/30/05 14:49:07.5	0.27
12/30/05 14:49:08.0	0.28
12/30/05 14:54:04.5	0.29
12/30/05 14:54:05.0	0.3
12/30/05 14:58:16.0	0.31
12/30/05 15:02:29.5	0.32
12/30/05 15:09:17.0	0.33
12/30/05 15:09:17.5	0.34
12/30/05 15:14:53.0	0.35
12/30/05 15:20:14.5	0.36
12/30/05 15:22:48.0	0.37
12/30/05 15:25:26.5	0.38
12/30/05 15:25:27.0	0.39
12/30/05 15:27:33.5	0.4
12/30/05 15:27:34.0	0.41
12/30/05 15:31:38.0	0.42
12/30/05 15:35:46.5	0.43
12/30/05 15:45:09.0	0.44
12/30/05 15:45:09.5	0.45
12/30/05 16:07:57.0	0.46
12/30/05 16:13:51.5	0.47
12/30/05 16:13:52.0	0.48
12/30/05 16:17:51.5	0.49
12/30/05 16:21:30.5	0.5
12/30/05 16:23:47.0	0.51
12/30/05 16:28:17.0	0.52
12/30/05 16:28:17.5	0.53
12/30/05 16:32:47.5	0.54
12/30/05 16:32:48.0	0.55
12/30/05 16:41:37.0	0.56
12/30/05 16:41:37.5	0.57
12/30/05 17:01:36.5	0.58
12/30/05 17:48:59.5	0.59
12/30/05 18:04:09.5	0.6
12/30/05 18:12:13.0	0.61
12/30/05 18:12:13.5	0.62
12/30/05 18:21:10.5	0.63
12/30/05 19:49:34.0	0.64
12/30/05 19:49:34.5	0.65
12/30/05 20:11:23.5	0.66
12/30/05 20:28:34.5	0.67
12/30/05 20:28:35.0	0.68
12/30/05 22:37:25.5	0.69
12/30/05 23:02:33.5	0.7
12/30/05 23:02:34.0	0.71
12/30/05 23:44:35.0	0.72
12/30/05 23:50:37.0	0.73
12/30/05 23:50:37.5	0.74
12/31/05 00:01:12.0	0.75
12/31/05 00:57:03.5	0.76
12/31/05 00:57:04.0	0.77
12/31/05 03:05:28.5	0.78
12/31/05 03:28:40.0	0.79
12/31/05 03:28:40.5	0.8
12/31/05 03:35:54.0	0.81
12/31/05 03:40:00.0	0.82
12/31/05 03:40:00.5	0.83
12/31/05 03:47:15.5	0.84
12/31/05 03:47:16.0	0.85
12/31/05 04:22:24.0	0.86
12/31/05 04:22:24.5	0.87
12/31/05 04:33:15.5	0.88
12/31/05 04:33:16.0	0.89
12/31/05 04:40:00.5	0.9
12/31/05 04:43:27.5	0.91
12/31/05 04:47:02.0	0.92
12/31/05 04:47:02.5	0.93
12/31/05 04:50:24.0	0.94
12/31/05 04:50:24.5	0.95
12/31/05 04:54:20.0	0.96
12/31/05 04:54:20.5	0.97
12/31/05 04:58:35.0	0.98
12/31/05 05:05:13.5	0.99
12/31/05 05:05:14.0	1
12/31/05 05:10:47.0	1.01
12/31/05 05:10:47.5	1.02
12/31/05 05:15:35.0	1.03
12/31/05 05:19:52.5	1.04
12/31/05 05:19:53.0	1.05
12/31/05 05:23:50.5	1.06
12/31/05 05:23:51.0	1.07
12/31/05 05:26:11.0	1.08
12/31/05 05:26:11.5	1.09
12/31/05 05:28:11.0	1.1
12/31/05 05:29:16.0	1.11
12/31/05 05:30:31.5	1.12
12/31/05 05:30:32.0	1.13
12/31/05 05:32:21.0	1.14
12/31/05 05:32:21.5	1.15
12/31/05 05:34:25.0	1.16
12/31/05 05:36:22.0	1.17
12/31/05 05:36:22.5	1.18
12/31/05 05:39:46.0	1.19
12/31/05 05:39:46.5	1.2
12/31/05 05:44:10.0	1.21
12/31/05 05:44:10.5	1.22
12/31/05 05:50:01.0	1.23
12/31/05 05:57:25.5	1.24
12/31/05 06:01:34.0	1.25
12/31/05 06:01:34.5	1.26
12/31/05 06:03:52.5	1.27
12/31/05 06:03:53.0	1.28
12/31/05 06:08:31.5	1.29
12/31/05 06:08:32.0	1.3
12/31/05 06:10:08.0	1.31
12/31/05 06:10:08.5	1.32
12/31/05 06:10:53.5	1.33
12/31/05 06:10:54.0	1.34
12/31/05 06:11:27.0	1.35
12/31/05 06:11:27.5	1.36
12/31/05 06:12:26.0	1.37
12/31/05 06:13:12.5	1.38
12/31/05 06:14:35.0	1.39
12/31/05 06:14:35.5	1.4
12/31/05 06:17:30.0	1.41
12/31/05 06:20:21.0	1.42
12/31/05 06:22:54.5	1.43
12/31/05 06:22:55.0	1.44
12/31/05 06:26:17.5	1.45
12/31/05 06:26:18.0	1.46
12/31/05 06:28:34.0	1.47
12/31/05 06:30:56.0	1.48
12/31/05 06:32:47.0	1.49
12/31/05 06:34:07.5	1.5
12/31/05 06:35:32.5	1.51
12/31/05 06:35:33.0	1.52
12/31/05 06:37:25.0	1.53
12/31/05 06:37:25.5	1.54
12/31/05 06:40:29.0	1.55
12/31/05 06:40:29.5	1.56
12/31/05 06:43:14.0	1.57
12/31/05 06:43:14.5	1.58
12/31/05 06:45:33.0	1.59
12/31/05 06:45:33.5	1.6
12/31/05 06:49:18.5	1.61
12/31/05 06:49:19.0	1.62
12/31/05 06:53:29.5	1.63
12/31/05 06:57:49.0	1.64
12/31/05 07:01:11.5	1.65
12/31/05 07:01:12.0	1.66
12/31/05 07:04:30.0	1.67
12/31/05 07:04:30.5	1.68
12/31/05 07:08:22.5	1.69
12/31/05 07:11:20.5	1.7
12/31/05 07:15:22.0	1.71
12/31/05 07:15:22.5	1.72
12/31/05 07:21:15.5	1.73
12/31/05 07:21:16.0	1.74
12/31/05 07:26:17.5	1.75
12/31/05 07:27:34.0	1.76
12/31/05 07:27:34.5	1.77
12/31/05 07:29:06.5	1.78
12/31/05 07:29:07.0	1.79
12/31/05 07:33:11.0	1.8
12/31/05 07:40:41.0	1.81
12/31/05 07:49:47.5	1.82
12/31/05 07:49:48.0	1.83
01/01/06 08:02:40.0	1.84
01/01/06 08:02:40.5	1.85
01/01/06 08:13:03.5	1.86
01/01/06 08:13:04.0	1.87
01/01/06 08:18:25.0	1.88
01/01/06 08:22:38.5	1.89
01/01/06 08:25:14.5	1.9
01/01/06 08:25:15.0	1.91
01/01/06 08:28:32.5	1.92
01/01/06 08:28:33.0	1.93
01/01/06 08:32:50.5	1.94
01/01/06 08:36:59.5	1.95
01/01/06 08:37:00.0	1.96
01/01/06 08:43:24.5	1.97
01/01/06 08:43:25.0	1.98
01/01/06 08:51:13.5	1.99
01/01/06 08:51:14.0	2
01/01/06 08:55:08.5	2.01
01/01/06 08:57:50.0	2.02
01/01/06 08:57:50.5	2.03
01/01/06 09:00:11.5	2.04
01/01/06 09:02:14.0	2.05
01/01/06 09:02:14.5	2.06
01/01/06 09:04:38.0	2.07
01/01/06 09:06:39.0	2.08
01/01/06 09:09:00.5	2.09
01/01/06 09:09:01.0	2.1
01/01/06 09:13:42.5	2.11
01/01/06 09:13:43.0	2.12
01/01/06 09:19:08.5	2.13
01/01/06 10:34:26.5	2.14
01/01/06 10:34:27.0	2.15
01/01/06 10:59:54.5	2.16
01/01/06 10:59:55.0	2.17
01/01/06 11:04:34.5	2.18
01/01/06 11:09:24.5	2.19
01/01/06 11:09:25.0	2.2
01/01/06 11:55:27.5	2.21
01/01/06 11:55:28.0	2.22
01/01/06 12:05:10.5	2.23
01/01/06 12:05:11.0	2.24
01/01/06 12:12:34.5	2.25
01/01/06 12:12:35.0	2.26
01/01/06 12:18:21.5	2.27
01/01/06 12:24:31.0	2.28
01/01/06 12:24:31.5	2.29
