Serial Number:     531972     --     Series: Event (Rainfall )

Date Time	Event (Rainfall )
09/06/07 13:13:48.0	0
09/06/07 13:14:22.5	0.01
09/06/07 13:14:25.5	0.02
09/21/07 19:20:14.0	0.03
09/21/07 19:21:13.0	0.04
09/21/07 19:22:13.5	0.05
09/21/07 19:23:11.5	0.06
09/22/07 01:04:55.5	0.07
09/22/07 01:20:01.0	0.08
09/22/07 01:28:33.0	0.09
09/22/07 01:43:03.5	0.1
09/22/07 02:04:08.5	0.11
09/22/07 04:43:14.0	0.12
09/22/07 04:59:51.0	0.13
09/22/07 05:06:15.5	0.14
09/22/07 05:18:29.0	0.15
09/22/07 05:24:06.0	0.16
09/22/07 05:30:56.5	0.17
09/22/07 05:33:49.5	0.18
09/22/07 05:37:45.5	0.19
09/22/07 05:41:20.0	0.2
09/22/07 05:49:23.0	0.21
09/22/07 05:57:25.5	0.22
09/22/07 06:43:00.0	0.23
09/22/07 08:18:48.0	0.24
09/22/07 08:33:32.0	0.25
09/22/07 09:01:40.0	0.26
09/22/07 11:10:41.5	0.27
09/22/07 11:59:01.0	0.28
09/26/07 11:44:46.0	0.28
