Date Time	Event (Rain Bucket Tip)
02/14/03 14:38:14.0	0
02/14/03 14:38:28.5	0.01
02/14/03 14:38:59.5	0.02
02/15/03 17:01:06.0	0.03
02/15/03 17:45:10.0	0.04
02/15/03 17:50:09.5	0.05
02/15/03 17:53:52.5	0.06
02/15/03 17:58:26.0	0.07
02/15/03 18:05:06.0	0.08
02/15/03 18:12:30.5	0.09
02/15/03 18:27:30.0	0.1
02/15/03 18:38:32.5	0.11
02/15/03 18:44:53.5	0.12
02/15/03 18:55:48.0	0.13
02/15/03 19:15:48.0	0.14
02/15/03 19:20:48.5	0.15
02/15/03 19:43:42.5	0.16
02/15/03 19:52:08.5	0.17
02/15/03 19:56:34.5	0.18
02/15/03 20:06:31.0	0.19
02/15/03 20:15:49.5	0.2
02/15/03 20:20:04.5	0.21
02/15/03 20:23:16.0	0.22
02/15/03 20:27:46.0	0.23
02/15/03 20:32:04.0	0.24
02/15/03 20:39:26.0	0.25
02/15/03 21:04:33.0	0.26
02/15/03 21:13:34.5	0.27
02/15/03 21:19:31.5	0.28
02/15/03 21:24:19.5	0.29
02/15/03 21:30:12.5	0.3
02/15/03 21:37:54.0	0.31
02/15/03 21:49:45.5	0.32
02/15/03 21:57:39.0	0.33
02/15/03 22:32:36.0	0.34
02/15/03 22:45:05.5	0.35
02/15/03 22:48:21.0	0.36
02/15/03 22:51:08.5	0.37
02/15/03 22:57:05.0	0.38
02/15/03 23:02:45.5	0.39
02/15/03 23:06:02.5	0.4
02/15/03 23:08:57.0	0.41
02/15/03 23:11:21.5	0.42
02/15/03 23:13:10.0	0.43
02/15/03 23:14:39.5	0.44
02/15/03 23:15:44.5	0.45
02/15/03 23:16:56.5	0.46
02/15/03 23:18:12.5	0.47
02/15/03 23:19:35.5	0.48
02/15/03 23:20:57.0	0.49
02/15/03 23:22:31.0	0.5
02/15/03 23:24:24.0	0.51
02/15/03 23:26:12.0	0.52
02/15/03 23:27:36.5	0.53
02/15/03 23:28:26.5	0.54
02/15/03 23:29:03.5	0.55
02/15/03 23:29:39.0	0.56
02/15/03 23:30:08.0	0.57
02/15/03 23:30:46.5	0.58
02/15/03 23:31:21.0	0.59
02/15/03 23:32:04.0	0.6
02/15/03 23:32:34.0	0.61
02/15/03 23:33:15.0	0.62
02/15/03 23:34:03.0	0.63
02/15/03 23:35:03.5	0.64
02/15/03 23:35:55.5	0.65
02/15/03 23:36:34.0	0.66
02/15/03 23:37:03.5	0.67
02/15/03 23:38:03.0	0.68
02/15/03 23:38:59.5	0.69
02/15/03 23:40:28.0	0.7
02/15/03 23:42:40.5	0.71
02/15/03 23:45:03.0	0.72
02/15/03 23:47:04.0	0.73
02/15/03 23:49:57.5	0.74
02/15/03 23:52:47.0	0.75
02/15/03 23:55:23.5	0.76
02/15/03 23:57:48.5	0.77
02/16/03 00:00:09.0	0.78
02/16/03 00:03:48.5	0.79
02/16/03 00:11:41.0	0.8
02/16/03 00:19:24.0	0.81
02/16/03 00:22:54.5	0.82
02/16/03 00:26:15.5	0.83
02/16/03 00:30:52.0	0.84
02/16/03 00:38:40.0	0.85
02/16/03 00:55:14.0	0.86
02/16/03 03:39:59.0	0.87
02/17/03 16:19:05.5	0.88
02/17/03 16:19:29.0	0.88
