Serial Number:      10518     --     Series: Event (Rain Bucket Tip)

Date Time	Event (Rain Bucket Tip)
11/17/10 08:59:46.0	0
11/17/10 08:59:51.5	0.01
11/19/10 08:42:31.0	0.02
11/19/10 09:14:19.5	0.03
11/19/10 09:42:35.5	0.04
11/19/10 10:18:26.0	0.05
11/19/10 10:26:05.0	0.06
11/19/10 10:39:45.5	0.07
11/19/10 11:35:32.5	0.08
11/19/10 12:03:11.5	0.09
11/19/10 12:19:25.0	0.1
11/19/10 20:13:42.5	0.11
11/19/10 20:22:42.0	0.12
11/19/10 20:37:23.5	0.13
11/19/10 20:46:53.0	0.14
11/19/10 20:53:07.5	0.15
11/19/10 20:56:46.0	0.16
11/19/10 21:00:05.5	0.17
11/19/10 21:02:46.5	0.18
11/19/10 21:07:21.5	0.19
11/19/10 21:13:34.0	0.2
11/19/10 21:18:26.5	0.21
11/19/10 21:22:03.0	0.22
11/19/10 21:26:36.0	0.23
11/19/10 21:29:16.0	0.24
11/19/10 21:31:41.5	0.25
11/19/10 21:33:17.0	0.26
11/19/10 21:36:34.0	0.27
11/19/10 21:41:37.5	0.28
11/19/10 21:45:50.0	0.29
11/19/10 21:51:52.0	0.3
11/19/10 21:56:05.5	0.31
11/19/10 21:59:33.0	0.32
11/19/10 22:03:47.5	0.33
11/19/10 22:08:19.0	0.34
11/19/10 22:13:24.0	0.35
11/19/10 22:17:42.0	0.36
11/19/10 22:21:46.5	0.37
11/19/10 22:25:59.5	0.38
11/19/10 22:30:24.5	0.39
11/19/10 22:36:54.5	0.4
11/19/10 22:45:02.0	0.41
11/19/10 22:51:05.5	0.42
11/19/10 22:54:26.5	0.43
11/19/10 22:59:40.0	0.44
11/19/10 23:05:37.0	0.45
11/19/10 23:13:06.0	0.46
11/19/10 23:19:57.5	0.47
11/19/10 23:25:00.5	0.48
11/19/10 23:29:05.0	0.49
11/19/10 23:32:43.0	0.5
11/19/10 23:36:57.0	0.51
11/19/10 23:40:38.5	0.52
11/19/10 23:45:33.0	0.53
11/19/10 23:49:47.0	0.54
11/19/10 23:53:43.5	0.55
11/19/10 23:57:27.5	0.56
11/20/10 00:02:37.0	0.57
11/20/10 00:10:35.0	0.58
11/20/10 00:17:04.5	0.59
11/20/10 00:21:49.5	0.6
11/20/10 00:25:35.5	0.61
11/20/10 00:29:27.5	0.62
11/20/10 00:34:21.0	0.63
11/20/10 00:41:37.0	0.64
11/20/10 01:13:06.5	0.65
11/20/10 09:35:42.5	0.66
11/20/10 09:48:26.0	0.67
11/20/10 09:55:46.5	0.68
11/20/10 10:02:36.0	0.69
11/20/10 10:08:25.5	0.7
11/20/10 10:19:25.5	0.71
11/20/10 10:27:32.5	0.72
11/20/10 10:32:55.0	0.73
11/20/10 10:36:28.5	0.74
11/20/10 10:44:28.0	0.75
11/20/10 13:40:14.5	0.76
11/20/10 13:48:14.0	0.77
11/20/10 14:48:59.5	0.78
11/20/10 16:42:02.0	0.79
11/20/10 16:52:27.5	0.8
11/20/10 16:54:20.0	0.81
11/20/10 16:55:18.5	0.82
11/20/10 16:57:00.5	0.83
11/20/10 17:43:01.0	0.84
11/20/10 18:15:54.5	0.85
11/20/10 18:17:36.0	0.86
11/20/10 18:19:18.5	0.87
11/20/10 18:21:02.5	0.88
11/20/10 18:21:33.5	0.89
11/20/10 18:22:28.5	0.9
11/20/10 18:23:20.5	0.91
11/20/10 18:25:22.5	0.92
11/20/10 18:38:13.5	0.93
11/20/10 18:40:35.0	0.94
11/20/10 18:44:13.5	0.95
11/20/10 18:46:33.0	0.96
11/20/10 18:46:52.5	0.97
11/20/10 18:47:14.0	0.98
11/20/10 18:47:38.5	0.99
11/20/10 18:48:19.0	1
11/20/10 18:48:43.0	1.01
11/20/10 18:48:59.5	1.02
11/20/10 18:49:14.0	1.03
11/20/10 18:49:35.5	1.04
11/20/10 18:50:06.5	1.05
11/20/10 18:50:29.5	1.06
11/20/10 18:50:47.5	1.07
11/20/10 18:51:22.5	1.08
11/20/10 18:52:46.5	1.09
11/20/10 18:54:45.5	1.1
11/20/10 18:56:35.0	1.11
11/20/10 18:57:33.5	1.12
11/20/10 18:58:29.0	1.13
11/20/10 19:00:20.0	1.14
11/20/10 19:03:02.5	1.15
11/20/10 19:08:22.5	1.16
11/20/10 19:32:49.5	1.17
11/20/10 19:46:15.5	1.18
11/20/10 19:54:17.0	1.19
11/20/10 20:03:43.0	1.2
11/20/10 20:08:25.0	1.21
11/20/10 20:11:08.5	1.22
11/20/10 20:11:59.0	1.23
11/20/10 20:12:49.0	1.24
11/20/10 20:14:49.0	1.25
11/20/10 20:17:17.5	1.26
11/20/10 20:38:35.0	1.27
11/20/10 20:43:51.5	1.28
11/20/10 20:53:11.0	1.29
11/20/10 22:11:59.0	1.3
11/20/10 22:14:54.5	1.31
11/20/10 22:16:17.5	1.32
11/21/10 02:03:26.5	1.33
11/21/10 02:04:53.5	1.34
11/21/10 03:14:49.5	1.35
11/21/10 03:28:48.0	1.36
11/21/10 06:46:25.0	1.37
11/21/10 07:43:36.0	1.38
11/21/10 07:44:23.5	1.39
11/21/10 07:45:16.5	1.4
11/21/10 07:48:13.5	1.41
11/21/10 17:53:26.0	1.42
11/21/10 17:57:11.0	1.43
11/21/10 17:58:45.0	1.44
11/21/10 17:59:12.5	1.45
11/21/10 17:59:46.0	1.46
11/21/10 18:00:11.5	1.47
11/21/10 18:27:32.5	1.48
11/21/10 21:50:49.5	1.49
11/21/10 21:51:32.5	1.5
11/21/10 21:51:52.0	1.51
11/21/10 21:52:29.0	1.52
11/21/10 21:54:27.0	1.53
11/22/10 00:17:54.5	1.54
11/22/10 00:23:38.0	1.55
11/22/10 02:07:22.0	1.56
11/22/10 05:28:42.0	1.57
11/22/10 05:32:08.0	1.58
11/22/10 07:15:48.0	1.59
11/22/10 07:18:20.5	1.6
11/22/10 07:20:35.5	1.61
11/22/10 08:04:46.0	1.62
11/23/10 01:01:10.5	1.63
11/23/10 01:20:46.0	1.64
11/23/10 01:27:34.5	1.65
11/23/10 01:29:53.5	1.66
11/23/10 01:31:37.0	1.67
11/23/10 01:35:38.0	1.68
11/23/10 01:42:34.5	1.69
11/23/10 01:45:42.0	1.7
11/23/10 01:48:21.5	1.71
11/23/10 01:50:35.5	1.72
11/23/10 02:00:29.0	1.73
11/23/10 02:53:17.5	1.74
11/23/10 05:32:29.5	1.75
11/23/10 05:42:28.5	1.76
11/23/10 06:59:37.5	1.77
11/23/10 07:28:11.5	1.78
11/23/10 08:01:40.0	1.79
11/23/10 08:05:26.0	1.8
11/23/10 08:08:22.5	1.81
11/23/10 08:10:50.5	1.82
11/23/10 08:16:02.5	1.83
11/23/10 08:22:02.0	1.84
11/23/10 08:27:02.5	1.85
11/23/10 08:39:05.5	1.86
11/23/10 10:52:37.0	1.87
11/23/10 10:54:28.5	1.88
11/23/10 10:57:38.0	1.89
11/23/10 10:59:29.5	1.9
11/23/10 10:59:55.0	1.91
11/23/10 11:00:16.5	1.92
11/23/10 11:00:45.5	1.93
11/23/10 11:02:54.5	1.94
11/23/10 11:05:02.0	1.95
11/27/10 06:56:59.5	1.96
11/27/10 07:07:19.5	1.97
11/27/10 07:13:22.5	1.98
11/27/10 07:14:33.0	1.99
11/27/10 07:16:05.5	2
11/27/10 07:17:52.0	2.01
11/27/10 07:21:00.0	2.02
11/27/10 07:22:57.0	2.03
11/27/10 07:24:18.0	2.04
11/27/10 07:25:44.5	2.05
11/27/10 07:27:39.0	2.06
11/27/10 07:29:10.0	2.07
11/27/10 07:30:30.0	2.08
11/27/10 07:32:16.0	2.09
11/27/10 07:34:34.5	2.1
11/27/10 07:36:02.5	2.11
11/27/10 07:37:23.5	2.12
11/27/10 07:38:30.5	2.13
11/27/10 07:39:59.5	2.14
11/27/10 07:41:21.5	2.15
11/27/10 07:43:05.0	2.16
11/27/10 07:44:48.5	2.17
11/27/10 07:46:25.0	2.18
11/27/10 07:47:44.5	2.19
11/27/10 07:50:11.0	2.2
11/27/10 07:52:29.0	2.21
11/27/10 07:54:29.0	2.22
11/27/10 07:56:31.5	2.23
11/27/10 07:58:50.0	2.24
11/27/10 08:01:07.0	2.25
11/27/10 08:03:31.0	2.26
11/27/10 08:05:59.5	2.27
11/27/10 08:07:50.0	2.28
11/27/10 08:10:30.5	2.29
11/27/10 08:13:54.5	2.3
11/27/10 08:15:21.5	2.31
11/27/10 08:16:57.5	2.32
11/27/10 08:19:32.0	2.33
11/27/10 08:24:35.5	2.34
11/27/10 08:28:47.0	2.35
11/27/10 08:32:45.0	2.36
11/27/10 08:35:23.5	2.37
11/27/10 08:37:48.0	2.38
11/27/10 08:39:38.5	2.39
11/27/10 08:41:15.5	2.4
11/27/10 08:42:39.5	2.41
11/27/10 08:44:08.5	2.42
11/27/10 08:46:13.0	2.43
11/27/10 08:48:26.5	2.44
11/27/10 08:51:13.5	2.45
11/27/10 08:52:30.5	2.46
11/27/10 08:54:33.0	2.47
11/27/10 08:55:49.0	2.48
11/27/10 08:57:13.0	2.49
11/27/10 08:58:26.5	2.5
11/27/10 09:00:53.0	2.51
11/27/10 09:06:57.0	2.52
11/27/10 09:16:18.5	2.53
11/27/10 09:18:45.0	2.54
11/27/10 09:19:57.0	2.55
11/27/10 09:21:02.5	2.56
11/27/10 09:21:56.5	2.57
11/27/10 09:23:09.0	2.58
11/27/10 09:24:33.0	2.59
11/27/10 09:26:19.5	2.6
11/27/10 09:28:48.5	2.61
11/27/10 09:30:47.0	2.62
11/27/10 09:32:50.5	2.63
11/27/10 09:36:43.5	2.64
11/27/10 09:54:23.0	2.65
11/27/10 11:42:58.0	2.66
11/27/10 11:46:20.0	2.67
11/27/10 11:49:41.5	2.68
11/27/10 12:02:05.0	2.69
11/27/10 12:39:42.0	2.7
11/27/10 21:18:27.5	2.71
12/01/10 13:19:35.5	2.72
12/01/10 13:19:47.5	2.72
