Serial Number:      10518     --     Series: Event (Rain Bucket Tip)

Date Time	Event (Rain Bucket Tip)
12/15/10 09:00:13.0	0
12/15/10 09:00:22.5	0.01
12/15/10 09:00:43.5	0.02
12/16/10 19:13:25.5	0.03
12/16/10 19:59:03.5	0.04
12/16/10 22:36:18.0	0.05
12/16/10 22:52:32.0	0.06
12/16/10 22:59:41.0	0.07
12/16/10 23:06:45.5	0.08
12/16/10 23:13:02.5	0.09
12/16/10 23:17:12.5	0.1
12/16/10 23:27:47.0	0.11
12/16/10 23:35:35.5	0.12
12/16/10 23:41:37.5	0.13
12/16/10 23:50:58.0	0.14
12/17/10 00:24:02.5	0.15
12/17/10 01:06:12.5	0.16
12/17/10 01:18:23.5	0.17
12/17/10 04:40:38.0	0.18
12/17/10 12:06:21.0	0.19
12/17/10 12:13:01.5	0.2
12/17/10 12:24:47.0	0.21
12/17/10 12:31:36.5	0.22
12/17/10 12:35:39.0	0.23
12/17/10 12:40:20.0	0.24
12/17/10 12:43:54.5	0.25
12/17/10 12:47:16.0	0.26
12/17/10 12:56:57.0	0.27
12/17/10 13:04:11.0	0.28
12/17/10 13:26:15.5	0.29
12/17/10 13:39:38.5	0.3
12/17/10 14:13:38.0	0.31
12/17/10 15:06:23.0	0.32
12/17/10 15:16:20.0	0.33
12/17/10 15:23:50.5	0.34
12/17/10 15:33:30.0	0.35
12/17/10 15:37:57.5	0.36
12/17/10 15:48:08.5	0.37
12/17/10 15:59:02.0	0.38
12/17/10 16:07:27.5	0.39
12/17/10 16:11:34.5	0.4
12/17/10 16:16:59.5	0.41
12/17/10 16:21:58.5	0.42
12/17/10 16:27:57.0	0.43
12/17/10 16:34:42.5	0.44
12/17/10 16:42:16.0	0.45
12/17/10 16:51:32.0	0.46
12/17/10 17:00:42.5	0.47
12/17/10 17:04:25.0	0.48
12/17/10 17:11:29.5	0.49
12/17/10 17:16:02.5	0.5
12/17/10 17:21:00.0	0.51
12/17/10 17:23:58.0	0.52
12/17/10 17:27:39.5	0.53
12/17/10 17:33:04.0	0.54
12/17/10 17:39:04.5	0.55
12/17/10 17:53:42.5	0.56
12/17/10 18:03:21.0	0.57
12/17/10 18:14:15.5	0.58
12/17/10 18:22:39.0	0.59
12/17/10 18:37:13.0	0.6
12/17/10 18:44:01.5	0.61
12/17/10 18:47:17.5	0.62
12/17/10 19:01:33.0	0.63
12/17/10 20:08:32.5	0.64
12/17/10 20:30:55.5	0.65
12/17/10 20:38:14.5	0.66
12/17/10 22:38:29.0	0.67
12/17/10 23:02:25.5	0.68
12/17/10 23:05:46.0	0.69
12/17/10 23:16:49.0	0.7
12/17/10 23:54:29.0	0.71
12/17/10 23:55:59.0	0.72
12/17/10 23:57:24.0	0.73
12/18/10 00:02:03.0	0.74
12/18/10 00:19:30.0	0.75
12/18/10 00:29:34.0	0.76
12/18/10 00:37:37.0	0.77
12/18/10 00:47:15.0	0.78
12/18/10 00:50:45.5	0.79
12/18/10 01:28:24.5	0.8
12/18/10 02:19:41.5	0.81
12/18/10 02:33:27.5	0.82
12/18/10 04:00:16.0	0.83
12/18/10 04:25:22.5	0.84
12/18/10 04:45:09.0	0.85
12/18/10 04:47:13.0	0.86
12/18/10 04:50:46.5	0.87
12/18/10 04:55:35.5	0.88
12/18/10 04:59:42.5	0.89
12/18/10 05:01:09.0	0.9
12/18/10 05:08:46.0	0.91
12/18/10 05:13:24.0	0.92
12/18/10 05:18:45.5	0.93
12/18/10 05:28:57.0	0.94
12/18/10 05:39:11.0	0.95
12/18/10 05:43:53.5	0.96
12/18/10 06:06:12.0	0.97
12/18/10 11:36:58.5	0.98
12/18/10 12:06:35.5	0.99
12/18/10 12:11:11.0	1
12/18/10 12:17:35.5	1.01
12/18/10 12:33:03.5	1.02
12/18/10 12:35:23.5	1.03
12/18/10 12:39:01.5	1.04
12/18/10 13:48:22.0	1.05
12/18/10 13:50:39.5	1.06
12/18/10 13:51:51.0	1.07
12/18/10 13:53:00.0	1.08
12/18/10 13:54:37.0	1.09
12/18/10 13:57:13.0	1.1
12/18/10 14:01:19.5	1.11
12/18/10 14:20:46.5	1.12
12/18/10 15:01:18.0	1.13
12/18/10 15:21:57.0	1.14
12/18/10 15:28:00.5	1.15
12/18/10 15:45:55.5	1.16
12/18/10 16:35:00.0	1.17
12/18/10 16:38:18.5	1.18
12/18/10 16:41:28.0	1.19
12/18/10 16:42:33.0	1.2
12/18/10 16:45:38.5	1.21
12/18/10 16:49:52.0	1.22
12/18/10 17:00:33.0	1.23
12/18/10 17:14:24.0	1.24
12/18/10 17:35:34.0	1.25
12/18/10 17:37:34.0	1.26
12/18/10 17:39:26.0	1.27
12/18/10 17:42:04.0	1.28
12/18/10 17:45:31.5	1.29
12/18/10 17:47:11.0	1.3
12/18/10 17:48:49.0	1.31
12/18/10 17:51:15.0	1.32
12/18/10 17:58:24.5	1.33
12/18/10 18:03:05.5	1.34
12/18/10 18:04:28.0	1.35
12/18/10 18:05:33.5	1.36
12/18/10 18:07:20.0	1.37
12/18/10 18:13:12.5	1.38
12/18/10 18:33:01.0	1.39
12/18/10 18:38:29.5	1.4
12/18/10 18:42:41.5	1.41
12/18/10 18:46:42.5	1.42
12/18/10 18:50:00.5	1.43
12/18/10 18:52:56.0	1.44
12/18/10 19:10:12.0	1.45
12/18/10 22:07:35.5	1.46
12/18/10 23:37:41.5	1.47
12/19/10 00:05:43.5	1.48
12/19/10 00:16:24.0	1.49
12/19/10 00:31:31.0	1.5
12/19/10 00:49:46.5	1.51
12/19/10 00:54:21.0	1.52
12/19/10 00:58:05.5	1.53
12/19/10 01:02:25.0	1.54
12/19/10 01:06:16.5	1.55
12/19/10 01:11:15.0	1.56
12/19/10 01:16:41.5	1.57
12/19/10 01:20:27.0	1.58
12/19/10 01:23:52.0	1.59
12/19/10 01:27:21.0	1.6
12/19/10 01:30:56.0	1.61
12/19/10 01:34:20.0	1.62
12/19/10 01:36:57.5	1.63
12/19/10 01:39:21.5	1.64
12/19/10 01:41:50.0	1.65
12/19/10 01:44:11.0	1.66
12/19/10 01:46:31.0	1.67
12/19/10 01:48:53.5	1.68
12/19/10 01:51:08.5	1.69
12/19/10 01:52:42.0	1.7
12/19/10 01:55:22.0	1.71
12/19/10 01:58:48.5	1.72
12/19/10 02:02:05.0	1.73
12/19/10 02:05:55.0	1.74
12/19/10 02:09:24.0	1.75
12/19/10 02:12:50.5	1.76
12/19/10 02:15:40.5	1.77
12/19/10 02:18:08.5	1.78
12/19/10 02:22:17.5	1.79
12/19/10 02:26:09.0	1.8
12/19/10 02:29:33.5	1.81
12/19/10 02:32:16.0	1.82
12/19/10 02:35:33.5	1.83
12/19/10 02:38:05.0	1.84
12/19/10 02:40:14.5	1.85
12/19/10 02:43:48.5	1.86
12/19/10 02:47:35.5	1.87
12/19/10 02:51:42.5	1.88
12/19/10 02:56:08.5	1.89
12/19/10 02:59:21.5	1.9
12/19/10 03:03:55.5	1.91
12/19/10 03:08:11.0	1.92
