Serial Number:      10518     --     Series: Event (Rain Bucket Tip)

Date Time	Event (Rain Bucket Tip)
11/01/11 09:54:16.0	0
11/01/11 09:54:22.0	0.0102
11/03/11 21:15:57.0	0.0204
11/03/11 21:17:36.5	0.0305
11/03/11 21:19:10.0	0.0407
11/03/11 21:21:23.0	0.0509
11/03/11 21:52:10.0	0.0611
11/03/11 23:09:07.0	0.0713
11/03/11 23:14:50.0	0.0815
11/03/11 23:17:55.5	0.0916
11/03/11 23:21:37.5	0.1018
11/03/11 23:25:29.5	0.112
11/04/11 02:24:00.0	0.1222
11/04/11 02:40:37.0	0.1324
11/04/11 02:43:33.5	0.1426
11/04/11 02:46:27.0	0.1527
11/04/11 02:57:03.0	0.1629
11/04/11 04:27:30.0	0.1731
11/04/11 04:30:40.5	0.1833
11/04/11 04:32:02.5	0.1935
11/04/11 04:33:24.0	0.2037
11/04/11 04:34:50.0	0.2138
11/04/11 04:35:41.5	0.224
11/04/11 04:39:15.5	0.2342
11/04/11 04:43:54.5	0.2444
11/04/11 04:45:54.0	0.2546
11/04/11 04:48:26.5	0.2648
11/04/11 04:51:43.0	0.2749
11/04/11 04:55:56.5	0.2851
11/04/11 05:01:23.0	0.2953
11/04/11 05:03:32.0	0.3055
11/05/11 17:47:29.0	0.3157
11/05/11 17:59:39.5	0.3259
11/05/11 18:07:47.5	0.336
11/05/11 18:49:21.0	0.3462
11/05/11 18:59:18.5	0.3564
11/05/11 19:06:37.0	0.3666
11/05/11 19:09:37.5	0.3768
11/05/11 19:12:31.0	0.387
11/05/11 19:18:56.5	0.3971
11/05/11 19:22:19.0	0.4073
11/05/11 19:26:40.5	0.4175
11/05/11 19:31:21.0	0.4277
11/05/11 19:34:41.5	0.4379
11/05/11 19:40:16.0	0.4481
11/05/11 20:03:22.0	0.4582
11/05/11 20:08:16.5	0.4684
11/05/11 20:11:21.5	0.4786
11/05/11 20:14:07.0	0.4888
11/05/11 20:16:26.0	0.499
11/05/11 20:18:31.5	0.5092
11/05/11 20:20:55.5	0.5193
11/05/11 20:22:26.0	0.5295
11/05/11 20:23:36.5	0.5397
11/05/11 20:25:06.5	0.5499
11/05/11 20:26:31.5	0.5601
11/05/11 20:28:31.0	0.5702
11/05/11 20:29:41.0	0.5804
11/05/11 20:30:16.5	0.5906
11/05/11 20:31:04.5	0.6008
11/05/11 20:31:52.0	0.611
11/05/11 20:32:30.5	0.6212
11/05/11 20:33:09.5	0.6313
11/05/11 20:33:49.5	0.6415
11/05/11 20:35:05.5	0.6517
11/05/11 20:35:43.0	0.6619
11/05/11 20:36:01.5	0.6721
11/05/11 20:36:14.0	0.6823
11/05/11 20:36:43.5	0.6924
11/05/11 20:37:33.0	0.7026
11/05/11 20:38:08.0	0.7128
11/05/11 20:38:46.0	0.723
11/05/11 20:40:12.5	0.7332
11/05/11 20:41:41.0	0.7434
11/05/11 20:43:05.0	0.7535
11/05/11 20:44:36.0	0.7637
11/05/11 20:47:44.0	0.7739
11/05/11 20:51:38.5	0.7841
11/05/11 20:54:29.5	0.7943
11/05/11 20:57:24.0	0.8045
11/05/11 20:59:46.0	0.8146
11/05/11 21:01:37.5	0.8248
11/05/11 21:04:36.5	0.835
11/05/11 21:06:49.0	0.8452
11/05/11 21:10:55.0	0.8554
11/05/11 21:11:44.5	0.8656
11/05/11 21:12:27.5	0.8757
11/05/11 21:14:30.5	0.8859
11/05/11 21:15:27.0	0.8961
11/05/11 21:16:28.5	0.9063
11/05/11 21:17:18.5	0.9165
11/05/11 21:18:14.0	0.9267
11/05/11 21:18:58.0	0.9368
11/05/11 21:19:45.0	0.947
11/05/11 21:20:41.5	0.9572
11/05/11 21:21:51.5	0.9674
11/05/11 21:24:27.0	0.9776
11/05/11 21:34:26.0	0.9878
11/06/11 02:56:03.5	0.9979
11/06/11 10:25:56.0	1.0081
11/06/11 10:27:30.5	1.0183
11/06/11 10:30:43.5	1.0285
11/06/11 10:31:54.5	1.0387
11/09/11 23:24:54.5	1.0489
11/11/11 08:15:29.0	1.059
11/11/11 08:18:35.0	1.0692
11/11/11 08:20:36.5	1.0794
11/11/11 08:21:56.5	1.0896
11/11/11 08:23:31.0	1.0998
11/11/11 08:26:05.5	1.11
11/11/11 08:30:20.0	1.1201
11/11/11 08:33:01.5	1.1303
11/11/11 08:35:50.0	1.1405
11/11/11 08:38:22.0	1.1507
11/11/11 08:39:58.5	1.1609
