Date Time	Event (rain bucket tip)
11/22/03 17:00:16.0	0
11/30/03 02:32:22.0	0.01
11/30/03 02:40:35.5	0.02
11/30/03 02:44:58.0	0.03
11/30/03 02:50:07.0	0.04
11/30/03 02:56:31.5	0.05
11/30/03 03:07:52.0	0.06
11/30/03 03:16:26.0	0.07
11/30/03 03:25:05.5	0.08
11/30/03 03:36:26.5	0.09
11/30/03 04:24:52.0	0.1
11/30/03 08:23:48.5	0.11
11/30/03 10:41:29.5	0.12
11/30/03 10:51:15.0	0.13
11/30/03 11:41:10.0	0.14
11/30/03 11:50:46.5	0.15
11/30/03 11:59:56.0	0.16
11/30/03 12:07:28.0	0.17
11/30/03 12:14:53.0	0.18
11/30/03 12:18:44.0	0.19
11/30/03 12:30:03.5	0.2
11/30/03 12:40:37.5	0.21
11/30/03 12:50:04.5	0.22
11/30/03 12:54:07.0	0.23
11/30/03 12:58:22.5	0.24
11/30/03 13:01:43.0	0.25
11/30/03 13:07:05.5	0.26
11/30/03 13:10:51.5	0.27
11/30/03 13:17:43.0	0.28
11/30/03 13:19:58.0	0.29
11/30/03 13:27:50.0	0.3
11/30/03 13:34:42.0	0.31
11/30/03 13:44:30.5	0.32
11/30/03 13:47:48.5	0.33
11/30/03 13:53:33.5	0.34
11/30/03 14:00:42.5	0.35
11/30/03 14:24:41.0	0.36
11/30/03 14:28:05.0	0.37
11/30/03 14:34:32.0	0.38
11/30/03 14:37:29.5	0.39
11/30/03 14:43:41.0	0.4
11/30/03 14:48:33.5	0.41
11/30/03 14:55:28.0	0.42
11/30/03 14:59:42.0	0.43
11/30/03 15:05:26.0	0.44
11/30/03 15:09:14.0	0.45
11/30/03 15:15:08.5	0.46
11/30/03 15:19:39.0	0.47
11/30/03 15:26:51.0	0.48
11/30/03 15:34:56.0	0.49
11/30/03 15:42:44.0	0.5
11/30/03 15:45:52.0	0.51
11/30/03 15:50:25.5	0.52
11/30/03 16:00:19.0	0.53
11/30/03 16:08:42.5	0.54
11/30/03 16:13:36.5	0.55
11/30/03 16:24:48.0	0.56
11/30/03 16:36:14.0	0.57
11/30/03 16:44:34.0	0.58
11/30/03 16:49:02.5	0.59
11/30/03 17:05:10.5	0.6
11/30/03 17:20:16.5	0.61
11/30/03 17:40:57.5	0.62
11/30/03 17:44:45.0	0.63
11/30/03 17:52:07.5	0.64
11/30/03 17:56:20.0	0.65
11/30/03 18:03:32.5	0.66
11/30/03 18:06:55.5	0.67
11/30/03 18:12:50.0	0.68
11/30/03 18:19:46.0	0.69
11/30/03 18:28:32.5	0.7
11/30/03 18:31:44.5	0.71
11/30/03 18:35:39.5	0.72
11/30/03 18:38:43.5	0.73
11/30/03 18:44:13.5	0.74
11/30/03 18:48:07.0	0.75
11/30/03 18:53:17.0	0.76
11/30/03 18:56:27.0	0.77
11/30/03 18:59:55.0	0.78
11/30/03 19:02:13.0	0.79
11/30/03 19:08:39.5	0.8
11/30/03 19:12:39.5	0.81
11/30/03 19:17:01.0	0.82
11/30/03 19:20:28.5	0.83
11/30/03 19:28:34.5	0.84
11/30/03 19:33:18.0	0.85
11/30/03 19:39:40.5	0.86
11/30/03 19:44:18.5	0.87
11/30/03 19:49:19.0	0.88
11/30/03 19:52:36.5	0.89
11/30/03 19:59:32.5	0.9
11/30/03 20:03:19.5	0.91
11/30/03 20:13:46.5	0.92
11/30/03 20:25:57.0	0.93
11/30/03 20:34:27.5	0.94
11/30/03 20:40:06.0	0.95
11/30/03 20:55:46.5	0.96
11/30/03 21:01:27.0	0.97
11/30/03 21:15:49.0	0.98
11/30/03 21:32:46.5	0.99
11/30/03 21:55:50.5	1
11/30/03 22:09:18.5	1.01
12/01/03 00:59:59.0	1.02
12/01/03 07:49:53.5	1.03
12/01/03 08:15:56.5	1.04
