Serial Number:     532217     --     Series: Event (rain bucket tip)

Date Time	Event (rain bucket tip)
09/15/05 15:15:40.0	0
10/15/05 01:19:21.5	0.01
10/15/05 01:28:07.5	0.02
10/15/05 01:49:54.5	0.03
10/15/05 02:05:06.5	0.04
10/15/05 02:42:43.5	0.05
10/15/05 03:06:38.5	0.06
10/15/05 03:31:32.5	0.07
10/18/05 17:33:38.0	0.08
10/18/05 21:16:51.0	0.09
10/25/05 02:13:47.0	0.1
10/25/05 08:09:15.5	0.11
10/26/05 08:56:36.0	0.12
10/26/05 09:00:32.0	0.13
10/26/05 09:12:05.0	0.14
10/26/05 09:28:35.5	0.15
10/26/05 09:34:45.0	0.16
10/26/05 09:38:16.0	0.17
10/26/05 09:42:26.5	0.18
10/26/05 09:47:10.5	0.19
10/26/05 09:51:21.5	0.2
10/26/05 09:54:41.5	0.21
10/26/05 09:57:23.0	0.22
10/26/05 10:02:13.5	0.23
10/26/05 10:11:17.0	0.24
10/26/05 10:36:02.5	0.25
10/26/05 10:56:35.0	0.26
10/26/05 11:00:08.5	0.27
10/26/05 11:02:51.5	0.28
10/26/05 11:05:48.5	0.29
10/26/05 11:09:40.5	0.3
10/26/05 11:18:12.5	0.31
10/26/05 11:25:33.0	0.32
10/26/05 11:28:03.5	0.33
10/26/05 11:30:52.5	0.34
10/26/05 11:37:11.5	0.35
10/26/05 11:45:56.5	0.36
10/26/05 12:01:37.0	0.37
10/26/05 12:14:40.5	0.38
10/26/05 14:29:30.0	0.39
10/27/05 05:26:06.0	0.4
10/29/05 00:56:15.5	0.41
10/29/05 01:15:00.0	0.42
10/29/05 02:43:20.0	0.43
10/29/05 03:26:37.0	0.44
10/29/05 04:23:11.5	0.45
10/29/05 05:44:17.5	0.46
10/29/05 06:04:47.5	0.47
10/29/05 06:31:09.5	0.48
10/29/05 06:48:15.0	0.49
11/02/05 05:22:45.0	0.5
11/03/05 15:18:48.0	0.51
11/03/05 15:20:02.0	0.51
