Serial Number:     532217     --     Series: Event (rain bucket tip)

Date Time	Event (rain bucket tip)
02/14/06 11:21:56.0	0
02/17/06 12:33:26.5	0.01
02/17/06 12:38:02.5	0.02
02/17/06 12:41:44.5	0.03
02/17/06 12:46:24.5	0.04
02/17/06 12:52:22.0	0.05
02/17/06 12:54:49.5	0.06
02/17/06 12:57:44.5	0.07
02/17/06 12:59:57.5	0.08
02/17/06 13:03:19.5	0.09
02/17/06 13:05:34.0	0.1
02/17/06 13:07:19.5	0.11
02/17/06 13:09:52.5	0.12
02/17/06 13:12:53.0	0.13
02/17/06 13:15:59.5	0.14
02/17/06 13:19:38.5	0.15
02/17/06 13:26:45.0	0.16
02/18/06 05:22:51.5	0.17
02/18/06 05:27:05.0	0.18
02/18/06 05:28:41.0	0.19
02/18/06 05:29:45.0	0.2
02/18/06 05:31:03.0	0.21
02/18/06 05:32:49.5	0.22
02/18/06 05:34:58.0	0.23
02/18/06 05:36:47.0	0.24
02/18/06 05:38:59.5	0.25
02/18/06 05:41:11.0	0.26
02/18/06 05:44:17.0	0.27
02/18/06 05:46:44.0	0.28
02/18/06 05:51:26.5	0.29
02/18/06 05:59:02.0	0.3
02/18/06 06:06:44.0	0.31
02/18/06 06:09:16.5	0.32
02/18/06 06:12:32.0	0.33
02/18/06 06:14:18.5	0.34
02/18/06 06:16:22.0	0.35
02/18/06 06:17:39.0	0.36
02/18/06 06:20:25.5	0.37
02/18/06 07:52:18.0	0.38
02/18/06 11:00:09.0	0.39
02/18/06 11:20:58.5	0.4
02/18/06 11:27:37.0	0.41
02/18/06 11:31:49.0	0.42
02/18/06 13:54:04.0	0.43
02/18/06 13:57:22.5	0.44
02/18/06 14:00:39.5	0.45
02/18/06 14:02:55.5	0.46
02/18/06 14:05:34.5	0.47
02/18/06 14:07:29.0	0.48
02/18/06 14:10:19.0	0.49
02/18/06 14:12:41.5	0.5
02/18/06 14:16:29.5	0.51
02/18/06 14:23:08.5	0.52
02/18/06 15:04:06.5	0.53
02/18/06 16:36:33.0	0.54
02/18/06 16:52:07.5	0.55
02/18/06 16:59:35.0	0.56
02/18/06 17:12:02.5	0.57
02/18/06 17:16:18.5	0.58
02/18/06 17:19:01.5	0.59
02/18/06 17:20:57.5	0.6
02/18/06 17:23:45.5	0.61
02/18/06 17:29:01.0	0.62
02/18/06 20:43:42.0	0.63
02/18/06 22:16:00.0	0.64
02/19/06 13:15:42.0	0.65
02/19/06 13:18:44.0	0.66
02/19/06 13:24:52.0	0.67
02/19/06 15:25:11.0	0.68
02/21/06 09:58:56.5	0.68
