Date Time	Event (rain bucket tip)
02/20/03 08:43:46.0	0
02/24/03 11:27:12.0	0.01
02/24/03 14:54:39.5	0.02
02/24/03 14:58:59.5	0.03
02/24/03 15:14:55.0	0.04
02/24/03 15:16:27.5	0.05
02/24/03 15:17:31.5	0.06
02/24/03 15:18:06.0	0.07
02/24/03 15:19:02.0	0.08
02/24/03 15:19:49.0	0.09
02/24/03 15:21:06.5	0.1
02/24/03 15:23:21.5	0.11
02/24/03 15:27:59.0	0.12
02/24/03 15:31:10.5	0.13
02/24/03 15:36:47.5	0.14
02/24/03 15:41:05.5	0.15
02/24/03 16:20:31.0	0.16
02/24/03 16:23:30.0	0.17
02/24/03 16:30:03.0	0.18
02/24/03 16:31:19.5	0.19
02/24/03 16:33:18.5	0.2
02/24/03 16:36:06.0	0.21
02/24/03 16:40:33.0	0.22
02/24/03 16:43:44.5	0.23
02/24/03 16:45:37.5	0.24
02/24/03 16:47:14.5	0.25
02/24/03 16:50:05.0	0.26
02/24/03 16:52:34.0	0.27
02/24/03 16:56:04.0	0.28
02/24/03 16:58:58.5	0.29
02/24/03 18:24:21.0	0.3
02/24/03 19:01:04.5	0.31
02/24/03 19:14:23.5	0.32
02/24/03 21:03:24.5	0.33
02/24/03 21:32:14.0	0.34
02/24/03 21:47:43.5	0.35
02/24/03 22:18:17.0	0.36
02/24/03 23:01:00.0	0.37
02/24/03 23:43:32.5	0.38
02/24/03 23:54:57.0	0.39
02/25/03 00:08:14.5	0.4
02/25/03 00:17:44.0	0.41
02/25/03 00:42:15.5	0.42
02/25/03 00:50:16.5	0.43
02/25/03 01:15:05.0	0.44
02/25/03 03:55:37.0	0.45
02/25/03 04:58:18.5	0.46
02/25/03 05:51:58.0	0.47
02/25/03 09:07:13.0	0.47
