Serial Number:     144726     --     Series: Event (rain bucket tip)

Date Time	Event (rain bucket tip)
01/04/11 09:11:19.0	0
01/10/11 10:11:53.0	0.01
01/11/11 14:21:42.5	0.02
01/13/11 11:02:55.5	0.03
01/13/11 11:42:16.0	0.04
01/13/11 11:57:02.0	0.05
01/13/11 12:03:32.0	0.06
01/13/11 12:09:22.5	0.07
01/13/11 12:14:16.0	0.08
01/13/11 12:17:37.5	0.09
01/13/11 12:29:37.0	0.1
01/13/11 12:37:48.5	0.11
01/13/11 12:43:28.0	0.12
01/13/11 12:44:56.0	0.13
01/13/11 12:47:41.5	0.14
01/13/11 12:50:04.5	0.15
01/13/11 13:43:02.5	0.16
01/13/11 13:55:41.5	0.17
01/13/11 14:17:00.5	0.18
01/13/11 16:17:41.5	0.19
01/18/11 13:35:33.0	0.2
01/18/11 13:35:57.5	0.2
