Serial Number:     144726     --     Series: Event (rain bucket tip)

Date Time	Event (rain bucket tip)
03/15/11 11:15:24.0	0
03/15/11 18:08:13.0	0.01
03/15/11 19:22:10.5	0.02
03/15/11 19:33:15.0	0.03
03/15/11 19:48:26.5	0.04
03/15/11 20:06:31.5	0.05
03/15/11 20:20:19.5	0.06
03/15/11 20:28:36.5	0.07
03/15/11 20:39:13.0	0.08
03/15/11 20:46:25.5	0.09
03/15/11 20:52:32.0	0.1
03/15/11 20:59:04.5	0.11
03/15/11 21:05:58.0	0.12
03/15/11 21:13:25.5	0.13
03/15/11 21:29:03.5	0.14
03/15/11 21:42:56.5	0.15
03/15/11 21:51:21.0	0.16
03/15/11 21:55:38.0	0.17
03/15/11 21:59:06.0	0.18
03/15/11 22:03:10.0	0.19
03/15/11 22:11:22.0	0.2
03/15/11 22:18:22.5	0.21
03/15/11 22:22:44.0	0.22
03/15/11 22:25:33.5	0.23
03/15/11 22:29:16.5	0.24
03/15/11 22:33:54.0	0.25
03/15/11 22:38:05.0	0.26
03/15/11 22:42:31.0	0.27
03/15/11 22:47:03.5	0.28
03/15/11 22:53:17.0	0.29
03/15/11 23:02:14.0	0.3
03/15/11 23:16:09.5	0.31
03/15/11 23:37:26.5	0.32
03/15/11 23:43:41.5	0.33
03/15/11 23:48:34.5	0.34
03/15/11 23:53:34.5	0.35
03/16/11 00:04:41.0	0.36
03/16/11 00:25:18.5	0.37
03/16/11 00:35:12.0	0.38
03/16/11 00:49:14.5	0.39
03/16/11 01:09:46.5	0.4
03/16/11 01:19:09.0	0.41
03/16/11 02:32:42.5	0.42
03/16/11 03:27:20.5	0.43
03/16/11 03:35:09.5	0.44
03/16/11 05:34:18.0	0.45
03/18/11 04:38:47.0	0.46
03/18/11 04:48:57.0	0.47
03/18/11 04:59:53.0	0.48
03/18/11 11:03:59.5	0.49
03/18/11 11:12:32.0	0.5
03/18/11 11:13:19.0	0.51
03/18/11 11:14:27.0	0.52
03/18/11 11:15:12.5	0.53
03/18/11 11:16:32.0	0.54
03/18/11 11:18:56.5	0.55
03/18/11 11:20:55.5	0.56
03/18/11 11:23:00.5	0.57
03/18/11 11:27:37.5	0.58
03/18/11 11:32:22.5	0.59
03/18/11 11:38:29.5	0.6
03/18/11 11:42:20.0	0.61
03/18/11 11:47:20.5	0.62
03/18/11 11:51:59.5	0.63
03/18/11 11:55:28.5	0.64
03/18/11 11:57:48.0	0.65
03/18/11 12:00:12.5	0.66
03/18/11 12:03:06.0	0.67
03/18/11 12:08:30.0	0.68
03/18/11 12:20:09.0	0.69
03/18/11 12:28:06.0	0.7
03/18/11 12:33:43.5	0.71
03/18/11 12:39:15.0	0.72
03/18/11 12:43:54.5	0.73
03/18/11 12:48:42.0	0.74
03/18/11 12:51:38.0	0.75
