Date Time	Event (Rain Bucket Tip)
01/03/05 13:48:05.0	0
01/04/05 10:26:54.5	0.01
01/04/05 11:05:49.0	0.02
01/05/05 00:36:11.0	0.03
01/05/05 02:31:57.0	0.04
01/05/05 02:44:58.5	0.05
01/05/05 03:09:00.5	0.06
01/05/05 03:18:43.5	0.07
01/05/05 03:30:52.5	0.08
01/05/05 03:43:40.5	0.09
01/05/05 03:58:45.5	0.1
01/05/05 04:11:20.0	0.11
01/05/05 04:24:44.5	0.12
01/05/05 04:30:02.5	0.13
01/05/05 04:35:38.5	0.14
01/05/05 04:39:50.0	0.15
01/05/05 05:46:40.5	0.16
01/05/05 09:14:49.5	0.17
01/05/05 10:40:49.0	0.18
01/05/05 10:47:45.0	0.19
01/05/05 23:04:56.0	0.2
01/05/05 23:13:51.0	0.21
01/06/05 03:42:40.0	0.22
01/06/05 22:58:03.5	0.23
01/06/05 23:58:23.0	0.24
01/07/05 00:04:48.0	0.25
01/07/05 00:09:32.5	0.26
01/07/05 00:15:54.5	0.27
01/07/05 00:33:50.0	0.28
01/07/05 00:38:53.0	0.29
01/07/05 00:44:42.5	0.3
01/07/05 00:48:14.5	0.31
01/07/05 01:05:00.5	0.32
01/07/05 01:17:06.5	0.33
01/07/05 01:20:51.0	0.34
01/07/05 01:23:49.0	0.35
01/07/05 01:26:37.5	0.36
01/07/05 01:28:56.5	0.37
01/07/05 01:34:20.0	0.38
01/07/05 01:36:41.0	0.39
01/07/05 01:39:30.5	0.4
01/07/05 01:41:17.0	0.41
01/07/05 01:43:00.0	0.42
01/07/05 01:43:50.0	0.43
01/07/05 01:47:08.5	0.44
01/07/05 01:52:19.0	0.45
01/07/05 01:59:30.5	0.46
01/07/05 02:02:00.5	0.47
01/07/05 02:05:16.0	0.48
01/07/05 02:11:19.5	0.49
01/07/05 02:15:57.5	0.5
01/07/05 02:18:32.5	0.51
01/07/05 02:21:55.5	0.52
01/07/05 02:24:56.0	0.53
01/07/05 02:31:58.5	0.54
01/07/05 02:33:54.0	0.55
01/07/05 02:38:12.0	0.56
01/07/05 02:44:55.5	0.57
01/07/05 02:54:31.5	0.58
01/07/05 02:59:03.0	0.59
01/07/05 03:08:10.5	0.6
01/07/05 03:12:42.0	0.61
01/07/05 03:18:28.0	0.62
01/07/05 03:24:14.0	0.63
01/07/05 03:37:51.0	0.64
01/07/05 03:54:19.5	0.65
01/07/05 04:14:39.0	0.66
01/07/05 04:17:18.0	0.67
01/07/05 04:21:43.0	0.68
01/07/05 04:28:42.5	0.69
01/07/05 04:37:05.0	0.7
01/07/05 04:38:14.5	0.71
01/07/05 04:39:53.0	0.72
01/07/05 04:41:05.5	0.73
01/07/05 04:42:53.0	0.74
01/07/05 04:43:56.0	0.75
01/07/05 04:45:30.0	0.76
