Serial Number:     502911     --     Series: Event (Rain Bucket Tip)

Date Time	Event (Rain Bucket Tip)
12/01/05 09:41:00.0	0
12/01/05 09:41:02.0	0.01
12/01/05 10:04:35.5	0.02
12/01/05 10:55:29.0	0.03
12/01/05 11:44:08.5	0.04
12/01/05 12:17:35.5	0.05
12/01/05 12:21:28.0	0.06
12/01/05 12:22:21.0	0.07
12/01/05 12:23:09.5	0.08
12/01/05 12:24:29.0	0.09
12/01/05 12:25:36.0	0.1
12/01/05 12:27:01.0	0.11
12/01/05 12:28:00.0	0.12
12/01/05 12:29:41.5	0.13
12/01/05 12:31:01.5	0.14
12/01/05 12:33:22.0	0.15
12/01/05 12:34:56.0	0.16
12/01/05 12:36:45.0	0.17
12/01/05 12:38:06.0	0.18
12/01/05 12:40:16.0	0.19
12/01/05 12:42:11.0	0.2
12/01/05 12:48:04.0	0.21
12/01/05 12:53:50.0	0.22
12/01/05 12:57:55.5	0.23
12/01/05 12:59:33.0	0.24
12/01/05 13:01:25.0	0.25
12/01/05 13:02:39.5	0.26
12/01/05 13:04:14.0	0.27
12/01/05 13:05:07.0	0.28
12/01/05 13:06:41.5	0.29
12/01/05 13:07:51.5	0.3
12/01/05 13:09:37.0	0.31
12/01/05 13:10:32.0	0.32
12/01/05 13:11:29.5	0.33
12/01/05 13:12:08.5	0.34
12/01/05 13:13:17.5	0.35
12/01/05 13:14:02.0	0.36
12/01/05 13:14:56.5	0.37
12/01/05 13:15:32.0	0.38
12/01/05 13:16:07.5	0.39
12/01/05 13:16:42.5	0.4
12/01/05 13:17:18.0	0.41
12/01/05 13:17:44.0	0.42
12/01/05 13:18:28.0	0.43
12/01/05 13:18:59.5	0.44
12/01/05 13:19:58.5	0.45
12/01/05 13:20:41.5	0.46
12/01/05 13:21:29.5	0.47
12/01/05 13:22:21.5	0.48
12/01/05 13:23:42.0	0.49
12/01/05 13:24:33.5	0.5
12/01/05 13:25:49.0	0.51
12/01/05 13:27:15.5	0.52
12/01/05 13:30:17.5	0.53
12/01/05 13:31:20.5	0.54
12/01/05 13:32:43.5	0.55
12/01/05 13:34:29.0	0.56
12/01/05 13:36:36.5	0.57
12/01/05 13:43:28.0	0.58
12/01/05 14:04:16.5	0.59
12/01/05 14:11:08.0	0.6
12/01/05 14:13:54.5	0.61
12/01/05 14:16:30.0	0.62
12/01/05 14:19:28.5	0.63
12/01/05 14:21:08.5	0.64
12/01/05 14:24:02.0	0.65
12/01/05 14:25:18.5	0.66
12/01/05 14:27:42.5	0.67
12/01/05 14:47:51.0	0.68
12/01/05 14:53:40.0	0.69
12/01/05 14:57:40.5	0.7
12/01/05 14:58:44.0	0.71
12/01/05 14:59:09.0	0.72
12/01/05 14:59:45.0	0.73
12/01/05 15:00:12.5	0.74
12/01/05 15:00:39.0	0.75
12/01/05 15:01:02.0	0.76
12/01/05 15:01:27.0	0.77
12/01/05 15:01:39.0	0.78
12/01/05 15:02:00.0	0.79
12/01/05 15:02:22.0	0.8
12/01/05 15:02:50.0	0.81
12/01/05 15:03:12.0	0.82
12/01/05 15:03:24.5	0.83
12/01/05 15:03:31.5	0.84
12/01/05 15:03:54.0	0.85
12/01/05 15:04:19.0	0.86
12/01/05 15:04:59.5	0.87
12/01/05 15:05:17.5	0.88
12/01/05 15:05:42.5	0.89
12/01/05 15:06:08.5	0.9
12/01/05 15:06:28.0	0.91
12/01/05 15:06:40.5	0.92
12/01/05 15:07:00.5	0.93
12/01/05 15:07:18.0	0.94
12/01/05 15:07:40.0	0.95
12/01/05 15:07:55.5	0.96
12/01/05 15:08:41.5	0.97
12/01/05 15:09:43.5	0.98
12/01/05 15:11:35.5	0.99
12/01/05 15:14:35.5	1
12/01/05 15:19:46.5	1.01
12/01/05 15:21:09.5	1.02
12/01/05 15:25:11.5	1.03
12/01/05 15:26:38.5	1.04
12/01/05 15:28:57.5	1.05
12/01/05 15:31:21.0	1.06
12/01/05 15:34:15.5	1.07
12/01/05 15:40:06.0	1.08
12/01/05 15:46:08.0	1.09
12/01/05 15:49:22.5	1.1
12/01/05 15:52:39.0	1.11
12/01/05 15:57:43.0	1.12
12/01/05 16:08:12.5	1.13
12/01/05 16:15:25.5	1.14
12/01/05 16:21:29.0	1.15
12/01/05 16:24:11.0	1.16
12/01/05 16:27:13.0	1.17
12/01/05 16:41:33.0	1.18
12/01/05 16:44:50.0	1.19
12/01/05 16:45:18.5	1.2
12/01/05 16:47:09.5	1.21
12/01/05 16:48:58.5	1.22
12/01/05 16:56:14.5	1.23
12/01/05 17:10:54.5	1.24
12/01/05 17:20:35.5	1.25
12/01/05 17:36:53.0	1.26
12/01/05 17:48:32.0	1.27
12/01/05 17:49:42.0	1.28
12/01/05 17:53:19.5	1.29
12/01/05 17:54:56.0	1.3
12/01/05 17:58:00.0	1.31
12/01/05 18:00:34.5	1.32
12/01/05 18:02:27.5	1.33
12/01/05 18:05:02.0	1.34
12/01/05 18:06:49.0	1.35
12/01/05 18:07:28.5	1.36
12/01/05 18:07:54.5	1.37
12/01/05 18:08:15.5	1.38
12/01/05 18:08:44.0	1.39
12/01/05 18:09:02.5	1.4
12/01/05 18:09:33.5	1.41
12/01/05 18:09:48.5	1.42
12/01/05 18:10:09.0	1.43
12/01/05 18:10:20.5	1.44
12/01/05 18:10:38.5	1.45
12/01/05 18:11:07.5	1.46
12/01/05 18:11:38.5	1.47
12/01/05 18:12:34.0	1.48
12/01/05 18:16:16.0	1.49
12/01/05 18:18:04.0	1.5
12/01/05 18:22:11.0	1.51
12/01/05 18:30:24.5	1.52
12/01/05 18:35:50.0	1.53
12/01/05 19:00:48.0	1.54
12/01/05 19:20:19.0	1.55
12/01/05 19:52:27.0	1.56
12/01/05 20:06:33.5	1.57
12/01/05 20:10:43.5	1.58
12/01/05 20:14:39.5	1.59
12/01/05 20:15:14.0	1.6
12/01/05 20:15:47.0	1.61
12/01/05 20:16:11.5	1.62
12/01/05 20:16:46.5	1.63
12/01/05 20:17:28.5	1.64
12/01/05 20:19:14.5	1.65
12/01/05 20:21:48.5	1.66
12/01/05 20:23:44.5	1.67
12/01/05 20:25:00.5	1.68
12/01/05 20:26:48.0	1.69
12/01/05 20:28:09.5	1.7
12/01/05 20:29:06.0	1.71
12/01/05 20:29:41.5	1.72
12/01/05 20:30:49.5	1.73
12/01/05 20:31:54.0	1.74
12/01/05 20:32:39.0	1.75
12/01/05 20:33:42.0	1.76
12/01/05 20:35:09.0	1.77
12/01/05 20:37:44.5	1.78
12/01/05 20:39:48.0	1.79
12/01/05 20:40:22.5	1.8
12/01/05 20:42:32.5	1.81
12/01/05 20:44:23.0	1.82
12/01/05 20:50:25.5	1.83
12/01/05 21:43:09.0	1.84
