Serial Number:     502911     --     Series: Event (Rain Bucket Tip)

Date Time	Event (Rain Bucket Tip)
01/09/06 10:51:05.0	0
01/11/06 03:05:32.0	0.01
01/11/06 04:34:05.5	0.02
01/11/06 06:08:50.5	0.03
01/11/06 06:20:02.5	0.04
01/11/06 06:39:48.5	0.05
01/11/06 06:46:15.0	0.06
01/11/06 06:59:06.0	0.07
01/11/06 07:07:43.0	0.08
01/11/06 07:17:05.5	0.09
01/11/06 07:25:30.5	0.1
01/11/06 07:29:00.5	0.11
01/11/06 07:30:01.0	0.12
01/11/06 07:34:57.5	0.13
01/11/06 07:38:52.0	0.14
01/11/06 07:42:44.0	0.15
01/11/06 07:46:49.0	0.16
01/11/06 07:57:13.0	0.17
01/11/06 08:03:17.5	0.18
01/11/06 08:28:09.5	0.19
01/11/06 08:59:51.5	0.2
01/13/06 22:19:28.0	0.21
01/13/06 22:25:22.5	0.22
01/13/06 22:27:42.0	0.23
01/13/06 22:29:05.0	0.24
01/13/06 22:31:36.5	0.25
01/13/06 22:32:50.0	0.26
01/13/06 22:36:00.0	0.27
01/13/06 22:37:51.0	0.28
01/13/06 22:42:43.5	0.29
01/13/06 22:47:30.0	0.3
01/13/06 22:52:04.0	0.31
01/13/06 22:55:44.5	0.32
01/13/06 23:03:04.5	0.33
01/13/06 23:05:11.5	0.34
01/13/06 23:10:24.0	0.35
01/13/06 23:15:51.5	0.36
01/13/06 23:19:42.0	0.37
01/13/06 23:21:46.0	0.38
01/13/06 23:23:58.5	0.39
01/13/06 23:25:51.0	0.4
01/13/06 23:27:51.0	0.41
01/13/06 23:29:06.0	0.42
01/13/06 23:30:49.5	0.43
01/13/06 23:32:11.5	0.44
01/13/06 23:35:03.0	0.45
01/13/06 23:36:42.0	0.46
01/13/06 23:38:16.5	0.47
01/13/06 23:39:14.0	0.48
01/13/06 23:41:54.5	0.49
01/13/06 23:43:04.0	0.5
01/13/06 23:44:39.0	0.51
01/13/06 23:46:00.5	0.52
01/13/06 23:48:30.5	0.53
01/13/06 23:50:18.5	0.54
01/13/06 23:54:13.0	0.55
01/13/06 23:56:45.5	0.56
01/13/06 23:58:43.5	0.57
01/14/06 00:00:31.0	0.58
01/14/06 00:03:27.0	0.59
01/14/06 00:05:00.5	0.6
01/14/06 00:08:18.5	0.61
01/14/06 00:09:30.5	0.62
01/14/06 00:11:21.5	0.63
01/14/06 00:12:56.0	0.64
01/14/06 00:15:34.5	0.65
01/14/06 00:16:55.5	0.66
01/14/06 00:18:55.5	0.67
01/14/06 00:21:15.5	0.68
01/14/06 00:25:20.0	0.69
01/14/06 00:33:02.5	0.7
01/14/06 00:50:04.5	0.71
01/14/06 01:07:14.5	0.72
