Serial Number:     502911     --     Series: Event (Rainbucket Tip)

Date Time	Event (Rainbucket Tip)
10/03/07 10:47:10.0	0
10/09/07 23:09:15.5	0.01
10/09/07 23:11:59.5	0.02
10/09/07 23:14:13.5	0.03
10/09/07 23:16:20.0	0.04
10/09/07 23:18:52.5	0.05
10/09/07 23:22:37.0	0.06
10/09/07 23:24:54.5	0.07
10/09/07 23:28:37.0	0.08
10/09/07 23:31:47.0	0.09
10/09/07 23:34:42.0	0.1
10/09/07 23:39:42.0	0.11
10/09/07 23:41:58.0	0.12
10/09/07 23:47:47.5	0.13
10/09/07 23:50:49.5	0.14
10/09/07 23:55:45.0	0.15
10/09/07 23:57:48.0	0.16
10/10/07 00:00:26.0	0.17
10/10/07 00:02:12.5	0.18
10/10/07 00:04:13.0	0.19
10/10/07 00:05:39.0	0.2
10/10/07 00:07:28.5	0.21
10/10/07 00:08:41.0	0.22
10/10/07 00:10:15.0	0.23
10/10/07 00:11:02.5	0.24
10/10/07 00:12:12.0	0.25
10/10/07 00:13:06.0	0.26
10/10/07 00:14:15.5	0.27
10/10/07 00:15:13.5	0.28
10/10/07 00:16:37.0	0.29
10/10/07 00:17:21.5	0.3
10/10/07 00:18:23.0	0.31
10/10/07 00:19:08.0	0.32
10/10/07 00:20:18.5	0.33
10/10/07 00:21:15.5	0.34
10/10/07 00:22:24.0	0.35
10/10/07 00:23:15.5	0.36
10/10/07 00:24:16.0	0.37
10/10/07 00:24:56.5	0.38
10/10/07 00:26:20.5	0.39
10/10/07 00:27:21.5	0.4
10/10/07 00:28:36.5	0.41
10/10/07 00:29:19.0	0.42
10/10/07 00:30:52.0	0.43
10/10/07 00:32:15.0	0.44
10/10/07 00:33:16.0	0.45
10/10/07 00:34:14.0	0.46
10/10/07 00:35:45.0	0.47
10/10/07 00:37:07.0	0.48
10/10/07 00:38:43.0	0.49
10/10/07 00:40:03.0	0.5
10/10/07 00:41:26.0	0.51
10/10/07 00:42:33.5	0.52
10/10/07 00:43:49.5	0.53
10/10/07 00:44:41.0	0.54
10/10/07 00:45:38.0	0.55
10/10/07 00:46:17.5	0.56
10/10/07 00:47:19.5	0.57
10/10/07 00:48:23.0	0.58
10/10/07 00:49:43.0	0.59
10/10/07 00:50:38.0	0.6
10/10/07 00:51:50.5	0.61
10/10/07 00:52:41.5	0.62
10/10/07 00:53:47.0	0.63
10/10/07 00:54:44.0	0.64
10/10/07 00:56:09.0	0.65
10/10/07 00:57:29.0	0.66
10/10/07 00:59:21.0	0.67
10/10/07 01:00:38.0	0.68
10/10/07 01:01:35.5	0.69
10/10/07 01:02:10.0	0.7
10/10/07 01:02:54.5	0.71
10/10/07 01:03:15.5	0.72
10/10/07 01:03:50.0	0.73
10/10/07 01:04:09.5	0.74
10/10/07 01:04:31.0	0.75
10/10/07 01:04:45.5	0.76
10/10/07 01:05:04.5	0.77
10/10/07 01:05:20.0	0.78
10/10/07 01:05:43.5	0.79
10/10/07 01:06:01.5	0.8
10/10/07 01:06:28.5	0.81
10/10/07 01:06:51.5	0.82
10/10/07 01:07:20.0	0.83
10/10/07 01:07:38.5	0.84
10/10/07 01:08:06.5	0.85
10/10/07 01:08:29.5	0.86
10/10/07 01:08:59.0	0.87
10/10/07 01:09:28.0	0.88
10/10/07 01:10:06.5	0.89
10/10/07 01:10:37.0	0.9
10/10/07 01:11:29.0	0.91
10/10/07 01:12:17.0	0.92
10/10/07 01:13:23.0	0.93
10/10/07 01:14:31.0	0.94
10/10/07 01:16:12.0	0.95
10/10/07 01:17:12.0	0.96
10/10/07 01:18:29.0	0.97
10/10/07 01:19:23.5	0.98
10/10/07 01:20:40.0	0.99
10/10/07 01:21:35.0	1
10/10/07 01:22:45.0	1.01
10/10/07 01:23:44.0	1.02
10/10/07 01:25:10.5	1.03
10/10/07 01:26:19.0	1.04
10/10/07 01:27:23.5	1.05
10/10/07 01:28:18.0	1.06
10/10/07 01:29:32.5	1.07
10/10/07 01:30:39.0	1.08
10/10/07 01:31:53.0	1.09
10/10/07 01:32:42.5	1.1
10/10/07 01:34:13.5	1.11
10/10/07 01:35:32.5	1.12
10/10/07 01:37:57.5	1.13
10/10/07 01:40:05.0	1.14
10/10/07 01:42:53.0	1.15
10/10/07 01:46:13.5	1.16
10/10/07 01:49:44.5	1.17
10/10/07 01:55:06.5	1.18
10/10/07 02:02:25.5	1.19
10/10/07 02:11:39.0	1.2
10/10/07 02:23:23.0	1.21
10/10/07 02:36:20.0	1.22
10/10/07 03:03:04.0	1.23
10/10/07 03:06:40.0	1.24
10/10/07 03:08:48.0	1.25
10/10/07 03:10:35.5	1.26
10/10/07 03:15:24.5	1.27
10/10/07 05:39:12.5	1.28
10/10/07 05:48:29.5	1.29
10/10/07 06:23:03.5	1.3
10/11/07 10:41:24.5	1.3
