Serial Number:     502911     --     Series: Event (Rain fall event)

Date Time	Event (Rain fall event)
05/17/11 11:00:43.0	0
05/17/11 11:00:47.5	0.01
05/17/11 11:48:05.0	0.02
05/17/11 15:22:45.0	0.03
05/17/11 15:51:58.0	0.04
05/17/11 16:04:48.0	0.05
05/17/11 16:08:23.5	0.06
05/17/11 16:10:35.5	0.07
05/17/11 16:14:04.5	0.08
05/17/11 16:21:05.0	0.09
05/17/11 16:46:35.0	0.1
05/17/11 16:48:47.5	0.11
05/17/11 16:50:51.0	0.12
05/17/11 16:54:04.5	0.13
05/17/11 16:57:00.5	0.14
05/17/11 17:00:27.5	0.15
05/17/11 17:06:10.5	0.16
05/17/11 17:11:08.5	0.17
05/17/11 17:15:56.0	0.18
05/17/11 17:19:43.5	0.19
05/17/11 17:25:09.5	0.2
05/17/11 17:29:54.0	0.21
05/17/11 17:31:34.0	0.22
05/17/11 17:33:02.5	0.23
05/17/11 17:37:06.5	0.24
05/17/11 17:44:45.0	0.25
05/17/11 17:46:33.5	0.26
05/17/11 17:48:17.0	0.27
05/17/11 17:51:35.0	0.28
05/17/11 17:53:23.5	0.29
05/17/11 17:55:19.0	0.3
05/17/11 17:57:34.0	0.31
05/17/11 18:05:11.0	0.32
05/17/11 18:18:46.0	0.33
05/17/11 18:29:20.5	0.34
05/17/11 18:35:07.5	0.35
05/17/11 18:40:34.0	0.36
05/17/11 18:48:38.5	0.37
05/17/11 18:52:47.0	0.38
05/17/11 18:57:56.5	0.39
05/17/11 19:02:10.5	0.4
05/17/11 19:06:05.5	0.41
05/17/11 19:10:11.0	0.42
05/17/11 19:12:54.0	0.43
05/17/11 19:16:42.0	0.44
05/17/11 19:20:03.5	0.45
05/17/11 19:25:05.0	0.46
05/17/11 19:28:58.5	0.47
05/17/11 19:31:52.5	0.48
05/17/11 19:35:52.5	0.49
05/17/11 19:40:02.5	0.5
05/17/11 19:41:46.5	0.51
05/17/11 19:43:40.5	0.52
05/17/11 19:44:55.5	0.53
05/17/11 19:46:18.0	0.54
05/17/11 19:47:39.5	0.55
05/17/11 19:49:27.0	0.56
05/17/11 19:50:58.5	0.57
05/17/11 19:52:51.5	0.58
05/17/11 19:54:55.0	0.59
05/17/11 19:57:04.5	0.6
05/17/11 19:58:17.0	0.61
05/17/11 19:59:46.5	0.62
05/17/11 20:01:28.0	0.63
05/17/11 20:04:43.5	0.64
05/17/11 20:07:39.0	0.65
05/17/11 20:10:23.5	0.66
05/17/11 20:12:35.5	0.67
05/17/11 20:14:37.5	0.68
05/17/11 20:16:53.5	0.69
05/17/11 20:18:34.0	0.7
05/17/11 20:20:51.5	0.71
05/17/11 20:23:25.0	0.72
05/17/11 20:27:22.5	0.73
05/17/11 20:35:30.0	0.74
05/17/11 21:11:12.5	0.75
05/17/11 21:25:19.0	0.76
05/17/11 21:27:28.5	0.77
05/17/11 21:29:11.0	0.78
05/17/11 22:36:16.0	0.79
05/17/11 23:22:31.0	0.8
05/18/11 00:02:42.0	0.81
05/18/11 00:18:07.5	0.82
05/18/11 00:21:14.0	0.83
05/18/11 00:24:03.5	0.84
05/18/11 00:28:54.5	0.85
05/18/11 00:37:50.0	0.86
05/18/11 00:42:17.5	0.87
05/18/11 00:47:35.0	0.88
05/18/11 00:49:53.5	0.89
05/18/11 00:59:19.0	0.9
05/18/11 01:02:21.0	0.91
05/18/11 01:19:51.0	0.92
05/18/11 01:26:07.5	0.93
05/18/11 01:28:09.5	0.94
05/18/11 01:30:44.0	0.95
05/18/11 01:37:51.5	0.96
05/18/11 01:44:02.0	0.97
05/18/11 01:49:49.0	0.98
05/18/11 02:22:44.5	0.99
05/18/11 02:43:30.5	1
05/18/11 03:29:41.5	1.01
05/18/11 04:03:49.5	1.02
05/18/11 04:05:44.0	1.03
05/18/11 04:09:36.5	1.04
05/18/11 04:15:27.5	1.05
05/18/11 04:35:23.5	1.06
05/18/11 05:18:38.5	1.07
05/18/11 05:41:40.5	1.08
05/18/11 05:55:51.5	1.09
05/18/11 06:18:41.5	1.1
05/18/11 07:38:59.5	1.11
05/24/11 15:00:54.0	1.11
