Date Time	Event (Rain Bucket Tip)
05/02/05 12:58:04.0	0
05/04/05 14:52:20.5	0.01
05/04/05 15:04:45.5	0.02
05/04/05 15:16:55.0	0.03
05/04/05 15:25:20.5	0.04
05/04/05 15:35:19.5	0.05
05/04/05 15:43:22.5	0.06
05/04/05 16:09:03.5	0.07
05/04/05 16:23:08.0	0.08
05/04/05 16:36:57.0	0.09
05/04/05 16:51:44.5	0.1
05/04/05 17:07:13.5	0.11
05/04/05 17:24:02.5	0.12
05/04/05 17:40:58.0	0.13
05/04/05 17:48:45.5	0.14
05/04/05 18:02:00.5	0.15
05/04/05 18:28:00.5	0.16
05/04/05 19:06:48.0	0.17
05/04/05 19:40:08.5	0.18
05/04/05 19:55:37.5	0.19
05/04/05 20:11:06.0	0.2
05/04/05 20:22:35.5	0.21
05/04/05 20:32:20.5	0.22
05/04/05 20:49:16.5	0.23
05/04/05 20:54:46.0	0.24
05/04/05 21:03:20.5	0.25
05/04/05 21:06:41.5	0.26
05/04/05 21:10:28.0	0.27
05/04/05 21:14:32.0	0.28
05/04/05 21:18:03.5	0.29
05/04/05 21:22:05.0	0.3
05/04/05 21:25:15.5	0.31
05/04/05 21:27:56.5	0.32
05/04/05 21:31:22.0	0.33
05/04/05 21:35:26.5	0.34
05/04/05 21:55:15.0	0.35
05/04/05 22:15:49.0	0.36
05/04/05 22:41:58.5	0.37
05/04/05 22:50:16.5	0.38
05/04/05 22:59:58.5	0.39
05/04/05 23:37:15.5	0.4
05/05/05 01:20:57.5	0.41
05/05/05 02:40:25.0	0.42
05/05/05 03:07:40.5	0.43
05/05/05 03:36:25.5	0.44
05/05/05 04:01:15.0	0.45
05/05/05 04:10:35.5	0.46
05/05/05 04:23:25.5	0.47
05/05/05 04:38:45.0	0.48
05/05/05 05:28:07.5	0.49
05/05/05 05:48:44.5	0.5
05/05/05 05:52:30.0	0.51
05/05/05 05:53:34.5	0.52
05/05/05 05:55:08.5	0.53
05/05/05 05:57:49.5	0.54
05/05/05 06:02:20.5	0.55
05/05/05 06:05:24.0	0.56
05/05/05 06:09:05.5	0.57
05/05/05 06:14:39.0	0.58
05/05/05 06:23:05.5	0.59
05/05/05 06:43:19.0	0.6
05/08/05 05:11:55.5	0.61
05/08/05 05:42:26.0	0.62
05/08/05 06:27:31.0	0.63
05/08/05 06:34:49.5	0.64
05/08/05 06:53:11.0	0.65
05/08/05 07:43:28.0	0.66
05/08/05 08:05:14.5	0.67
05/08/05 08:35:11.5	0.68
05/08/05 08:41:24.0	0.69
05/08/05 09:13:18.5	0.7
05/08/05 11:03:15.5	0.71
05/08/05 11:08:03.0	0.72
05/08/05 11:16:47.5	0.73
05/08/05 11:36:32.5	0.74
05/08/05 11:49:22.5	0.75
05/08/05 11:55:09.0	0.76
05/08/05 12:00:42.5	0.77
05/08/05 12:08:33.5	0.78
05/08/05 12:20:03.5	0.79
05/08/05 12:27:04.0	0.8
05/08/05 12:32:50.5	0.81
05/08/05 12:38:09.5	0.82
05/08/05 12:44:37.5	0.83
05/08/05 12:50:07.0	0.84
05/08/05 12:54:48.0	0.85
05/08/05 13:05:16.5	0.86
05/08/05 13:13:57.5	0.87
05/08/05 13:25:08.5	0.88
05/08/05 13:28:17.5	0.89
05/08/05 13:30:36.0	0.9
05/08/05 13:37:11.0	0.91
05/08/05 13:54:56.5	0.92
05/08/05 13:59:47.0	0.93
05/08/05 14:03:38.5	0.94
05/08/05 15:56:29.5	0.95
05/08/05 15:57:05.0	0.96
05/08/05 15:57:40.5	0.97
05/08/05 15:58:20.0	0.98
05/08/05 15:59:33.0	0.99
05/08/05 16:00:52.5	1
05/08/05 16:02:51.5	1.01
05/08/05 16:07:15.5	1.02
05/08/05 16:11:48.0	1.03
05/08/05 16:13:10.5	1.04
05/08/05 16:14:56.5	1.05
05/08/05 16:17:09.5	1.06
05/08/05 16:18:43.5	1.07
05/08/05 16:19:54.0	1.08
05/08/05 17:27:35.0	1.09
05/08/05 17:32:25.0	1.1
