Serial Number:     503050     --     Series: Event (Rain Bucket Tip)

Date Time	Event (Rain Bucket Tip)
11/03/05 11:56:17.0	0
11/03/05 21:55:31.5	0.01
11/03/05 22:26:38.0	0.02
11/03/05 22:33:18.5	0.03
11/03/05 22:39:52.5	0.04
11/03/05 22:53:10.5	0.05
11/03/05 23:11:08.5	0.06
11/03/05 23:15:21.5	0.07
11/03/05 23:23:34.5	0.08
11/03/05 23:27:04.5	0.09
11/03/05 23:36:29.0	0.1
11/04/05 00:13:46.0	0.11
11/04/05 01:04:44.5	0.12
11/04/05 01:06:12.0	0.13
11/04/05 01:08:48.5	0.14
11/04/05 01:10:56.5	0.15
11/04/05 01:12:02.0	0.16
11/04/05 01:12:50.5	0.17
11/04/05 01:15:14.5	0.18
11/04/05 01:23:50.5	0.19
11/04/05 01:38:37.5	0.2
11/04/05 03:20:17.0	0.21
11/04/05 05:41:36.0	0.22
11/04/05 05:47:29.0	0.23
11/04/05 05:48:25.0	0.24
11/04/05 05:49:16.0	0.25
11/04/05 05:50:27.0	0.26
11/04/05 05:53:03.5	0.27
11/04/05 05:54:40.5	0.28
11/04/05 05:57:42.5	0.29
11/04/05 06:13:27.0	0.3
11/04/05 09:37:17.0	0.31
11/04/05 09:40:29.0	0.32
11/04/05 09:46:36.0	0.33
11/04/05 09:48:29.0	0.34
11/04/05 09:50:00.5	0.35
11/04/05 09:55:10.5	0.36
11/07/05 06:22:36.0	0.37
11/07/05 13:56:45.5	0.38
11/07/05 21:36:12.0	0.39
11/07/05 21:39:53.5	0.4
11/07/05 21:41:39.0	0.41
11/07/05 21:42:31.5	0.42
11/07/05 21:43:15.5	0.43
11/07/05 21:44:03.0	0.44
11/07/05 21:44:50.5	0.45
11/07/05 21:45:52.5	0.46
11/07/05 21:47:10.5	0.47
11/07/05 21:49:39.0	0.48
11/07/05 21:53:43.0	0.49
11/07/05 21:56:23.0	0.5
11/07/05 22:00:51.5	0.51
11/07/05 22:04:02.5	0.52
11/07/05 22:08:40.5	0.53
11/07/05 22:13:07.5	0.54
11/07/05 22:19:33.5	0.55
11/07/05 22:28:31.5	0.56
11/07/05 22:37:00.5	0.57
11/07/05 23:10:59.5	0.58
11/07/05 23:24:48.5	0.59
11/07/05 23:34:52.0	0.6
11/07/05 23:43:38.5	0.61
11/07/05 23:52:32.0	0.62
11/08/05 00:05:18.0	0.63
11/08/05 00:14:46.5	0.64
11/08/05 00:19:24.0	0.65
11/08/05 00:25:02.5	0.66
11/08/05 00:32:18.5	0.67
11/08/05 00:41:06.0	0.68
11/08/05 00:49:39.0	0.69
11/08/05 01:00:40.5	0.7
11/08/05 01:07:36.5	0.71
11/08/05 01:14:02.0	0.72
11/08/05 01:19:21.5	0.73
11/08/05 01:23:08.0	0.74
11/08/05 01:26:58.0	0.75
11/08/05 01:33:29.5	0.76
11/08/05 01:43:27.0	0.77
11/08/05 01:56:16.5	0.78
11/08/05 02:13:08.5	0.79
11/08/05 02:38:55.5	0.8
11/08/05 03:07:22.5	0.81
11/08/05 03:21:17.5	0.82
11/08/05 03:57:23.0	0.83
11/08/05 05:01:30.0	0.84
11/08/05 05:13:41.0	0.85
11/08/05 05:25:08.5	0.86
11/08/05 05:34:11.0	0.87
11/08/05 05:55:04.5	0.88
11/08/05 09:55:48.0	0.88
