Serial Number:     503050     --     Series: Event (Rain Bucket Tip)

Date Time	Event (Rain Bucket Tip)
12/01/05 09:28:32.0	0
12/01/05 09:41:36.0	0.01
12/01/05 09:58:30.0	0.02
12/01/05 11:17:51.5	0.03
12/01/05 12:15:53.5	0.04
12/01/05 12:20:43.0	0.05
12/01/05 12:21:37.0	0.06
12/01/05 12:22:22.5	0.07
12/01/05 12:23:08.0	0.08
12/01/05 12:23:58.5	0.09
12/01/05 12:24:48.5	0.1
12/01/05 12:26:28.5	0.11
12/01/05 12:27:55.5	0.12
12/01/05 12:30:00.5	0.13
12/01/05 12:32:32.5	0.14
12/01/05 12:34:53.0	0.15
12/01/05 12:36:35.5	0.16
12/01/05 12:38:25.0	0.17
12/01/05 12:39:49.5	0.18
12/01/05 12:43:03.5	0.19
12/01/05 12:47:44.5	0.2
12/01/05 12:55:06.0	0.21
12/01/05 12:58:32.5	0.22
12/01/05 13:00:27.5	0.23
12/01/05 13:02:00.5	0.24
12/01/05 13:03:37.5	0.25
12/01/05 13:05:09.0	0.26
12/01/05 13:06:52.0	0.27
12/01/05 13:08:19.0	0.28
12/01/05 13:10:09.0	0.29
12/01/05 13:11:18.0	0.3
12/01/05 13:12:25.0	0.31
12/01/05 13:13:24.5	0.32
12/01/05 13:14:27.0	0.33
12/01/05 13:15:05.0	0.34
12/01/05 13:15:47.0	0.35
12/01/05 13:16:19.0	0.36
12/01/05 13:17:19.5	0.37
12/01/05 13:18:30.0	0.38
12/01/05 13:19:58.5	0.39
12/01/05 13:21:17.5	0.4
12/01/05 13:22:52.5	0.41
12/01/05 13:24:14.5	0.42
12/01/05 13:25:59.0	0.43
12/01/05 13:27:43.5	0.44
12/01/05 13:29:41.5	0.45
12/01/05 13:31:28.5	0.46
12/01/05 13:33:50.0	0.47
12/01/05 13:35:54.5	0.48
12/01/05 13:38:58.0	0.49
12/01/05 13:59:06.0	0.5
12/01/05 14:10:58.0	0.51
12/01/05 14:15:22.5	0.52
12/01/05 14:18:38.5	0.53
12/01/05 14:21:10.5	0.54
12/01/05 14:23:23.0	0.55
12/01/05 14:24:44.0	0.56
12/01/05 14:27:16.0	0.57
12/01/05 14:51:07.0	0.58
12/01/05 14:57:32.0	0.59
12/01/05 14:58:49.0	0.6
12/01/05 14:59:31.5	0.61
12/01/05 15:00:09.0	0.62
12/01/05 15:00:49.0	0.63
12/01/05 15:01:07.5	0.64
12/01/05 15:01:39.5	0.65
12/01/05 15:02:06.5	0.66
12/01/05 15:02:23.0	0.67
12/01/05 15:02:31.5	0.68
12/01/05 15:02:44.5	0.69
12/01/05 15:02:58.5	0.7
12/01/05 15:03:16.0	0.71
12/01/05 15:03:45.0	0.72
12/01/05 15:04:30.5	0.73
12/01/05 15:04:54.5	0.74
12/01/05 15:05:21.0	0.75
12/01/05 15:06:10.0	0.76
12/01/05 15:06:48.0	0.77
12/01/05 15:07:15.0	0.78
12/01/05 15:07:55.0	0.79
12/01/05 15:08:39.0	0.8
12/01/05 15:10:46.0	0.81
12/01/05 15:14:38.5	0.82
12/01/05 15:19:00.5	0.83
12/01/05 15:19:50.5	0.84
12/01/05 15:21:20.0	0.85
12/01/05 15:24:32.5	0.86
12/01/05 15:26:30.0	0.87
12/01/05 15:29:33.0	0.88
12/01/05 15:32:53.5	0.89
12/01/05 15:41:41.0	0.9
12/01/05 15:47:23.5	0.91
12/01/05 15:50:46.0	0.92
12/01/05 15:57:17.0	0.93
12/01/05 16:04:13.5	0.94
12/01/05 16:20:08.0	0.95
12/01/05 16:22:12.5	0.96
12/01/05 16:24:12.0	0.97
12/01/05 16:29:21.0	0.98
12/01/05 16:41:20.5	0.99
