Date Time	Event (Rain Bucket Tip)
01/23/04 14:29:50.0	0
01/23/04 23:41:33.5	0.01
01/23/04 23:56:46.0	0.02
01/24/04 00:08:36.0	0.03
01/24/04 00:15:43.0	0.04
01/24/04 00:18:24.0	0.05
01/24/04 00:20:46.0	0.06
01/24/04 00:23:59.0	0.07
01/24/04 00:33:43.0	0.08
01/24/04 00:39:26.5	0.09
01/24/04 01:00:01.0	0.1
01/24/04 01:16:55.5	0.11
01/24/04 01:27:19.5	0.12
01/24/04 01:33:01.0	0.13
01/24/04 01:36:25.0	0.14
01/24/04 01:40:16.5	0.15
01/24/04 01:43:41.5	0.16
01/24/04 01:46:18.0	0.17
01/24/04 01:49:32.0	0.18
01/24/04 01:52:46.0	0.19
01/24/04 01:58:45.0	0.2
01/24/04 02:02:41.5	0.21
01/24/04 02:05:30.5	0.22
01/24/04 02:07:47.5	0.23
01/24/04 02:10:16.5	0.24
01/24/04 02:12:53.5	0.25
01/24/04 02:16:13.5	0.26
01/24/04 02:20:28.0	0.27
01/24/04 02:33:38.0	0.28
01/24/04 02:57:11.0	0.29
01/24/04 03:00:46.0	0.3
01/24/04 03:05:28.0	0.31
01/24/04 03:09:52.5	0.32
01/24/04 03:18:50.0	0.33
01/24/04 03:25:31.0	0.34
01/24/04 03:34:45.5	0.35
01/24/04 03:39:14.0	0.36
01/24/04 03:41:48.5	0.37
01/24/04 03:46:01.0	0.38
01/24/04 03:51:52.0	0.39
01/24/04 03:55:54.5	0.4
01/24/04 04:00:51.0	0.41
01/24/04 04:15:30.5	0.42
01/24/04 04:21:17.5	0.43
01/24/04 04:25:05.5	0.44
01/24/04 04:27:29.0	0.45
01/24/04 04:33:55.5	0.46
01/24/04 04:42:12.0	0.47
01/24/04 04:48:32.0	0.48
01/24/04 04:51:39.0	0.49
01/24/04 04:56:22.0	0.5
01/24/04 05:02:50.0	0.51
01/24/04 05:08:42.5	0.52
01/24/04 05:14:04.5	0.53
01/24/04 05:17:08.5	0.54
01/24/04 05:19:58.5	0.55
01/24/04 05:24:11.5	0.56
01/24/04 05:26:35.0	0.57
01/24/04 05:27:51.0	0.58
01/24/04 05:29:38.0	0.59
01/24/04 05:31:42.5	0.6
01/24/04 05:34:17.0	0.61
01/24/04 05:37:53.5	0.62
01/24/04 06:34:29.5	0.63
01/24/04 07:04:13.5	0.64
01/24/04 08:49:49.0	0.65
01/25/04 02:49:55.5	0.66
01/26/04 16:58:50.5	0.67
01/26/04 17:06:36.5	0.68
01/26/04 17:10:35.0	0.69
01/26/04 17:15:54.0	0.7
01/26/04 17:35:20.5	0.71
01/26/04 18:03:19.5	0.72
01/26/04 19:00:52.0	0.73
01/27/04 01:33:35.5	0.74
01/27/04 02:11:29.0	0.75
01/27/04 02:39:06.5	0.76
01/27/04 02:52:21.0	0.77
01/27/04 03:14:07.5	0.78
01/27/04 03:26:42.5	0.79
01/27/04 03:46:22.5	0.8
01/27/04 04:09:15.0	0.81
01/27/04 04:29:06.0	0.82
01/27/04 04:42:19.5	0.83
01/27/04 04:51:26.0	0.84
01/27/04 05:08:29.0	0.85
01/27/04 05:18:27.0	0.86
01/27/04 05:45:53.5	0.87
01/27/04 06:25:30.0	0.88
01/27/04 07:14:55.5	0.89
01/27/04 07:59:56.0	0.9
01/27/04 08:28:13.5	0.91
01/27/04 09:42:40.0	0.92
01/27/04 09:54:49.5	0.93
01/27/04 10:01:04.0	0.94
01/27/04 10:07:55.5	0.95
01/27/04 10:12:45.0	0.96
01/27/04 10:17:29.0	0.97
01/27/04 10:21:17.0	0.98
01/27/04 10:24:27.5	0.99
01/27/04 10:28:56.0	1
01/27/04 10:43:43.5	1.01
01/27/04 10:48:25.5	1.02
01/27/04 10:53:24.5	1.03
01/27/04 10:53:38.0	1.04
01/27/04 10:53:51.5	1.05
01/27/04 10:54:13.0	1.06
01/27/04 10:55:43.0	1.07
01/27/04 11:16:20.5	1.08
01/27/04 11:25:29.0	1.09
01/27/04 12:02:36.0	1.1
01/27/04 12:05:34.5	1.11
01/27/04 12:48:52.0	1.12
01/27/04 12:55:39.5	1.13
01/27/04 13:06:09.5	1.14
01/27/04 13:37:42.5	1.15
01/27/04 14:38:25.5	1.16
01/27/04 14:39:34.0	1.17
01/27/04 14:44:16.0	1.18
01/27/04 14:47:57.5	1.19
01/27/04 15:26:50.0	1.2
01/27/04 15:39:37.0	1.21
01/27/04 15:40:16.0	1.22
01/27/04 15:41:04.0	1.23
01/27/04 15:43:07.0	1.24
01/27/04 15:44:39.5	1.25
01/27/04 15:48:40.0	1.26
01/27/04 16:40:03.0	1.27
01/27/04 17:27:42.0	1.28
