Date Time	Event (Rain Bucket Tip)
09/11/09 09:06:34.0	0
09/11/09 10:44:46.5	0.01
09/11/09 10:44:48.0	0.02
09/11/09 10:44:54.0	0.03
09/11/09 10:48:28.5	0.04
09/11/09 10:48:38.5	0.05
09/11/09 10:49:39.5	0.06
09/11/09 10:58:15.5	0.07
09/11/09 10:58:17.0	0.08
09/11/09 10:58:24.5	0.09
09/11/09 10:58:27.0	0.1
09/11/09 10:58:30.0	0.11
09/11/09 11:09:19.0	0.12
09/11/09 11:09:21.5	0.13
09/11/09 11:31:30.0	0.14
09/13/09 18:09:19.5	0.15
09/13/09 18:35:37.0	0.16
09/13/09 18:44:04.0	0.17
09/13/09 18:56:12.0	0.18
09/13/09 19:00:21.0	0.19
09/13/09 19:07:22.5	0.2
09/13/09 19:12:24.0	0.21
09/13/09 19:16:50.5	0.22
09/13/09 19:21:08.5	0.23
09/13/09 19:25:56.0	0.24
09/13/09 19:31:36.0	0.25
09/13/09 19:35:22.5	0.26
09/13/09 19:38:27.5	0.27
09/13/09 19:43:22.5	0.28
09/13/09 19:46:50.0	0.29
09/13/09 19:49:23.5	0.3
09/13/09 19:52:08.5	0.31
09/13/09 19:54:33.0	0.32
09/13/09 19:55:41.0	0.33
09/13/09 19:57:05.0	0.34
09/13/09 19:58:40.0	0.35
09/13/09 20:01:11.0	0.36
09/13/09 20:03:05.5	0.37
09/13/09 20:05:39.0	0.38
09/13/09 20:08:04.0	0.39
09/13/09 20:12:42.0	0.4
09/13/09 20:14:54.5	0.41
09/13/09 20:17:16.0	0.42
09/13/09 20:18:52.0	0.43
09/13/09 20:22:32.5	0.44
09/13/09 20:25:18.0	0.45
09/13/09 20:29:07.0	0.46
09/13/09 20:31:01.5	0.47
09/13/09 20:33:23.0	0.48
09/13/09 20:35:36.0	0.49
09/13/09 20:40:13.5	0.5
09/13/09 20:47:57.5	0.51
09/13/09 20:52:22.5	0.52
09/13/09 20:55:43.0	0.53
09/13/09 20:59:35.5	0.54
09/13/09 21:02:30.5	0.55
09/13/09 21:06:41.0	0.56
09/13/09 21:08:08.5	0.57
09/13/09 21:09:15.0	0.58
09/13/09 21:11:25.5	0.59
09/13/09 21:17:54.0	0.6
09/13/09 21:24:03.5	0.61
09/13/09 21:26:42.0	0.62
09/13/09 21:29:51.0	0.63
09/13/09 21:35:30.0	0.64
09/13/09 21:38:32.5	0.65
09/13/09 21:42:30.5	0.66
09/13/09 21:44:37.5	0.67
09/13/09 21:47:31.5	0.68
09/13/09 22:04:24.0	0.69
09/13/09 22:20:54.0	0.7
09/13/09 22:29:43.5	0.71
09/13/09 22:32:46.0	0.72
09/13/09 22:38:05.5	0.73
09/13/09 22:42:00.0	0.74
09/13/09 22:45:31.5	0.75
09/13/09 22:55:22.0	0.76
09/14/09 00:16:53.0	0.77
09/15/09 12:38:24.5	0.77
