Date Time	Event (Rain Bucket Tip)
12/01/09 12:40:03.0	0
12/06/09 14:49:19.0	0.01
12/06/09 14:53:21.0	0.02
12/06/09 22:34:08.0	0.03
12/06/09 22:36:53.5	0.04
12/06/09 23:58:20.5	0.05
12/07/09 00:09:00.5	0.06
12/07/09 00:09:41.0	0.07
12/07/09 00:19:24.0	0.08
12/07/09 00:22:57.5	0.09
12/07/09 00:23:57.5	0.1
12/07/09 00:25:27.0	0.11
12/07/09 00:39:23.0	0.12
12/07/09 00:47:20.0	0.13
12/07/09 01:22:23.0	0.14
12/07/09 01:27:22.0	0.15
12/07/09 01:36:45.5	0.16
12/07/09 01:40:14.0	0.17
12/07/09 01:44:01.0	0.18
12/07/09 01:45:51.0	0.19
12/07/09 01:47:57.0	0.2
12/07/09 01:49:34.0	0.21
12/07/09 01:52:10.5	0.22
12/07/09 01:53:57.5	0.23
12/07/09 01:55:03.5	0.24
12/07/09 01:55:49.0	0.25
12/07/09 01:56:48.0	0.26
12/07/09 01:57:55.5	0.27
12/07/09 01:58:34.0	0.28
12/07/09 02:00:24.5	0.29
12/07/09 02:01:34.0	0.3
12/07/09 02:01:58.0	0.31
12/07/09 02:02:14.5	0.32
12/07/09 02:02:26.5	0.33
12/07/09 02:02:45.5	0.34
12/07/09 02:03:30.5	0.35
12/07/09 02:05:33.5	0.36
12/07/09 02:08:37.0	0.37
12/07/09 02:10:41.5	0.38
12/07/09 02:13:11.5	0.39
12/07/09 02:17:54.0	0.4
12/07/09 02:21:16.5	0.41
12/07/09 02:32:12.5	0.42
12/07/09 02:37:58.5	0.43
12/07/09 02:48:30.0	0.44
12/07/09 03:31:01.0	0.45
12/07/09 03:43:48.0	0.46
12/07/09 03:54:57.0	0.47
12/07/09 04:06:20.5	0.48
12/07/09 04:13:29.5	0.49
12/07/09 04:21:00.0	0.5
12/07/09 04:25:24.5	0.51
12/07/09 04:31:09.0	0.52
12/07/09 04:38:11.0	0.53
12/07/09 04:44:02.0	0.54
12/07/09 04:49:08.5	0.55
12/07/09 04:56:53.5	0.56
12/07/09 05:10:55.5	0.57
12/07/09 05:38:58.0	0.58
12/07/09 06:00:42.5	0.59
12/07/09 06:15:34.0	0.6
12/08/09 12:07:24.0	0.61
12/08/09 12:07:27.5	0.61
