Date Time	Event (Rain Bucket Tip)
12/15/09 11:52:59.0	0
12/16/09 06:21:56.0	0.01
12/16/09 07:59:19.0	0.02
12/16/09 08:53:24.5	0.03
12/16/09 09:17:17.0	0.04
12/16/09 10:07:35.0	0.05
12/16/09 10:34:25.5	0.06
12/16/09 10:54:49.0	0.07
12/16/09 11:23:16.5	0.08
12/16/09 12:30:34.0	0.09
12/20/09 19:39:00.0	0.1
12/21/09 04:49:46.0	0.11
12/21/09 10:01:26.5	0.12
12/21/09 10:53:17.0	0.13
12/21/09 10:56:30.5	0.14
12/21/09 11:16:32.0	0.15
12/21/09 11:50:48.0	0.16
12/21/09 12:04:18.0	0.17
12/21/09 12:06:21.5	0.18
12/21/09 12:08:40.0	0.19
12/21/09 12:14:00.0	0.2
12/21/09 12:20:36.5	0.21
12/21/09 12:24:15.0	0.22
12/21/09 12:28:37.0	0.23
12/21/09 12:49:41.5	0.24
12/21/09 13:05:55.0	0.25
12/21/09 13:09:18.0	0.26
12/21/09 13:12:01.5	0.27
12/21/09 13:15:50.5	0.28
12/21/09 13:19:35.0	0.29
12/21/09 13:25:37.0	0.3
12/21/09 13:33:31.0	0.31
12/21/09 13:49:49.0	0.32
12/21/09 13:54:32.0	0.33
12/21/09 13:57:32.0	0.34
12/21/09 14:04:11.5	0.35
12/21/09 16:40:33.0	0.36
12/21/09 17:53:47.5	0.37
12/21/09 18:54:13.5	0.38
12/21/09 19:19:47.0	0.39
12/21/09 20:08:16.0	0.4
12/21/09 20:09:17.5	0.41
12/21/09 20:11:23.5	0.42
12/21/09 20:13:23.5	0.43
12/21/09 20:21:18.5	0.44
12/21/09 20:25:53.5	0.45
12/21/09 20:52:45.0	0.46
12/21/09 20:58:20.5	0.47
12/21/09 21:08:03.5	0.48
12/21/09 21:13:43.0	0.49
12/22/09 09:08:35.5	0.5
12/22/09 09:09:12.5	0.51
12/22/09 09:09:19.5	0.51
