Serial Number:     202809     --     Series: Event (rain bucket tip)

Date Time	Event (rain bucket tip)
03/30/10 16:13:58.0	0
03/30/10 16:13:59.0	0.0093
03/31/10 01:31:10.5	0.0185
03/31/10 02:19:29.5	0.0278
03/31/10 02:23:38.5	0.037
03/31/10 02:26:23.5	0.0463
03/31/10 02:29:31.0	0.0556
03/31/10 02:36:18.0	0.0648
03/31/10 05:19:06.5	0.0741
03/31/10 05:35:35.5	0.0833
03/31/10 05:36:35.0	0.0926
03/31/10 05:39:32.5	0.1019
03/31/10 06:00:20.0	0.1111
03/31/10 06:04:35.5	0.1204
03/31/10 06:08:28.5	0.1296
03/31/10 16:42:51.0	0.1389
03/31/10 16:47:41.0	0.1481
03/31/10 16:51:26.0	0.1574
03/31/10 16:54:46.5	0.1667
03/31/10 16:56:36.5	0.1759
03/31/10 16:57:41.0	0.1852
03/31/10 17:02:24.0	0.1944
03/31/10 17:07:02.5	0.2037
03/31/10 17:09:05.0	0.213
03/31/10 17:10:34.0	0.2222
03/31/10 17:11:46.5	0.2315
03/31/10 17:13:33.5	0.2407
03/31/10 17:17:01.5	0.25
03/31/10 17:20:59.0	0.2593
03/31/10 17:23:57.0	0.2685
03/31/10 17:28:11.0	0.2778
03/31/10 17:31:42.5	0.287
03/31/10 17:36:20.0	0.2963
03/31/10 17:42:11.0	0.3056
03/31/10 17:49:38.5	0.3148
03/31/10 17:53:11.0	0.3241
03/31/10 17:55:47.5	0.3333
03/31/10 17:59:04.0	0.3426
03/31/10 18:01:28.0	0.3519
03/31/10 18:03:57.5	0.3611
03/31/10 18:06:31.0	0.3704
03/31/10 18:08:04.5	0.3796
03/31/10 18:10:02.0	0.3889
03/31/10 18:13:09.0	0.3981
03/31/10 18:22:08.0	0.4074
03/31/10 18:26:25.0	0.4167
03/31/10 18:31:05.0	0.4259
03/31/10 18:35:32.0	0.4352
03/31/10 18:41:27.0	0.4444
03/31/10 18:45:15.0	0.4537
03/31/10 18:48:23.5	0.463
03/31/10 18:51:42.0	0.4722
03/31/10 18:54:54.0	0.4815
03/31/10 19:13:22.0	0.4907
03/31/10 19:15:31.0	0.5
03/31/10 19:16:37.0	0.5093
03/31/10 19:19:06.0	0.5185
03/31/10 19:20:53.0	0.5278
03/31/10 19:23:41.0	0.537
03/31/10 19:27:37.5	0.5463
03/31/10 19:30:09.0	0.5556
03/31/10 19:31:46.5	0.5648
03/31/10 19:33:14.5	0.5741
03/31/10 19:34:47.0	0.5833
03/31/10 19:36:20.5	0.5926
03/31/10 19:37:35.0	0.6019
03/31/10 19:39:31.0	0.6111
03/31/10 19:41:50.5	0.6204
