Serial Number:     202809     --     Series: Event (rain bucket tip)

Date Time	Event (rain bucket tip)
05/11/10 14:04:44.0	0
05/17/10 14:22:52.0	0.0093
05/17/10 15:38:17.5	0.0185
05/17/10 16:03:11.0	0.0278
05/17/10 16:30:30.0	0.037
05/17/10 16:39:19.5	0.0463
05/17/10 17:00:31.5	0.0556
05/17/10 17:16:53.5	0.0648
05/17/10 17:32:11.0	0.0741
05/17/10 17:48:07.5	0.0833
05/17/10 17:52:53.5	0.0926
05/17/10 18:01:10.0	0.1019
05/17/10 18:16:43.0	0.1111
05/17/10 18:24:45.0	0.1204
05/17/10 18:32:25.5	0.1296
05/17/10 18:50:06.5	0.1389
05/17/10 19:01:34.0	0.1481
05/17/10 19:10:46.0	0.1574
05/17/10 20:59:43.5	0.1667
05/17/10 21:57:43.5	0.1759
05/17/10 22:18:14.5	0.1852
05/17/10 22:55:11.0	0.1944
05/18/10 03:08:12.0	0.2037
05/18/10 03:34:06.0	0.213
05/18/10 11:37:46.5	0.2222
05/18/10 11:40:10.0	0.2222
