Serial Number:     202809     --     Series: Event (Rainfall event data)

Date Time	Event (Rainfall event data)
10/19/10 10:56:22.0	0
10/21/10 23:04:12.5	0.01
10/21/10 23:47:37.0	0.02
10/21/10 23:58:56.0	0.03
10/22/10 00:06:47.0	0.04
10/22/10 00:09:06.5	0.05
10/22/10 00:12:56.5	0.06
10/22/10 00:17:16.5	0.07
10/22/10 00:20:22.0	0.08
10/22/10 08:18:53.5	0.09
10/22/10 08:36:38.0	0.1
10/22/10 15:53:07.0	0.11
10/22/10 17:19:23.0	0.12
10/22/10 17:38:43.0	0.13
10/23/10 14:46:13.0	0.14
10/23/10 15:04:53.0	0.15
10/23/10 15:17:11.5	0.16
10/23/10 15:25:43.5	0.17
10/23/10 15:34:10.0	0.18
10/23/10 15:44:33.5	0.19
10/23/10 15:55:50.5	0.2
10/23/10 16:02:01.0	0.21
10/23/10 16:10:54.0	0.22
10/23/10 16:21:23.0	0.23
10/23/10 16:30:14.0	0.24
10/23/10 16:34:53.0	0.25
10/23/10 16:41:56.5	0.26
10/23/10 16:50:56.5	0.27
10/23/10 17:17:11.5	0.28
10/23/10 17:26:20.5	0.29
10/23/10 17:43:20.5	0.3
10/23/10 17:49:42.0	0.31
10/23/10 17:56:36.5	0.32
10/23/10 17:59:16.5	0.33
10/23/10 18:04:41.5	0.34
10/23/10 18:08:15.0	0.35
10/23/10 18:12:59.5	0.36
10/23/10 18:17:54.5	0.37
10/23/10 18:27:43.5	0.38
10/23/10 18:32:54.5	0.39
10/23/10 18:41:26.0	0.4
10/23/10 18:48:59.5	0.41
10/23/10 19:02:28.5	0.42
10/23/10 19:08:59.0	0.43
10/23/10 19:18:44.5	0.44
10/23/10 19:31:33.0	0.45
10/23/10 19:38:31.5	0.46
10/23/10 19:42:43.0	0.47
10/23/10 19:53:05.0	0.48
10/23/10 19:57:45.0	0.49
10/23/10 20:02:41.0	0.5
10/23/10 20:08:06.5	0.51
10/23/10 20:13:04.5	0.52
10/23/10 20:18:28.0	0.53
10/23/10 20:22:35.5	0.54
10/23/10 20:26:33.5	0.55
10/23/10 20:44:48.5	0.56
10/23/10 21:02:57.0	0.57
10/23/10 21:30:02.5	0.58
10/23/10 21:52:26.5	0.59
10/23/10 22:09:20.5	0.6
10/23/10 22:25:22.0	0.61
10/23/10 22:47:55.0	0.62
10/23/10 23:18:09.0	0.63
10/24/10 00:03:27.0	0.64
10/24/10 00:20:34.5	0.65
10/24/10 00:51:03.5	0.66
10/24/10 01:08:16.0	0.67
10/24/10 01:31:36.5	0.68
10/24/10 01:51:19.0	0.69
10/24/10 02:15:23.0	0.7
10/24/10 02:41:16.5	0.71
10/24/10 02:58:24.0	0.72
10/24/10 03:08:01.5	0.73
10/24/10 03:18:25.0	0.74
10/24/10 03:27:27.0	0.75
10/24/10 03:38:45.0	0.76
10/24/10 03:48:53.5	0.77
10/24/10 03:59:38.0	0.78
10/24/10 04:13:45.5	0.79
10/24/10 04:27:56.0	0.8
10/24/10 04:38:37.0	0.81
10/24/10 04:48:51.5	0.82
10/24/10 05:05:32.5	0.83
10/24/10 05:14:36.0	0.84
10/24/10 05:19:45.5	0.85
10/24/10 05:41:01.5	0.86
10/24/10 06:45:13.0	0.87
10/24/10 08:01:49.0	0.88
10/24/10 08:11:30.0	0.89
10/24/10 08:19:32.5	0.9
10/24/10 08:25:17.5	0.91
10/24/10 08:31:00.0	0.92
10/24/10 08:35:32.5	0.93
10/24/10 08:43:05.0	0.94
10/24/10 08:50:17.5	0.95
10/24/10 08:55:01.0	0.96
10/24/10 08:57:47.0	0.97
10/24/10 09:02:19.0	0.98
10/24/10 09:06:53.0	0.99
10/24/10 09:14:01.0	1
10/24/10 09:18:25.0	1.01
10/24/10 09:27:35.0	1.02
10/24/10 09:32:12.0	1.03
10/24/10 09:36:42.5	1.04
10/24/10 09:40:49.5	1.05
10/24/10 09:45:37.5	1.06
10/24/10 09:52:28.5	1.07
10/24/10 10:03:13.0	1.08
10/24/10 10:09:12.5	1.09
10/24/10 10:13:04.5	1.1
10/24/10 10:19:13.0	1.11
10/24/10 10:24:09.0	1.12
10/24/10 10:29:01.0	1.13
10/24/10 10:36:52.5	1.14
10/24/10 10:39:14.5	1.15
10/24/10 10:42:17.0	1.16
10/24/10 10:49:03.0	1.17
10/24/10 11:30:13.0	1.18
10/24/10 11:33:39.0	1.19
10/24/10 11:47:00.5	1.2
10/24/10 11:52:04.0	1.21
10/24/10 11:55:49.5	1.22
10/24/10 11:58:42.0	1.23
10/24/10 12:06:18.0	1.24
10/24/10 12:10:41.5	1.25
10/24/10 12:27:52.5	1.26
10/24/10 12:44:30.0	1.27
10/24/10 12:49:56.5	1.28
10/24/10 12:52:49.5	1.29
10/24/10 12:55:28.0	1.3
10/24/10 12:57:40.5	1.31
10/24/10 12:59:44.0	1.32
10/24/10 13:02:17.5	1.33
10/24/10 13:04:47.0	1.34
10/24/10 13:06:37.0	1.35
10/24/10 13:08:42.5	1.36
10/24/10 13:10:32.0	1.37
10/24/10 13:12:25.0	1.38
10/24/10 13:14:12.5	1.39
10/24/10 13:16:11.5	1.4
10/24/10 13:18:07.5	1.41
10/24/10 13:20:16.0	1.42
10/24/10 13:22:20.5	1.43
10/24/10 13:24:49.0	1.44
10/24/10 13:27:20.5	1.45
10/24/10 13:29:49.5	1.46
10/24/10 13:31:41.0	1.47
10/24/10 13:33:41.0	1.48
10/24/10 13:35:12.5	1.49
10/24/10 13:36:58.5	1.5
10/24/10 13:39:14.0	1.51
10/24/10 13:41:27.5	1.52
10/24/10 13:43:26.0	1.53
10/24/10 13:45:50.5	1.54
10/24/10 13:48:04.0	1.55
10/24/10 13:50:24.5	1.56
10/24/10 13:52:40.5	1.57
10/24/10 13:55:07.0	1.58
10/24/10 13:57:27.0	1.59
10/24/10 14:00:02.5	1.6
10/24/10 14:02:43.5	1.61
10/24/10 14:05:37.0	1.62
10/24/10 14:08:56.5	1.63
10/24/10 14:14:19.0	1.64
10/24/10 14:18:18.5	1.65
10/24/10 14:21:10.0	1.66
10/24/10 14:24:34.0	1.67
10/24/10 14:26:06.5	1.68
10/24/10 14:27:49.0	1.69
10/24/10 14:30:02.0	1.7
10/24/10 14:32:31.5	1.71
10/24/10 14:34:14.5	1.72
10/24/10 14:35:17.5	1.73
10/24/10 14:36:54.5	1.74
10/24/10 14:38:07.5	1.75
10/24/10 14:39:27.5	1.76
10/24/10 14:40:39.0	1.77
10/24/10 14:42:14.5	1.78
10/24/10 14:43:37.5	1.79
10/24/10 14:45:01.0	1.8
10/24/10 14:46:34.5	1.81
10/24/10 14:48:07.5	1.82
10/24/10 14:49:31.5	1.83
10/24/10 14:50:55.5	1.84
10/24/10 14:52:00.5	1.85
10/24/10 14:53:10.0	1.86
10/24/10 14:54:12.0	1.87
10/24/10 14:55:27.0	1.88
10/24/10 14:56:44.0	1.89
10/24/10 14:58:07.5	1.9
10/24/10 14:59:15.0	1.91
10/24/10 15:00:35.5	1.92
10/24/10 15:02:02.0	1.93
10/24/10 15:03:28.0	1.94
10/24/10 15:05:07.5	1.95
10/24/10 15:06:34.0	1.96
10/24/10 15:07:37.0	1.97
10/24/10 15:08:51.0	1.98
10/24/10 15:10:18.5	1.99
10/24/10 15:11:41.5	2
10/24/10 15:12:58.0	2.01
10/24/10 15:14:22.0	2.02
10/24/10 15:15:27.0	2.03
10/24/10 15:16:39.5	2.04
10/24/10 15:18:03.5	2.05
10/24/10 15:19:26.5	2.06
10/24/10 15:20:38.0	2.07
10/24/10 15:21:56.5	2.08
10/24/10 15:23:10.0	2.09
10/24/10 15:24:51.5	2.1
10/24/10 15:26:33.5	2.11
10/24/10 15:28:28.0	2.12
10/24/10 15:30:10.0	2.13
10/24/10 15:31:23.0	2.14
10/24/10 15:32:34.5	2.15
10/24/10 15:33:31.0	2.16
10/24/10 15:34:19.5	2.17
10/24/10 15:35:16.0	2.18
10/24/10 15:36:25.5	2.19
10/24/10 15:38:21.0	2.2
10/24/10 15:40:06.5	2.21
10/24/10 15:42:14.0	2.22
10/24/10 15:44:19.0	2.23
10/24/10 15:45:50.0	2.24
10/24/10 15:47:20.5	2.25
10/24/10 15:49:32.5	2.26
10/24/10 15:51:16.0	2.27
10/24/10 15:53:20.5	2.28
10/24/10 15:56:16.0	2.29
10/24/10 15:58:24.0	2.3
10/24/10 16:00:26.5	2.31
10/24/10 16:03:53.5	2.32
10/24/10 16:06:44.5	2.33
10/24/10 16:10:02.0	2.34
10/24/10 16:13:12.0	2.35
10/24/10 16:15:21.0	2.36
10/24/10 16:17:44.5	2.37
10/24/10 16:20:15.5	2.38
10/24/10 16:23:27.0	2.39
10/24/10 16:28:14.0	2.4
10/24/10 16:30:58.5	2.41
10/24/10 16:32:54.5	2.42
10/24/10 16:36:44.0	2.43
10/24/10 16:43:16.0	2.44
10/24/10 16:49:24.5	2.45
10/24/10 16:58:55.5	2.46
10/24/10 17:13:35.5	2.47
10/24/10 17:42:16.0	2.48
10/24/10 23:52:40.0	2.49
10/26/10 11:29:24.5	2.5
10/26/10 11:29:28.5	2.51
10/26/10 11:29:48.5	2.52
10/26/10 11:30:11.0	2.52
