Serial Number:     202809     --     Series: Event (Rainfall event data)

Date Time	Event (Rainfall event data)
11/30/10 12:02:10.0	0
11/30/10 12:02:18.0	0.01
12/05/10 12:45:09.5	0.02
12/05/10 12:54:23.5	0.03
12/05/10 14:07:50.5	0.04
12/05/10 14:14:35.5	0.05
12/05/10 14:34:08.5	0.06
12/05/10 14:38:39.0	0.07
12/05/10 14:39:52.5	0.08
12/05/10 14:41:27.0	0.09
12/05/10 14:43:28.0	0.1
12/05/10 14:46:21.0	0.11
12/05/10 14:50:02.0	0.12
12/05/10 14:51:11.5	0.13
12/05/10 14:52:43.5	0.14
12/05/10 14:54:55.0	0.15
12/05/10 14:57:32.5	0.16
12/05/10 15:00:18.0	0.17
12/05/10 15:03:06.5	0.18
12/05/10 15:07:11.0	0.19
12/05/10 15:10:40.5	0.2
12/05/10 15:13:05.5	0.21
12/05/10 15:14:32.0	0.22
12/05/10 15:15:44.5	0.23
12/05/10 15:16:46.5	0.24
12/05/10 15:17:53.0	0.25
12/05/10 15:18:48.5	0.26
12/05/10 15:19:39.5	0.27
12/05/10 15:20:37.5	0.28
12/05/10 15:22:08.5	0.29
12/05/10 15:22:51.5	0.3
12/05/10 15:24:08.0	0.31
12/05/10 15:25:06.5	0.32
12/05/10 15:26:59.5	0.33
12/05/10 15:30:18.5	0.34
12/05/10 15:42:43.0	0.35
12/05/10 15:45:37.5	0.36
12/05/10 15:48:57.0	0.37
12/05/10 15:51:55.0	0.38
12/05/10 15:56:24.5	0.39
12/05/10 16:35:04.0	0.4
12/05/10 17:29:30.0	0.41
12/05/10 17:35:06.0	0.42
12/05/10 17:37:55.0	0.43
12/05/10 17:39:34.5	0.44
12/05/10 17:41:57.0	0.45
12/05/10 17:46:19.5	0.46
12/05/10 20:53:47.5	0.47
12/05/10 23:08:21.0	0.48
12/05/10 23:12:54.0	0.49
12/05/10 23:21:58.5	0.5
12/06/10 00:19:29.5	0.51
12/06/10 02:08:18.5	0.52
12/07/10 14:08:29.5	0.53
12/07/10 14:09:10.5	0.54
12/07/10 14:09:18.5	0.54
