Serial Number:     202809     --     Series: Event (Rainfall event data)

Date Time	Event (Rainfall event data)
01/11/11 11:12:24.0	0
01/11/11 14:34:53.5	0.01
01/13/11 11:08:23.5	0.02
01/13/11 11:41:08.0	0.03
01/13/11 11:50:50.5	0.04
01/13/11 12:01:20.5	0.05
01/13/11 12:09:22.0	0.06
01/13/11 12:15:19.5	0.07
01/13/11 12:18:25.0	0.08
01/13/11 12:27:07.0	0.09
01/13/11 12:34:08.0	0.1
01/13/11 12:39:49.5	0.11
01/13/11 12:45:42.0	0.12
01/13/11 12:48:22.0	0.13
01/13/11 12:52:11.0	0.14
01/13/11 13:40:31.5	0.15
01/13/11 13:55:21.0	0.16
01/13/11 14:11:10.0	0.17
01/13/11 14:18:11.0	0.18
01/13/11 19:13:17.0	0.19
01/18/11 14:05:15.5	0.19
