Serial Number:     202809     --     Series: Event (Rainfall event data)

Date Time	Event (Rainfall event data)
03/15/11 10:55:02.0	0
03/15/11 14:22:33.0	0.01
03/15/11 17:07:29.0	0.02
03/15/11 17:11:23.0	0.03
03/15/11 17:37:28.5	0.04
03/15/11 19:00:47.0	0.05
03/15/11 19:20:51.5	0.06
03/15/11 19:29:31.5	0.07
03/15/11 19:43:21.0	0.08
03/15/11 19:57:47.5	0.09
03/15/11 20:14:21.0	0.1
03/15/11 20:25:13.5	0.11
03/15/11 20:32:54.5	0.12
03/15/11 20:40:03.0	0.13
03/15/11 20:51:03.0	0.14
03/15/11 20:59:47.0	0.15
03/15/11 21:07:22.0	0.16
03/15/11 21:17:32.5	0.17
03/15/11 21:39:01.0	0.18
03/15/11 21:45:30.0	0.19
03/15/11 21:50:09.0	0.2
03/15/11 21:55:14.0	0.21
03/15/11 22:00:36.5	0.22
03/15/11 22:05:21.5	0.23
03/15/11 22:10:06.0	0.24
03/15/11 22:14:17.5	0.25
03/15/11 22:18:45.0	0.26
03/15/11 22:22:22.5	0.27
03/15/11 22:25:07.0	0.28
03/15/11 22:27:26.5	0.29
03/15/11 22:32:27.5	0.3
03/15/11 22:36:42.0	0.31
03/15/11 22:41:01.0	0.32
03/15/11 22:45:21.5	0.33
03/15/11 22:51:43.0	0.34
03/15/11 22:58:37.5	0.35
03/15/11 23:12:11.0	0.36
03/15/11 23:24:18.5	0.37
03/15/11 23:35:19.5	0.38
03/15/11 23:37:43.0	0.39
03/15/11 23:43:14.5	0.4
03/15/11 23:46:34.5	0.41
03/15/11 23:51:25.0	0.42
03/15/11 23:56:31.0	0.43
03/16/11 00:07:18.5	0.44
03/16/11 00:24:47.5	0.45
03/16/11 00:29:52.0	0.46
03/16/11 00:36:39.0	0.47
03/16/11 00:50:34.5	0.48
03/16/11 01:00:41.0	0.49
03/16/11 01:08:13.0	0.5
03/16/11 01:13:09.5	0.51
03/16/11 01:55:54.0	0.52
03/16/11 02:08:54.0	0.53
03/16/11 03:26:23.0	0.54
03/16/11 03:31:19.0	0.55
03/16/11 03:43:03.0	0.56
03/16/11 05:48:08.0	0.57
03/18/11 04:52:24.5	0.58
03/18/11 05:06:35.5	0.59
03/18/11 11:05:25.5	0.6
03/18/11 11:14:57.5	0.61
03/18/11 11:16:17.5	0.62
03/18/11 11:16:54.0	0.63
03/18/11 11:17:34.5	0.64
03/18/11 11:17:51.5	0.65
03/18/11 11:18:04.5	0.66
03/18/11 11:18:14.5	0.67
03/18/11 11:18:24.5	0.68
03/18/11 11:18:33.5	0.69
03/18/11 11:18:45.5	0.7
03/18/11 11:19:03.0	0.71
03/18/11 11:19:46.5	0.72
03/18/11 11:20:25.5	0.73
03/18/11 11:21:30.0	0.74
03/18/11 11:21:55.0	0.75
03/18/11 11:22:39.0	0.76
03/18/11 11:24:47.0	0.77
03/18/11 11:26:15.5	0.78
03/18/11 11:29:12.0	0.79
03/18/11 11:33:49.5	0.8
03/18/11 11:38:22.5	0.81
03/18/11 11:41:28.0	0.82
03/18/11 11:44:05.0	0.83
03/18/11 11:47:26.5	0.84
03/18/11 11:52:14.0	0.85
03/18/11 11:56:34.0	0.86
03/18/11 12:00:39.0	0.87
03/18/11 12:03:28.0	0.88
03/18/11 12:07:31.5	0.89
03/18/11 12:15:01.5	0.9
03/18/11 12:24:01.5	0.91
03/18/11 12:30:27.0	0.92
03/18/11 12:35:12.5	0.93
03/18/11 12:42:24.5	0.94
03/18/11 12:46:15.0	0.95
03/18/11 12:50:24.0	0.96
03/18/11 12:53:37.5	0.97
03/18/11 12:57:30.0	0.98
03/18/11 13:00:26.0	0.99
03/18/11 13:03:42.0	1
03/18/11 13:07:34.5	1.01
03/18/11 13:11:48.5	1.02
03/18/11 13:15:37.5	1.03
03/18/11 13:18:24.0	1.04
03/18/11 13:21:38.0	1.05
03/18/11 13:24:52.0	1.06
03/18/11 13:27:04.5	1.07
03/18/11 13:29:44.5	1.08
03/18/11 13:32:09.0	1.09
03/18/11 13:35:35.0	1.1
03/18/11 13:37:51.5	1.11
03/18/11 13:41:16.5	1.12
03/18/11 13:44:10.5	1.13
03/18/11 13:47:14.5	1.14
03/18/11 13:50:18.5	1.15
03/18/11 13:52:52.5	1.16
03/18/11 13:56:19.0	1.17
03/18/11 14:00:19.5	1.18
03/18/11 14:03:16.5	1.19
03/18/11 14:08:44.5	1.2
03/18/11 14:14:54.0	1.21
03/18/11 14:19:04.5	1.22
03/18/11 14:26:10.0	1.23
03/18/11 14:33:29.5	1.24
03/18/11 14:37:25.5	1.25
03/18/11 14:41:20.5	1.26
03/18/11 14:48:15.0	1.27
03/18/11 14:52:52.0	1.28
03/18/11 14:58:06.5	1.29
03/18/11 15:06:15.5	1.3
03/18/11 17:04:06.0	1.31
03/18/11 17:15:12.0	1.32
03/18/11 17:56:42.0	1.33
03/18/11 18:01:43.0	1.34
03/18/11 18:04:58.5	1.35
03/18/11 18:07:34.0	1.36
03/18/11 18:08:48.5	1.37
03/18/11 18:10:11.0	1.38
03/18/11 18:12:37.5	1.39
03/18/11 18:14:19.5	1.4
03/18/11 18:17:28.5	1.41
03/18/11 18:32:41.5	1.42
03/18/11 18:37:26.5	1.43
03/18/11 18:46:19.5	1.44
03/18/11 20:55:50.0	1.45
03/19/11 07:21:43.5	1.46
03/19/11 08:06:58.0	1.47
03/19/11 08:35:57.0	1.48
03/19/11 09:03:30.0	1.49
03/19/11 09:09:42.5	1.5
03/19/11 09:27:04.5	1.51
03/19/11 09:36:19.0	1.52
03/19/11 09:46:48.0	1.53
03/19/11 09:58:38.5	1.54
03/19/11 10:12:38.5	1.55
03/19/11 10:28:59.5	1.56
03/19/11 11:32:40.5	1.57
03/19/11 12:09:29.5	1.58
03/19/11 12:13:33.0	1.59
03/19/11 12:18:28.5	1.6
03/19/11 12:23:54.0	1.61
03/19/11 12:29:35.5	1.62
03/19/11 12:31:59.5	1.63
03/19/11 12:35:28.0	1.64
03/19/11 12:38:56.0	1.65
03/19/11 12:43:37.0	1.66
03/19/11 12:49:02.5	1.67
03/19/11 12:54:46.0	1.68
03/19/11 12:58:59.5	1.69
03/19/11 13:05:29.5	1.7
03/19/11 13:12:12.5	1.71
03/19/11 13:21:50.0	1.72
03/19/11 13:34:27.0	1.73
03/19/11 13:41:28.5	1.74
03/19/11 14:10:14.0	1.75
03/19/11 16:10:22.5	1.76
03/19/11 16:19:00.5	1.77
