Date Time	Event (Rain Bucket Tip)
02/04/04 14:34:59.0	0
02/06/04 20:05:27.5	0.01
02/06/04 20:15:32.5	0.02
02/06/04 20:19:00.0	0.03
02/06/04 20:48:02.0	0.04
02/07/04 00:04:46.5	0.05
02/13/04 18:34:26.5	0.06
02/13/04 18:41:32.0	0.07
02/13/04 18:46:41.0	0.08
02/15/04 23:40:54.5	0.09
02/15/04 23:52:02.5	0.1
02/16/04 00:01:18.0	0.11
02/16/04 00:11:30.5	0.12
02/16/04 00:16:18.0	0.13
02/16/04 00:21:31.0	0.14
02/16/04 00:28:47.5	0.15
02/16/04 00:35:44.0	0.16
02/16/04 00:39:11.0	0.17
02/16/04 00:44:45.0	0.18
02/16/04 00:54:37.0	0.19
02/16/04 01:03:27.0	0.2
02/16/04 01:10:22.0	0.21
02/16/04 01:24:48.5	0.22
02/16/04 01:38:09.5	0.23
02/16/04 01:53:01.0	0.24
02/16/04 02:21:27.5	0.25
02/16/04 02:32:48.5	0.26
02/16/04 02:37:18.0	0.27
02/16/04 02:42:32.0	0.28
02/16/04 02:48:15.5	0.29
02/16/04 02:54:51.0	0.3
02/16/04 03:03:20.5	0.31
02/16/04 03:10:48.5	0.32
02/16/04 03:17:53.5	0.33
02/16/04 03:29:48.5	0.34
02/16/04 03:40:59.5	0.35
02/16/04 03:55:25.5	0.36
02/16/04 04:02:22.0	0.37
02/16/04 04:33:21.5	0.38
02/16/04 04:41:18.0	0.39
02/16/04 04:48:43.5	0.4
02/16/04 04:54:17.5	0.41
02/16/04 05:01:20.5	0.42
02/16/04 05:05:04.0	0.43
02/16/04 05:11:24.0	0.44
02/16/04 05:22:32.0	0.45
02/16/04 05:29:47.5	0.46
02/16/04 05:34:34.0	0.47
02/16/04 05:44:44.0	0.48
02/16/04 05:58:19.5	0.49
02/16/04 06:45:47.5	0.5
02/16/04 07:08:19.0	0.51
02/16/04 07:37:29.5	0.52
02/16/04 07:49:47.5	0.53
02/16/04 07:57:51.0	0.54
02/16/04 08:07:03.0	0.55
02/16/04 08:15:41.0	0.56
02/16/04 08:19:43.5	0.57
02/16/04 08:28:38.0	0.58
02/16/04 08:40:19.5	0.59
02/16/04 08:48:57.0	0.6
02/16/04 08:52:44.5	0.61
02/16/04 08:59:49.0	0.62
02/16/04 09:04:05.5	0.63
02/16/04 09:12:36.5	0.64
02/16/04 09:16:26.0	0.65
02/16/04 09:18:21.0	0.66
02/16/04 09:20:20.0	0.67
02/16/04 09:23:25.5	0.68
02/16/04 09:26:06.0	0.69
02/16/04 09:30:18.5	0.7
02/16/04 09:34:06.0	0.71
02/16/04 09:38:14.5	0.72
02/16/04 09:42:21.5	0.73
02/16/04 09:45:31.0	0.74
02/16/04 09:57:08.5	0.75
02/16/04 11:05:58.0	0.76
02/16/04 15:52:16.5	0.77
02/17/04 16:11:10.5	0.78
02/17/04 16:12:57.0	0.79
02/17/04 16:13:30.0	0.8
02/17/04 16:17:09.5	0.81
02/17/04 16:44:02.0	0.82
02/17/04 16:48:15.0	0.83
02/17/04 16:53:05.5	0.84
02/17/04 16:56:31.0	0.85
02/17/04 16:58:39.0	0.86
02/17/04 17:02:32.0	0.87
02/17/04 17:04:50.0	0.88
02/17/04 17:06:15.5	0.89
02/17/04 17:08:07.0	0.9
02/17/04 17:10:01.5	0.91
02/17/04 17:13:32.5	0.92
02/17/04 17:15:58.5	0.93
02/17/04 17:18:18.5	0.94
02/17/04 17:20:03.5	0.95
02/17/04 17:22:51.0	0.96
02/17/04 17:23:58.5	0.97
02/17/04 17:25:41.0	0.98
02/17/04 17:27:44.5	0.99
02/17/04 17:29:26.0	1
02/17/04 17:31:24.0	1.01
02/17/04 17:33:18.5	1.02
02/17/04 17:35:15.5	1.03
02/17/04 17:37:03.5	1.04
02/17/04 17:39:27.0	1.05
02/17/04 17:41:53.5	1.06
02/17/04 17:43:58.5	1.07
02/17/04 17:48:21.5	1.08
02/17/04 17:53:36.0	1.09
02/17/04 18:06:17.0	1.1
02/17/04 18:14:26.5	1.11
02/17/04 18:27:33.5	1.12
02/17/04 18:40:30.0	1.13
02/17/04 18:55:04.5	1.14
02/17/04 19:25:14.5	1.15
02/17/04 19:27:15.0	1.16
