Serial Number:     669856     --     Series: Event (Rain Bucket Tip)

Date Time	Event (Rain Bucket Tip)
01/29/08 15:58:51.0	0
01/29/08 16:05:44.5	0.01
01/29/08 16:10:15.5	0.02
01/29/08 16:15:10.0	0.03
01/29/08 16:30:33.0	0.04
01/29/08 16:37:02.5	0.05
01/29/08 16:41:08.0	0.06
01/29/08 16:45:59.5	0.07
01/29/08 16:47:57.0	0.08
01/29/08 16:50:13.0	0.09
01/29/08 16:52:04.0	0.1
01/29/08 16:55:06.5	0.11
01/29/08 16:58:19.0	0.12
01/29/08 17:00:10.0	0.13
01/29/08 17:02:17.5	0.14
01/29/08 17:04:37.5	0.15
01/29/08 17:10:19.0	0.16
01/29/08 17:13:31.5	0.17
01/29/08 17:21:14.0	0.18
01/29/08 17:48:13.0	0.19
01/29/08 17:54:21.5	0.2
01/29/08 22:03:05.5	0.21
01/30/08 00:52:07.0	0.22
01/30/08 01:00:18.5	0.23
01/30/08 02:28:58.0	0.24
01/30/08 02:33:45.5	0.25
01/30/08 02:37:17.5	0.26
01/30/08 02:40:42.5	0.27
01/30/08 02:44:44.0	0.28
01/30/08 03:05:11.0	0.29
01/30/08 03:22:31.0	0.3
01/30/08 03:31:16.0	0.31
01/30/08 04:14:04.5	0.32
01/30/08 04:18:29.5	0.33
01/30/08 04:21:47.0	0.34
01/30/08 04:34:40.5	0.35
01/31/08 13:32:08.5	0.36
01/31/08 16:37:04.0	0.37
01/31/08 16:40:54.0	0.38
01/31/08 16:44:31.0	0.39
01/31/08 16:46:46.0	0.4
01/31/08 16:49:15.0	0.41
01/31/08 16:51:49.0	0.42
01/31/08 16:54:28.0	0.43
01/31/08 16:57:02.5	0.44
01/31/08 17:01:24.5	0.45
01/31/08 17:03:51.5	0.46
01/31/08 17:06:45.5	0.47
01/31/08 17:08:36.5	0.48
01/31/08 17:10:35.5	0.49
01/31/08 17:12:21.5	0.5
01/31/08 17:14:34.0	0.51
01/31/08 17:16:42.0	0.52
01/31/08 17:19:02.5	0.53
01/31/08 17:21:31.5	0.54
01/31/08 17:24:05.5	0.55
01/31/08 17:27:15.5	0.56
01/31/08 17:30:14.0	0.57
01/31/08 17:33:06.0	0.58
01/31/08 17:35:15.5	0.59
01/31/08 17:36:41.5	0.6
01/31/08 17:38:20.5	0.61
01/31/08 17:39:38.5	0.62
01/31/08 17:41:17.0	0.63
01/31/08 17:42:42.5	0.64
01/31/08 17:44:41.5	0.65
01/31/08 17:46:44.0	0.66
01/31/08 17:49:10.5	0.67
01/31/08 17:51:41.5	0.68
01/31/08 17:53:32.5	0.69
01/31/08 17:55:05.0	0.7
01/31/08 17:57:04.0	0.71
01/31/08 17:58:43.5	0.72
01/31/08 18:00:23.5	0.73
01/31/08 18:02:30.0	0.74
01/31/08 18:04:12.0	0.75
01/31/08 18:06:01.5	0.76
01/31/08 18:07:59.5	0.77
01/31/08 18:10:28.0	0.78
01/31/08 18:14:00.5	0.79
01/31/08 18:16:26.0	0.8
01/31/08 18:18:26.5	0.81
01/31/08 18:19:27.0	0.82
01/31/08 18:20:23.5	0.83
01/31/08 18:21:10.5	0.84
01/31/08 18:22:08.5	0.85
01/31/08 18:23:21.0	0.86
01/31/08 18:24:38.0	0.87
01/31/08 18:25:47.5	0.88
