Serial Number:     669856     --     Series: Event (Rain Bucket Tip)

Date Time	Event (Rain Bucket Tip)
01/20/09 09:31:32.0	0
01/20/09 09:31:41.0	0.0104
01/20/09 09:31:43.5	0.0208
01/21/09 13:56:41.0	0.0313
01/21/09 14:13:55.5	0.0417
01/21/09 14:51:28.5	0.0521
01/21/09 20:09:40.0	0.0625
01/21/09 20:16:24.0	0.0729
01/21/09 20:22:25.0	0.0833
01/21/09 20:34:10.0	0.0938
01/21/09 20:42:24.0	0.1042
01/21/09 20:45:29.5	0.1146
01/21/09 20:47:57.0	0.125
01/21/09 20:51:01.0	0.1354
01/21/09 20:53:28.0	0.1458
01/21/09 20:55:37.5	0.1563
01/21/09 20:57:39.5	0.1667
01/21/09 21:00:46.0	0.1771
01/21/09 21:03:14.5	0.1875
01/21/09 21:07:28.5	0.1979
01/21/09 21:22:50.5	0.2083
01/21/09 21:37:49.5	0.2188
01/21/09 21:40:42.0	0.2292
01/21/09 21:44:44.5	0.2396
01/21/09 21:47:51.5	0.25
01/21/09 21:51:39.0	0.2604
01/21/09 21:55:04.5	0.2708
01/21/09 21:58:38.0	0.2813
01/21/09 22:01:41.0	0.2917
01/21/09 22:06:06.0	0.3021
01/21/09 22:10:03.5	0.3125
01/21/09 22:18:54.0	0.3229
01/21/09 22:30:46.0	0.3333
01/21/09 22:47:56.5	0.3438
01/21/09 23:04:32.0	0.3542
01/21/09 23:29:54.0	0.3646
01/21/09 23:34:05.0	0.375
01/21/09 23:39:00.0	0.3854
01/21/09 23:41:26.5	0.3958
01/21/09 23:46:16.0	0.4063
01/21/09 23:51:14.0	0.4167
01/21/09 23:54:48.0	0.4271
01/21/09 23:57:39.5	0.4375
01/22/09 00:00:20.0	0.4479
01/22/09 00:02:31.0	0.4583
01/22/09 00:06:59.0	0.4688
01/22/09 00:11:35.0	0.4792
01/22/09 00:17:35.0	0.4896
01/22/09 00:19:54.0	0.5
01/22/09 00:22:17.0	0.5104
01/22/09 00:23:49.0	0.5208
01/22/09 00:26:13.5	0.5313
01/22/09 00:29:39.0	0.5417
01/22/09 00:34:14.0	0.5521
01/22/09 00:56:00.0	0.5625
01/22/09 01:20:02.5	0.5729
01/22/09 01:27:54.5	0.5833
01/22/09 01:49:11.5	0.5938
01/22/09 02:07:30.0	0.6042
01/22/09 02:19:39.0	0.6146
01/22/09 02:35:25.5	0.625
01/22/09 02:56:01.0	0.6354
01/22/09 03:06:03.5	0.6458
01/22/09 03:17:58.5	0.6563
01/22/09 03:28:20.5	0.6667
