Date Time	Event (Rain Bucket Tip)
12/14/04 10:08:18.0	0
12/22/04 14:55:52.0	0.01
12/26/04 09:16:34.0	0.02
12/26/04 12:57:46.5	0.03
12/26/04 13:05:34.0	0.04
12/26/04 13:16:15.5	0.05
12/26/04 13:33:08.0	0.06
12/26/04 13:37:25.5	0.07
12/26/04 13:42:57.0	0.08
12/26/04 13:49:55.0	0.09
12/26/04 13:59:03.0	0.1
12/26/04 14:08:57.0	0.11
12/26/04 14:17:59.5	0.12
12/26/04 14:24:18.5	0.13
12/26/04 15:42:21.5	0.14
12/26/04 16:25:06.5	0.15
12/26/04 18:32:36.5	0.16
12/26/04 18:33:37.5	0.17
12/26/04 18:35:12.5	0.18
12/26/04 18:43:38.0	0.19
12/26/04 18:44:44.0	0.2
12/26/04 18:47:33.5	0.21
12/26/04 18:49:10.5	0.22
12/26/04 18:51:05.5	0.23
12/26/04 18:52:57.5	0.24
12/26/04 19:00:19.0	0.25
12/26/04 21:18:44.0	0.26
12/26/04 21:27:48.5	0.27
12/26/04 21:30:02.5	0.28
12/26/04 21:31:45.5	0.29
12/26/04 21:33:25.0	0.3
12/26/04 21:34:35.5	0.31
12/26/04 21:40:26.0	0.32
12/26/04 21:44:49.0	0.33
12/26/04 21:46:08.5	0.34
12/26/04 21:48:24.5	0.35
12/26/04 21:51:42.0	0.36
12/26/04 21:56:17.5	0.37
12/26/04 21:59:05.5	0.38
12/26/04 22:01:30.0	0.39
12/26/04 22:03:26.0	0.4
12/26/04 22:05:32.0	0.41
12/26/04 22:07:47.0	0.42
12/26/04 22:08:35.0	0.43
12/26/04 22:10:12.0	0.44
12/26/04 22:12:07.0	0.45
12/26/04 22:13:54.5	0.46
12/26/04 22:15:56.0	0.47
12/26/04 22:17:40.5	0.48
12/26/04 22:23:07.5	0.49
12/26/04 22:36:46.0	0.5
12/27/04 00:28:35.0	0.51
12/27/04 01:27:43.0	0.52
12/27/04 01:33:56.0	0.53
12/27/04 01:36:00.0	0.54
12/27/04 01:43:47.5	0.55
12/27/04 01:44:57.0	0.56
