Serial Number:      10024     --     Series: Event (Rain Bucket Tip)

Date Time	Event (Rain Bucket Tip)
02/21/06 11:23:14.0	0
02/26/06 10:26:16.5	0.01
02/26/06 10:48:19.0	0.02
02/26/06 10:57:00.0	0.03
02/26/06 11:02:03.5	0.04
02/26/06 11:17:12.5	0.05
02/26/06 11:30:47.0	0.06
02/26/06 11:40:18.5	0.07
02/26/06 11:51:10.5	0.08
02/26/06 13:27:20.0	0.09
02/26/06 14:04:54.5	0.1
02/26/06 14:20:59.5	0.11
02/26/06 14:22:31.5	0.12
02/26/06 14:24:45.5	0.13
02/26/06 14:27:35.5	0.14
02/26/06 14:30:47.0	0.15
02/26/06 14:35:09.0	0.16
02/26/06 14:39:36.5	0.17
02/26/06 14:42:15.0	0.18
02/26/06 14:43:54.5	0.19
02/26/06 14:47:46.0	0.2
02/26/06 14:52:39.0	0.21
02/26/06 14:56:24.0	0.22
02/26/06 15:00:55.0	0.23
02/26/06 15:08:49.0	0.24
02/26/06 15:12:45.0	0.25
02/26/06 15:21:21.5	0.26
02/26/06 15:22:13.5	0.27
02/26/06 15:23:47.0	0.28
02/26/06 15:25:56.0	0.29
02/26/06 15:36:26.0	0.3
02/26/06 15:40:01.5	0.31
02/26/06 15:43:28.5	0.32
02/26/06 15:44:50.0	0.33
02/26/06 15:45:47.5	0.34
02/26/06 15:48:53.5	0.35
02/26/06 16:01:32.5	0.36
02/26/06 16:06:23.5	0.37
02/26/06 16:09:32.5	0.38
02/26/06 16:10:33.5	0.39
02/26/06 16:11:29.5	0.4
02/26/06 16:13:44.0	0.41
02/26/06 16:17:19.5	0.42
02/26/06 16:19:40.5	0.43
02/26/06 16:21:50.5	0.44
02/26/06 16:24:50.5	0.45
02/26/06 16:37:08.5	0.46
02/26/06 16:50:00.0	0.47
02/26/06 16:54:40.5	0.48
02/26/06 17:02:00.5	0.49
02/26/06 17:04:44.0	0.5
02/26/06 17:09:04.0	0.51
02/26/06 17:29:57.0	0.52
02/26/06 17:33:02.5	0.53
02/26/06 17:51:30.0	0.54
02/26/06 18:15:08.0	0.55
02/26/06 18:23:38.0	0.56
02/26/06 18:36:26.0	0.57
02/26/06 18:39:49.5	0.58
02/26/06 18:44:30.5	0.59
02/26/06 18:53:58.0	0.6
02/26/06 19:01:16.0	0.61
02/26/06 19:03:36.0	0.62
02/26/06 19:07:40.5	0.63
02/26/06 19:10:03.0	0.64
02/26/06 19:16:56.0	0.65
02/26/06 19:27:15.5	0.66
02/26/06 19:29:33.5	0.67
02/26/06 19:32:55.0	0.68
02/26/06 19:37:09.0	0.69
02/26/06 19:46:21.0	0.7
02/26/06 19:49:40.0	0.71
02/26/06 19:53:51.5	0.72
02/26/06 19:58:13.5	0.73
02/26/06 20:02:52.0	0.74
02/26/06 20:10:47.5	0.75
02/26/06 20:14:42.5	0.76
02/26/06 20:17:00.5	0.77
02/26/06 20:23:08.5	0.78
02/26/06 20:31:08.5	0.79
02/26/06 21:16:25.0	0.8
02/26/06 21:46:22.5	0.81
02/26/06 22:03:00.5	0.82
02/26/06 22:10:05.0	0.83
02/26/06 22:14:43.5	0.84
02/26/06 22:21:22.5	0.85
02/26/06 22:32:01.0	0.86
02/26/06 22:41:31.0	0.87
02/26/06 22:43:25.0	0.88
02/26/06 22:54:21.0	0.89
02/27/06 00:13:50.0	0.9
02/27/06 00:14:59.0	0.91
02/27/06 00:16:31.5	0.92
02/27/06 00:17:58.0	0.93
02/27/06 00:19:08.5	0.94
02/27/06 00:20:33.0	0.95
02/27/06 00:21:44.0	0.96
02/27/06 00:22:50.0	0.97
02/27/06 00:23:56.5	0.98
02/27/06 00:25:19.5	0.99
02/27/06 00:27:09.0	1
02/27/06 00:28:43.0	1.01
02/27/06 00:29:50.5	1.02
02/27/06 00:30:40.0	1.03
02/27/06 00:31:39.5	1.04
02/27/06 00:32:46.5	1.05
02/27/06 00:33:51.5	1.06
02/27/06 00:35:18.0	1.07
02/27/06 00:36:45.5	1.08
02/27/06 00:37:44.5	1.09
02/27/06 00:38:30.5	1.1
02/27/06 00:39:08.5	1.11
02/27/06 00:39:51.5	1.12
02/27/06 00:40:42.5	1.13
02/27/06 00:41:37.0	1.14
02/27/06 00:42:31.0	1.15
02/27/06 00:43:42.0	1.16
02/27/06 00:44:30.5	1.17
02/27/06 00:45:45.0	1.18
02/27/06 00:46:45.5	1.19
02/27/06 00:47:28.0	1.2
02/27/06 00:48:16.0	1.21
02/27/06 00:49:06.5	1.22
02/27/06 00:50:00.0	1.23
02/27/06 00:51:03.5	1.24
02/27/06 00:52:32.0	1.25
02/27/06 00:55:01.5	1.26
02/27/06 00:56:10.0	1.27
02/27/06 00:57:24.5	1.28
02/27/06 00:58:55.0	1.29
02/27/06 01:00:05.5	1.3
02/27/06 01:00:49.0	1.31
02/27/06 01:01:19.0	1.32
02/27/06 01:01:55.0	1.33
02/27/06 01:02:42.0	1.34
02/27/06 01:03:21.0	1.35
02/27/06 01:04:37.5	1.36
02/27/06 01:05:15.0	1.37
02/27/06 01:05:50.0	1.38
02/27/06 01:06:32.0	1.39
02/27/06 01:07:17.0	1.4
02/27/06 01:08:05.0	1.41
02/27/06 01:08:58.0	1.42
02/27/06 01:10:05.0	1.43
02/27/06 01:11:51.0	1.44
02/27/06 01:13:00.0	1.45
02/27/06 01:14:22.5	1.46
02/27/06 01:16:11.0	1.47
02/27/06 01:18:56.5	1.48
02/27/06 01:20:23.0	1.49
02/27/06 01:21:10.0	1.5
02/27/06 01:22:16.0	1.51
02/27/06 01:24:49.5	1.52
02/27/06 01:26:08.0	1.53
02/27/06 01:27:09.5	1.54
02/27/06 01:28:48.0	1.55
02/27/06 01:40:44.0	1.56
02/27/06 01:53:05.5	1.57
02/27/06 01:55:02.5	1.58
02/27/06 02:04:56.5	1.59
02/27/06 02:09:41.5	1.6
02/27/06 02:18:08.5	1.61
02/27/06 02:44:59.5	1.62
02/27/06 02:51:50.0	1.63
02/27/06 02:56:54.5	1.64
02/27/06 02:59:01.0	1.65
02/27/06 03:01:19.5	1.66
02/27/06 03:07:12.0	1.67
02/27/06 03:08:47.0	1.68
02/27/06 03:10:39.0	1.69
02/27/06 03:14:15.0	1.7
02/27/06 03:17:02.0	1.71
02/27/06 03:18:56.5	1.72
02/27/06 03:21:41.5	1.73
02/27/06 03:26:37.0	1.74
02/27/06 03:28:36.0	1.75
02/27/06 03:30:09.5	1.76
02/27/06 03:34:55.5	1.77
02/27/06 03:38:25.5	1.78
02/27/06 03:51:24.0	1.79
02/27/06 04:08:32.5	1.8
02/27/06 04:09:40.0	1.81
02/27/06 04:11:18.0	1.82
02/27/06 04:23:23.5	1.83
02/27/06 04:37:38.5	1.84
02/27/06 04:39:17.5	1.85
02/27/06 05:26:02.5	1.86
02/27/06 06:02:43.5	1.87
02/27/06 06:03:41.0	1.88
02/27/06 06:06:43.0	1.89
02/27/06 06:19:57.5	1.9
02/27/06 07:01:05.0	1.91
02/27/06 07:01:52.0	1.92
02/27/06 07:02:53.0	1.93
02/27/06 07:05:01.0	1.94
02/27/06 07:09:47.0	1.95
02/27/06 07:11:11.5	1.96
02/27/06 07:12:12.0	1.97
02/27/06 07:13:39.5	1.98
02/27/06 07:25:05.0	1.99
02/27/06 07:29:24.0	2
02/27/06 07:47:09.0	2.01
02/27/06 07:53:11.0	2.02
02/27/06 07:58:06.5	2.03
02/27/06 08:00:04.5	2.04
02/27/06 08:00:43.5	2.05
02/27/06 08:01:29.5	2.06
02/27/06 08:02:48.0	2.07
02/27/06 08:04:22.5	2.08
02/27/06 08:05:59.5	2.09
02/27/06 08:07:44.0	2.1
02/27/06 08:08:38.5	2.11
02/27/06 08:09:34.0	2.12
02/27/06 08:10:29.5	2.13
02/27/06 08:11:25.5	2.14
02/27/06 08:12:12.0	2.15
02/27/06 08:13:03.5	2.16
02/27/06 08:13:46.0	2.17
02/27/06 08:14:25.5	2.18
02/27/06 08:15:01.5	2.19
02/27/06 08:16:01.5	2.2
02/27/06 08:17:13.5	2.21
02/27/06 08:18:12.0	2.22
02/27/06 08:19:15.0	2.23
02/27/06 08:20:19.0	2.24
02/27/06 08:21:13.5	2.25
02/27/06 08:22:25.0	2.26
02/27/06 08:22:54.5	2.27
02/27/06 08:23:58.0	2.28
02/27/06 08:31:59.5	2.29
02/27/06 10:24:59.5	2.3
02/27/06 14:13:49.5	2.31
02/27/06 16:45:32.5	2.32
02/27/06 16:47:01.0	2.33
02/27/06 16:48:05.0	2.34
02/27/06 16:48:51.5	2.35
02/27/06 16:50:04.0	2.36
02/27/06 16:53:11.0	2.37
02/27/06 17:27:35.5	2.38
02/27/06 17:31:52.5	2.39
02/27/06 17:36:34.0	2.4
02/27/06 17:39:40.5	2.41
02/27/06 19:33:32.5	2.42
02/27/06 19:39:27.5	2.43
02/27/06 20:01:57.5	2.44
