Serial Number:      10024     --     Series: Event (Rain Bucket Tip)

Date Time	Event (Rain Bucket Tip)
03/15/06 16:11:54.0	0
03/16/06 20:33:12.5	0.01
03/16/06 21:25:11.0	0.02
03/16/06 21:33:36.5	0.03
03/16/06 21:40:19.0	0.04
03/16/06 21:43:40.5	0.05
03/16/06 21:47:11.5	0.06
03/16/06 21:50:08.5	0.07
03/16/06 21:52:03.5	0.08
03/16/06 21:53:37.0	0.09
03/16/06 21:55:13.5	0.1
03/16/06 21:56:46.5	0.11
03/16/06 21:59:01.5	0.12
03/16/06 22:00:21.5	0.13
03/16/06 22:01:14.0	0.14
03/16/06 22:02:33.5	0.15
03/16/06 22:03:57.5	0.16
03/16/06 22:05:37.0	0.17
03/16/06 22:06:36.0	0.18
03/16/06 22:07:34.0	0.19
03/16/06 22:08:34.0	0.2
03/16/06 22:09:55.0	0.21
03/16/06 22:11:59.5	0.22
03/16/06 22:14:32.5	0.23
03/16/06 22:21:02.5	0.24
03/16/06 22:23:56.0	0.25
03/16/06 22:27:13.5	0.26
03/16/06 22:42:00.0	0.27
03/16/06 22:45:07.0	0.28
03/16/06 22:47:07.5	0.29
03/16/06 22:48:06.0	0.3
03/16/06 22:48:58.5	0.31
03/17/06 00:33:31.5	0.32
03/17/06 04:42:15.0	0.33
03/17/06 04:47:03.0	0.34
03/17/06 04:51:30.5	0.35
03/17/06 05:00:21.5	0.36
03/17/06 05:39:06.5	0.37
03/17/06 05:43:25.5	0.38
03/17/06 05:50:35.0	0.39
03/17/06 06:14:05.0	0.4
03/17/06 07:07:18.5	0.41
03/17/06 07:22:16.5	0.42
03/17/06 07:36:36.0	0.43
03/17/06 07:56:27.5	0.44
03/17/06 08:02:40.0	0.45
03/17/06 08:08:33.0	0.46
03/17/06 08:13:06.0	0.47
03/17/06 08:27:36.5	0.48
03/17/06 08:39:53.5	0.49
03/17/06 08:47:32.5	0.5
03/17/06 08:54:21.5	0.51
03/17/06 09:02:37.0	0.52
03/17/06 09:10:57.5	0.53
03/17/06 09:24:00.5	0.54
03/17/06 09:34:59.5	0.55
03/17/06 10:17:45.0	0.56
03/20/06 08:02:44.5	0.57
03/20/06 08:18:18.5	0.58
03/20/06 08:25:12.5	0.59
03/20/06 08:37:16.5	0.6
03/20/06 08:49:18.5	0.61
03/20/06 08:58:08.0	0.62
03/20/06 09:04:13.0	0.63
03/20/06 09:07:45.0	0.64
03/20/06 09:09:46.0	0.65
03/20/06 09:12:15.0	0.66
03/20/06 09:13:50.5	0.67
03/20/06 09:15:30.5	0.68
03/20/06 09:16:51.0	0.69
03/20/06 09:18:21.0	0.7
03/20/06 09:19:49.0	0.71
03/20/06 09:21:50.5	0.72
03/20/06 09:24:26.0	0.73
03/20/06 09:27:04.5	0.74
03/20/06 09:29:35.5	0.75
03/20/06 09:36:39.0	0.76
03/20/06 09:40:47.5	0.77
03/20/06 09:45:50.0	0.78
03/20/06 09:50:11.5	0.79
03/20/06 09:56:07.0	0.8
03/20/06 10:01:10.0	0.81
03/20/06 10:06:05.5	0.82
03/20/06 10:09:11.5	0.83
03/20/06 10:12:55.5	0.84
03/20/06 10:14:03.5	0.85
03/20/06 10:14:59.0	0.86
03/20/06 10:15:48.0	0.87
03/20/06 10:16:30.0	0.88
03/20/06 10:17:03.5	0.89
03/20/06 10:17:36.5	0.9
03/20/06 10:18:22.0	0.91
03/20/06 10:19:22.5	0.92
03/20/06 10:20:14.5	0.93
03/20/06 10:21:17.0	0.94
03/20/06 10:22:00.0	0.95
03/20/06 10:22:54.0	0.96
03/20/06 10:23:24.5	0.97
03/20/06 10:23:43.5	0.98
03/20/06 10:24:01.0	0.99
03/20/06 10:24:14.0	1
03/20/06 10:24:23.5	1.01
03/20/06 10:24:34.5	1.02
03/20/06 10:24:46.5	1.03
03/20/06 10:24:57.0	1.04
03/20/06 10:25:07.5	1.05
03/20/06 10:25:23.0	1.06
03/20/06 10:25:40.5	1.07
03/20/06 10:26:05.0	1.08
03/20/06 10:26:21.0	1.09
03/20/06 10:26:43.5	1.1
03/20/06 10:27:09.0	1.11
03/20/06 10:27:51.5	1.12
03/20/06 10:28:28.0	1.13
03/20/06 10:29:25.5	1.14
03/20/06 10:30:38.0	1.15
03/20/06 10:32:49.0	1.16
03/20/06 10:35:18.5	1.17
03/20/06 10:37:29.0	1.18
03/20/06 10:39:53.0	1.19
03/20/06 10:42:19.5	1.2
03/20/06 10:44:27.5	1.21
03/20/06 10:46:34.5	1.22
03/20/06 10:48:33.5	1.23
03/20/06 10:50:17.0	1.24
03/20/06 10:52:13.0	1.25
03/20/06 10:54:13.5	1.26
03/20/06 10:56:07.5	1.27
03/20/06 10:58:15.5	1.28
03/20/06 10:59:50.0	1.29
03/20/06 11:01:58.0	1.3
03/20/06 11:04:51.5	1.31
03/20/06 11:08:25.5	1.32
03/20/06 11:11:13.5	1.33
03/20/06 11:20:04.0	1.34
