Serial Number:      10024     --     Series: Event (Rain Bucket Tip)

Date Time	Event (Rain bucket tip)
02/01/07 14:58:38.0	0
02/01/07 15:01:12.0	0.01
02/07/07 02:19:12.5	0.02
02/07/07 02:55:38.0	0.03
02/07/07 03:25:51.5	0.04
02/07/07 06:31:35.0	0.05
02/07/07 06:39:31.5	0.06
02/07/07 06:44:25.0	0.07
02/07/07 06:51:50.0	0.08
02/07/07 06:55:24.0	0.09
02/07/07 07:00:40.5	0.1
02/07/07 09:51:35.0	0.11
02/07/07 13:25:01.5	0.12
02/07/07 13:26:24.5	0.13
02/07/07 13:27:08.0	0.14
02/07/07 13:28:11.5	0.15
02/07/07 13:29:40.5	0.16
02/07/07 13:31:07.5	0.17
02/07/07 13:32:05.0	0.18
02/07/07 13:34:23.5	0.19
02/07/07 13:39:12.0	0.2
02/07/07 13:44:34.5	0.21
02/07/07 13:54:40.0	0.22
02/07/07 14:50:38.5	0.23
02/07/07 15:04:46.0	0.24
02/07/07 15:13:46.0	0.25
02/07/07 15:16:46.0	0.26
02/07/07 15:25:49.5	0.27
02/07/07 15:28:41.5	0.28
02/07/07 15:29:49.0	0.29
02/07/07 15:32:14.5	0.3
02/07/07 15:39:17.0	0.31
02/07/07 15:41:41.0	0.32
02/07/07 15:43:25.0	0.33
02/07/07 15:49:35.5	0.34
02/07/07 15:53:02.5	0.35
02/07/07 15:56:28.0	0.36
02/07/07 16:51:34.0	0.37
02/07/07 17:16:19.0	0.38
02/07/07 17:39:18.0	0.39
02/07/07 17:42:00.0	0.4
02/07/07 17:46:27.5	0.41
02/07/07 17:48:45.0	0.42
02/07/07 17:58:00.5	0.43
02/07/07 18:07:23.0	0.44
02/07/07 18:09:36.0	0.45
02/07/07 18:14:36.0	0.46
02/07/07 18:22:09.0	0.47
02/07/07 19:36:26.5	0.48
02/07/07 20:06:13.0	0.49
02/07/07 21:45:36.5	0.5
02/07/07 21:51:17.5	0.51
02/07/07 21:54:21.0	0.52
02/07/07 21:57:51.5	0.53
02/07/07 22:00:05.5	0.54
02/07/07 22:06:22.0	0.55
02/07/07 22:23:18.5	0.56
02/07/07 22:25:03.0	0.57
02/07/07 22:27:06.0	0.58
02/07/07 22:29:52.5	0.59
02/07/07 22:32:54.5	0.6
02/07/07 22:39:16.0	0.61
02/07/07 22:43:49.5	0.62
