Serial Number:      10024     --     Series: Event (Rain bucket tip)

Date Time	Event (Rain bucket tip)
11/28/07 13:28:54.0	0
12/01/07 13:52:40.5	0.01
12/01/07 13:58:27.5	0.02
12/04/07 04:40:09.5	0.03
12/04/07 06:04:15.0	0.04
12/04/07 06:20:33.0	0.05
12/04/07 06:29:56.5	0.06
12/04/07 06:40:43.5	0.07
12/04/07 06:49:36.5	0.08
12/04/07 06:54:17.5	0.09
12/04/07 06:57:03.5	0.1
12/04/07 06:59:39.5	0.11
12/04/07 07:53:06.0	0.12
12/04/07 09:02:15.0	0.13
12/04/07 09:07:51.0	0.14
12/04/07 11:03:44.5	0.14
