Serial Number:      10024     --     Series: Event (rain bucket tip)

Date Time	Event (rain bucket tip)
11/04/08 14:27:44.0	0
11/08/08 14:39:27.0	0.0108
11/08/08 14:53:54.5	0.0215
11/08/08 15:05:27.5	0.0323
11/08/08 15:20:40.0	0.043
11/08/08 15:34:14.0	0.0538
11/08/08 18:24:15.0	0.0645
11/08/08 19:06:49.5	0.0753
11/08/08 19:15:34.0	0.086
11/08/08 19:16:58.5	0.0968
11/08/08 19:17:43.5	0.1075
11/08/08 19:18:42.5	0.1183
11/08/08 19:19:19.0	0.129
11/08/08 19:20:42.0	0.1398
11/08/08 19:22:06.0	0.1505
11/08/08 19:25:20.5	0.1613
11/08/08 19:27:17.0	0.172
11/08/08 21:57:32.5	0.1828
11/09/08 03:53:56.5	0.1935
11/09/08 09:07:31.0	0.2043
11/09/08 21:48:15.5	0.2151
11/12/08 14:05:25.0	0.2151
