Serial Number:      10024     --     Series: Event (rain bucket tip)			

Date Time	Event (Events)	Tip Value	Cumulative
12/1/2010 12:05:44	0.01	0.01	0.01
12/1/2010 14:38:38	0.02	0.01	0.02
12/4/2010 9:50:45	0.03	0.01	0.03
12/4/2010 10:07:28	0.04	0.01	0.04
12/4/2010 16:57:04	0.05	0.01	0.05
12/4/2010 17:19:12	0.06	0.01	0.06
12/4/2010 17:38:35	0.07	0.01	0.07
12/4/2010 17:54:37	0.08	0.01	0.08
12/4/2010 18:08:09	0.09	0.01	0.09
12/4/2010 18:19:30	0.1	0.01	0.1
12/4/2010 18:22:54	0.11	0.01	0.11
12/4/2010 18:36:29	0.12	0.01	0.12
12/4/2010 18:48:54	0.13	0.01	0.13
12/4/2010 19:00:43	0.14	0.01	0.14
12/4/2010 19:19:20	0.15	0.01	0.15
12/4/2010 23:05:49	0.16	0.01	0.16
12/5/2010 0:45:25	0.17	0.01	0.17
12/5/2010 10:08:40	0.18	0.01	0.18
12/5/2010 11:32:35	0.19	0.01	0.19
12/5/2010 11:44:30	0.2	0.01	0.2
12/5/2010 11:48:10	0.21	0.01	0.21
12/5/2010 11:51:17	0.22	0.01	0.22
12/5/2010 11:53:33	0.23	0.01	0.23
12/5/2010 11:55:38	0.24	0.01	0.24
12/5/2010 11:57:19	0.25	0.01	0.25
12/5/2010 11:59:44	0.26	0.01	0.26
12/5/2010 12:10:33	0.27	0.01	0.27
12/5/2010 12:29:58	0.28	0.01	0.28
12/5/2010 12:39:16	0.29	0.01	0.29
12/5/2010 12:45:37	0.3	0.01	0.3
12/5/2010 12:49:49	0.31	0.01	0.31
12/5/2010 13:04:00	0.32	0.01	0.32
12/5/2010 13:59:43	0.33	0.01	0.33
12/5/2010 14:09:38	0.34	0.01	0.34
12/5/2010 14:13:38	0.35	0.01	0.35
12/5/2010 14:18:20	0.36	0.01	0.36
12/5/2010 14:37:57	0.37	0.01	0.37
12/5/2010 14:38:54	0.38	0.01	0.38
12/5/2010 14:39:48	0.39	0.01	0.39
12/5/2010 14:40:54	0.4	0.01	0.4
12/5/2010 14:42:20	0.41	0.01	0.41
12/5/2010 14:44:16	0.42	0.01	0.42
12/5/2010 14:46:50	0.43	0.01	0.43
12/5/2010 14:50:06	0.44	0.01	0.44
12/5/2010 14:50:54	0.45	0.01	0.45
12/5/2010 14:51:59	0.46	0.01	0.46
12/5/2010 14:53:25	0.47	0.01	0.47
12/5/2010 14:54:55	0.48	0.01	0.48
12/5/2010 14:57:23	0.49	0.01	0.49
12/5/2010 14:59:21	0.5	0.01	0.5
12/5/2010 15:01:36	0.51	0.01	0.51
12/5/2010 15:05:00	0.52	0.01	0.52
12/5/2010 15:08:12	0.53	0.01	0.53
12/5/2010 15:10:39	0.54	0.01	0.54
12/5/2010 15:12:12	0.55	0.01	0.55
12/5/2010 15:13:53	0.56	0.01	0.56
12/5/2010 15:14:30	0.57	0.01	0.57
12/5/2010 15:15:45	0.58	0.01	0.58
12/5/2010 15:16:32	0.59	0.01	0.59
12/5/2010 15:17:38	0.6	0.01	0.6
12/5/2010 15:18:31	0.61	0.01	0.61
12/5/2010 15:19:19	0.62	0.01	0.62
12/5/2010 15:19:58	0.63	0.01	0.63
12/5/2010 15:21:05	0.64	0.01	0.64
12/5/2010 15:22:02	0.65	0.01	0.65
12/5/2010 15:22:49	0.66	0.01	0.66
12/5/2010 15:23:29	0.67	0.01	0.67
12/5/2010 15:24:15	0.68	0.01	0.68
12/5/2010 15:25:20	0.69	0.01	0.69
12/5/2010 15:27:42	0.7	0.01	0.7
12/5/2010 15:30:07	0.71	0.01	0.71
12/5/2010 15:31:57	0.72	0.01	0.72
12/5/2010 15:33:29	0.73	0.01	0.73
12/5/2010 15:35:01	0.74	0.01	0.74
12/5/2010 15:36:24	0.75	0.01	0.75
12/5/2010 15:37:28	0.76	0.01	0.76
12/5/2010 15:38:49	0.77	0.01	0.77
12/5/2010 15:39:53	0.78	0.01	0.78
12/5/2010 15:40:58	0.79	0.01	0.79
12/5/2010 15:42:36	0.8	0.01	0.8
12/5/2010 15:43:53	0.81	0.01	0.81
12/5/2010 15:45:50	0.82	0.01	0.82
12/5/2010 15:48:02	0.83	0.01	0.83
12/5/2010 15:50:11	0.84	0.01	0.84
12/5/2010 15:51:28	0.85	0.01	0.85
