Serial Number:      10024     --     Series: Event (rain bucket tip)

Date Time	Event (rain bucket tip)
03/15/11 10:39:10.0	0
03/15/11 16:45:13.5	0.01
03/15/11 17:29:12.5	0.02
03/15/11 19:00:11.5	0.03
03/15/11 19:21:46.5	0.04
03/15/11 19:30:45.5	0.05
03/15/11 19:39:25.5	0.06
03/15/11 19:54:06.0	0.07
03/15/11 20:06:55.0	0.08
03/15/11 20:25:10.5	0.09
03/15/11 20:33:08.0	0.1
03/15/11 20:45:12.0	0.11
03/15/11 20:53:54.0	0.12
03/15/11 21:04:56.0	0.13
03/15/11 21:14:16.0	0.14
03/15/11 21:34:11.5	0.15
03/15/11 21:42:55.0	0.16
03/15/11 21:48:04.5	0.17
03/15/11 21:51:20.5	0.18
03/15/11 21:55:20.5	0.19
03/15/11 22:00:43.0	0.2
03/15/11 22:08:07.0	0.21
03/15/11 22:13:16.5	0.22
03/15/11 22:17:50.5	0.23
03/15/11 22:21:26.0	0.24
03/15/11 22:24:55.5	0.25
03/15/11 22:27:42.0	0.26
03/15/11 22:31:54.5	0.27
03/15/11 22:36:10.5	0.28
03/15/11 22:40:17.0	0.29
03/15/11 22:44:08.5	0.3
03/15/11 22:48:41.5	0.31
03/15/11 22:53:38.5	0.32
03/15/11 23:01:03.0	0.33
03/15/11 23:11:40.0	0.34
03/15/11 23:29:23.5	0.35
03/15/11 23:36:39.5	0.36
03/15/11 23:39:46.5	0.37
03/15/11 23:45:22.5	0.38
03/15/11 23:49:50.0	0.39
03/15/11 23:54:36.0	0.4
03/16/11 00:01:36.0	0.41
03/16/11 00:12:13.0	0.42
03/16/11 00:27:28.5	0.43
03/16/11 00:32:43.5	0.44
03/16/11 00:41:33.5	0.45
03/16/11 00:51:05.5	0.46
03/16/11 01:03:35.0	0.47
03/16/11 01:10:48.0	0.48
03/16/11 01:16:32.0	0.49
03/16/11 02:03:45.0	0.5
03/16/11 02:54:54.5	0.51
03/16/11 03:28:45.5	0.52
03/16/11 03:33:20.5	0.53
03/16/11 03:38:59.0	0.54
03/16/11 05:36:32.0	0.55
03/18/11 04:40:43.5	0.56
03/18/11 04:52:06.0	0.57
03/18/11 05:00:10.0	0.58
03/18/11 06:03:46.5	0.59
03/18/11 11:13:38.5	0.6
03/18/11 11:15:43.5	0.61
03/18/11 11:16:21.5	0.62
03/18/11 11:16:42.5	0.63
03/18/11 11:17:03.5	0.64
03/18/11 11:17:26.0	0.65
03/18/11 11:17:49.0	0.66
03/18/11 11:18:06.0	0.67
03/18/11 11:18:39.0	0.68
03/18/11 11:19:27.0	0.69
03/18/11 11:20:30.5	0.7
03/18/11 11:21:17.0	0.71
03/18/11 11:22:33.0	0.72
03/18/11 11:24:30.0	0.73
03/18/11 11:25:53.5	0.74
03/18/11 11:27:43.0	0.75
03/18/11 11:30:34.5	0.76
03/18/11 11:34:23.0	0.77
03/18/11 11:39:18.5	0.78
03/18/11 11:42:37.0	0.79
03/18/11 11:46:03.0	0.8
03/18/11 11:51:44.5	0.81
03/18/11 11:55:26.5	0.82
03/18/11 11:59:59.0	0.83
03/18/11 12:03:13.5	0.84
03/18/11 12:08:14.5	0.85
03/18/11 12:14:06.5	0.86
03/18/11 12:24:01.5	0.87
03/18/11 12:29:20.5	0.88
03/18/11 12:33:51.5	0.89
03/18/11 12:39:36.0	0.9
03/18/11 12:44:30.0	0.91
03/18/11 12:48:36.5	0.92
03/18/11 12:53:16.0	0.93
03/18/11 12:56:22.0	0.94
03/18/11 12:59:28.5	0.95
03/18/11 13:02:15.0	0.96
03/18/11 13:04:48.0	0.97
03/18/11 13:08:12.0	0.98
03/18/11 13:11:31.0	0.99
03/18/11 13:14:50.5	1
03/18/11 13:17:28.0	1.01
03/18/11 13:19:32.0	1.02
03/18/11 13:22:02.0	1.03
03/18/11 13:24:18.5	1.04
03/18/11 13:27:48.5	1.05
03/18/11 13:31:13.5	1.06
03/18/11 13:34:35.5	1.07
03/18/11 13:36:59.0	1.08
03/18/11 13:40:05.5	1.09
03/18/11 13:42:21.0	1.1
03/18/11 13:45:00.5	1.11
03/18/11 13:47:26.5	1.12
03/18/11 13:51:10.0	1.13
03/18/11 13:54:13.0	1.14
03/18/11 13:56:50.0	1.15
03/18/11 14:00:59.0	1.16
03/18/11 14:04:54.0	1.17
03/18/11 14:09:41.0	1.18
03/18/11 14:17:18.0	1.19
03/18/11 14:23:41.0	1.2
03/18/11 14:32:10.5	1.21
03/18/11 14:37:34.5	1.22
03/18/11 14:41:03.0	1.23
03/18/11 14:47:50.0	1.24
03/18/11 14:56:16.5	1.25
03/18/11 15:04:27.0	1.26
03/18/11 15:51:00.0	1.27
03/18/11 17:13:55.5	1.28
03/18/11 17:44:51.0	1.29
03/18/11 17:58:38.0	1.3
03/18/11 18:03:57.5	1.31
03/18/11 18:08:36.0	1.32
03/18/11 18:09:50.0	1.33
03/18/11 18:10:59.0	1.34
03/18/11 18:12:59.0	1.35
03/18/11 18:14:43.5	1.36
03/18/11 18:19:39.0	1.37
03/18/11 18:30:50.0	1.38
03/18/11 18:36:48.0	1.39
03/18/11 18:44:08.5	1.4
03/18/11 18:50:35.5	1.41
03/18/11 22:12:53.5	1.42
03/19/11 07:21:52.5	1.43
03/19/11 08:07:59.0	1.44
03/19/11 08:52:11.0	1.45
03/19/11 09:02:08.0	1.46
03/19/11 09:09:15.0	1.47
03/19/11 09:24:34.5	1.48
03/19/11 09:30:33.5	1.49
03/19/11 09:36:30.0	1.5
03/19/11 09:48:47.0	1.51
03/19/11 09:58:17.0	1.52
03/19/11 10:12:28.0	1.53
03/19/11 10:21:35.0	1.54
03/19/11 11:30:24.5	1.55
03/19/11 12:03:14.0	1.56
03/19/11 12:11:01.0	1.57
03/19/11 12:14:22.0	1.58
03/19/11 12:19:29.0	1.59
03/19/11 12:23:16.5	1.6
03/19/11 12:26:48.0	1.61
03/19/11 12:30:33.5	1.62
03/19/11 12:33:14.0	1.63
03/19/11 12:35:48.5	1.64
03/19/11 12:38:16.5	1.65
03/19/11 12:41:59.5	1.66
03/19/11 12:44:41.0	1.67
03/19/11 12:48:24.5	1.68
03/19/11 12:53:51.5	1.69
03/19/11 12:56:15.5	1.7
03/19/11 13:00:03.5	1.71
03/19/11 13:04:48.5	1.72
03/19/11 13:10:51.0	1.73
03/19/11 13:16:24.5	1.74
03/19/11 13:26:52.5	1.75
03/19/11 13:38:37.5	1.76
03/19/11 13:43:00.0	1.77
03/19/11 14:09:15.0	1.78
03/19/11 16:13:54.0	1.79
03/19/11 16:19:46.5	1.8
03/19/11 16:25:44.5	1.81
03/19/11 16:30:19.0	1.82
03/19/11 16:34:48.5	1.83
03/19/11 16:38:52.0	1.84
03/19/11 16:43:11.0	1.85
03/19/11 16:47:44.5	1.86
03/19/11 16:52:32.5	1.87
03/19/11 16:56:05.5	1.88
03/19/11 17:02:29.0	1.89
03/19/11 17:10:30.5	1.9
03/19/11 17:16:40.0	1.91
03/19/11 17:20:18.0	1.92
03/19/11 17:24:23.5	1.93
03/19/11 17:27:10.0	1.94
03/19/11 17:30:00.5	1.95
03/19/11 17:32:38.0	1.96
03/19/11 17:35:58.5	1.97
03/19/11 17:38:40.5	1.98
03/19/11 17:43:21.0	1.99
03/19/11 17:46:56.0	2
03/19/11 17:49:41.0	2.01
03/19/11 17:52:26.0	2.02
03/19/11 17:56:47.0	2.03
03/19/11 18:00:45.0	2.04
03/19/11 18:04:39.0	2.05
03/19/11 18:07:38.0	2.06
03/19/11 18:10:11.5	2.07
03/19/11 18:12:17.0	2.08
03/19/11 18:14:52.5	2.09
03/19/11 18:16:55.0	2.1
03/19/11 18:19:18.5	2.11
03/19/11 18:21:48.5	2.12
03/19/11 18:25:36.0	2.13
03/19/11 18:29:35.5	2.14
03/19/11 18:33:32.0	2.15
03/19/11 18:36:23.0	2.16
03/19/11 18:38:46.5	2.17
03/19/11 18:40:04.0	2.18
03/19/11 18:41:17.0	2.19
03/19/11 18:42:22.5	2.2
03/19/11 18:44:23.5	2.21
03/19/11 18:45:55.0	2.22
03/19/11 18:48:06.0	2.23
03/19/11 18:50:19.0	2.24
03/19/11 18:53:08.5	2.25
03/19/11 18:55:06.5	2.26
03/19/11 18:57:34.5	2.27
03/19/11 18:59:18.0	2.28
03/19/11 19:01:23.0	2.29
03/19/11 19:03:23.0	2.3
03/19/11 19:04:29.5	2.31
03/19/11 19:05:42.5	2.32
03/19/11 19:07:07.5	2.33
03/19/11 19:08:09.5	2.34
03/19/11 19:09:58.5	2.35
03/19/11 19:11:17.5	2.36
03/19/11 19:12:49.5	2.37
03/19/11 19:15:23.0	2.38
03/19/11 19:20:42.0	2.39
03/19/11 19:26:32.0	2.4
03/19/11 19:34:38.0	2.41
03/19/11 19:40:29.0	2.42
03/19/11 19:45:12.0	2.43
03/19/11 19:48:25.5	2.44
03/19/11 19:51:15.0	2.45
03/19/11 19:54:00.0	2.46
03/19/11 19:56:34.0	2.47
03/19/11 19:58:54.5	2.48
03/19/11 20:02:14.5	2.49
03/19/11 20:05:08.0	2.5
03/19/11 20:08:17.5	2.51
03/19/11 20:10:58.0	2.52
03/19/11 20:14:12.5	2.53
03/19/11 20:16:39.5	2.54
03/19/11 20:19:23.5	2.55
03/19/11 20:22:03.0	2.56
03/19/11 20:25:22.0	2.57
03/19/11 20:27:38.0	2.58
03/19/11 20:31:10.0	2.59
03/19/11 20:34:57.0	2.6
03/19/11 20:38:57.5	2.61
03/19/11 20:41:31.0	2.62
03/19/11 20:43:57.0	2.63
03/19/11 20:45:31.0	2.64
03/19/11 20:47:14.0	2.65
03/19/11 20:49:19.5	2.66
03/19/11 20:51:34.5	2.67
03/19/11 20:53:12.5	2.68
03/19/11 20:55:05.5	2.69
03/19/11 20:57:03.5	2.7
03/19/11 20:59:42.0	2.71
03/19/11 21:01:42.0	2.72
03/19/11 21:05:03.5	2.73
03/19/11 21:06:45.0	2.74
03/19/11 21:09:59.0	2.75
03/19/11 21:12:32.5	2.76
03/19/11 21:14:16.5	2.77
03/19/11 21:15:50.0	2.78
03/19/11 21:17:20.5	2.79
03/19/11 21:17:50.5	2.8
03/19/11 21:18:18.5	2.81
03/19/11 21:18:56.0	2.82
03/19/11 21:19:36.5	2.83
03/19/11 21:20:04.5	2.84
03/19/11 21:20:42.0	2.85
03/19/11 21:20:50.0	2.86
03/19/11 21:21:02.5	2.87
03/19/11 21:21:19.0	2.88
03/19/11 21:21:31.0	2.89
03/19/11 21:21:46.0	2.9
03/19/11 21:22:05.0	2.91
03/19/11 21:22:15.0	2.92
03/19/11 21:22:28.0	2.93
03/19/11 21:22:33.5	2.94
03/19/11 21:22:42.0	2.95
03/19/11 21:22:49.5	2.96
03/19/11 21:22:58.0	2.97
03/19/11 21:23:07.5	2.98
03/19/11 21:23:14.5	2.99
03/19/11 21:23:20.5	3
03/19/11 21:23:28.0	3.01
03/19/11 21:23:36.5	3.02
03/19/11 21:23:53.0	3.03
03/19/11 21:24:13.5	3.04
03/19/11 21:24:45.0	3.05
03/19/11 21:26:29.0	3.06
03/19/11 21:31:48.0	3.07
03/19/11 21:38:12.5	3.08
03/19/11 21:46:33.0	3.09
03/19/11 21:52:57.5	3.1
03/20/11 01:22:23.5	3.11
03/20/11 01:35:38.5	3.12
03/20/11 05:50:32.0	3.13
03/20/11 05:51:32.5	3.14
03/20/11 05:52:32.0	3.15
03/20/11 05:53:05.5	3.16
03/20/11 05:54:15.0	3.17
03/20/11 12:59:19.5	3.18
03/20/11 13:21:05.0	3.19
03/20/11 13:24:42.5	3.2
03/20/11 13:28:01.5	3.21
03/20/11 13:29:02.0	3.22
03/20/11 13:30:12.0	3.23
03/20/11 13:31:53.0	3.24
03/20/11 13:35:53.5	3.25
03/20/11 22:16:02.0	3.26
03/20/11 22:20:58.5	3.27
03/20/11 23:00:15.0	3.28
03/20/11 23:10:21.0	3.29
03/20/11 23:17:21.0	3.3
03/20/11 23:24:55.5	3.31
03/21/11 03:05:45.5	3.32
03/21/11 03:11:14.0	3.33
03/21/11 03:12:37.0	3.34
03/21/11 03:13:42.5	3.35
03/21/11 03:14:50.0	3.36
03/21/11 03:17:08.5	3.37
03/21/11 03:21:15.5	3.38
03/21/11 03:24:35.0	3.39
03/21/11 03:26:13.5	3.4
03/21/11 03:28:06.5	3.41
03/21/11 03:30:55.0	3.42
03/21/11 03:34:03.5	3.43
03/21/11 03:37:52.0	3.44
03/21/11 03:44:11.5	3.45
03/21/11 03:54:55.5	3.46
03/21/11 04:07:57.5	3.47
03/21/11 04:15:28.5	3.48
03/21/11 07:30:09.0	3.49
03/21/11 07:37:19.0	3.5
03/21/11 08:30:35.0	3.51
03/21/11 08:34:37.5	3.52
03/21/11 08:42:48.0	3.53
03/21/11 09:19:50.0	3.54
03/21/11 09:27:04.0	3.55
03/21/11 09:30:46.0	3.56
03/21/11 09:34:15.5	3.57
03/21/11 09:36:09.5	3.58
03/21/11 09:39:04.0	3.59
03/21/11 09:42:04.5	3.6
03/21/11 09:45:06.5	3.61
03/21/11 09:47:03.0	3.62
03/21/11 09:49:26.0	3.63
03/21/11 10:00:27.5	3.64
03/21/11 10:16:24.5	3.65
03/21/11 10:24:22.0	3.66
03/21/11 11:43:08.0	3.67
03/21/11 11:44:21.5	3.68
03/21/11 11:45:07.5	3.69
03/21/11 11:45:40.0	3.7
03/21/11 11:46:13.0	3.71
03/21/11 11:46:32.5	3.72
03/21/11 11:46:47.5	3.73
03/21/11 11:46:59.0	3.74
03/21/11 11:47:13.0	3.75
03/21/11 11:47:33.0	3.76
03/21/11 11:49:42.0	3.77
03/21/11 11:53:56.0	3.78
03/22/11 01:16:33.5	3.79
03/22/11 01:56:05.5	3.8
03/22/11 12:30:25.5	3.81
03/22/11 12:30:52.0	3.81
