Date Time	Event (Rain Bucket Tip)
04/29/03 14:05:55.0	0
05/02/03 03:10:33.5	0.01
05/02/03 03:28:05.0	0.02
05/02/03 06:40:15.5	0.03
05/02/03 10:42:45.0	0.04
05/02/03 10:44:57.5	0.05
05/02/03 10:49:49.0	0.06
05/02/03 10:55:49.5	0.07
05/02/03 11:00:12.5	0.08
05/02/03 11:16:39.5	0.09
05/02/03 11:44:03.0	0.1
05/02/03 11:53:28.5	0.11
05/02/03 12:44:32.5	0.12
05/02/03 12:48:16.5	0.13
05/02/03 13:00:48.0	0.14
05/02/03 13:06:15.5	0.15
05/02/03 13:08:07.5	0.16
05/02/03 13:09:32.0	0.17
05/02/03 13:11:12.5	0.18
05/02/03 13:13:28.5	0.19
05/02/03 13:16:39.0	0.2
05/02/03 13:19:28.5	0.21
05/02/03 13:21:17.5	0.22
05/02/03 13:23:27.5	0.23
05/02/03 13:25:07.0	0.24
05/02/03 13:26:53.0	0.25
05/02/03 13:30:04.5	0.26
05/02/03 13:31:52.0	0.27
05/02/03 13:33:33.5	0.28
05/02/03 13:35:32.5	0.29
05/02/03 13:37:18.5	0.3
05/02/03 13:39:19.5	0.31
05/02/03 13:41:14.0	0.32
05/02/03 13:43:03.5	0.33
05/02/03 13:45:26.0	0.34
05/02/03 13:47:47.0	0.35
05/02/03 13:51:59.0	0.36
05/02/03 13:54:47.0	0.37
05/02/03 13:57:54.5	0.38
05/02/03 14:01:11.5	0.39
05/02/03 14:03:23.5	0.4
05/02/03 14:05:03.0	0.41
05/02/03 14:08:16.5	0.42
05/02/03 14:11:20.0	0.43
05/02/03 14:14:40.5	0.44
05/02/03 14:17:41.0	0.45
05/02/03 14:20:51.5	0.46
05/02/03 14:23:07.5	0.47
05/02/03 14:25:36.5	0.48
05/02/03 14:39:27.5	0.49
05/02/03 20:59:44.5	0.5
05/02/03 21:20:34.5	0.51
05/02/03 21:24:45.0	0.52
05/02/03 21:29:56.5	0.53
05/02/03 21:38:23.5	0.54
05/02/03 21:41:57.0	0.55
05/02/03 21:45:41.5	0.56
05/02/03 22:21:36.5	0.57
05/02/03 23:42:38.5	0.58
05/03/03 01:14:14.5	0.59
05/03/03 02:31:01.0	0.6
05/03/03 03:08:09.0	0.61
05/03/03 03:23:24.5	0.62
05/03/03 03:26:05.0	0.63
05/03/03 03:39:16.5	0.64
05/03/03 03:41:27.0	0.65
05/03/03 03:42:34.5	0.66
05/03/03 03:44:00.5	0.67
05/03/03 03:46:55.5	0.68
05/03/03 03:49:22.0	0.69
05/03/03 03:52:27.0	0.7
05/03/03 03:55:44.5	0.71
05/03/03 03:58:24.5	0.72
05/03/03 04:10:46.0	0.73
05/03/03 04:42:40.5	0.74
05/03/03 04:44:35.0	0.75
05/03/03 04:48:02.5	0.76
05/03/03 06:36:05.0	0.77
05/03/03 06:52:54.0	0.78
05/03/03 06:55:23.5	0.79
05/03/03 06:58:09.5	0.8
05/03/03 07:00:09.5	0.81
05/03/03 07:03:08.0	0.82
05/03/03 07:06:05.0	0.83
05/03/03 07:09:18.0	0.84
05/03/03 07:13:17.5	0.85
05/03/03 07:16:23.5	0.86
05/03/03 07:22:15.0	0.87
05/03/03 07:26:28.5	0.88
05/03/03 07:30:20.0	0.89
05/03/03 07:36:52.5	0.9
05/03/03 07:39:47.0	0.91
05/03/03 07:46:17.0	0.92
05/03/03 07:49:09.0	0.93
05/03/03 07:50:22.0	0.94
05/03/03 07:51:52.5	0.95
05/03/03 07:54:35.5	0.96
05/03/03 07:57:26.5	0.97
05/03/03 08:02:26.5	0.98
05/04/03 08:32:13.5	0.99
05/06/03 11:58:50.5	0.99
