Date Time	Event (Rain Bucket Tip)
11/01/03 11:45:40.0	0
11/01/03 11:46:48.5	0.01
11/01/03 11:47:01.0	0.02
11/01/03 11:47:10.5	0.03
11/02/03 22:31:58.0	0.04
11/02/03 23:30:01.0	0.05
11/03/03 00:07:01.5	0.06
11/03/03 00:07:42.0	0.07
11/03/03 01:00:45.5	0.08
11/03/03 01:01:38.0	0.09
11/03/03 01:19:39.0	0.1
11/03/03 01:25:01.5	0.11
11/03/03 03:34:56.5	0.12
11/03/03 03:41:07.5	0.13
11/03/03 03:45:11.5	0.14
11/03/03 03:47:23.0	0.15
11/03/03 03:54:53.0	0.16
11/03/03 04:02:17.0	0.17
11/03/03 08:20:58.0	0.18
11/06/03 20:05:05.5	0.19
11/06/03 22:34:46.5	0.2
11/06/03 22:41:22.0	0.21
11/06/03 22:49:13.0	0.22
11/06/03 22:54:40.0	0.23
11/06/03 22:59:53.5	0.24
11/06/03 23:04:39.5	0.25
11/06/03 23:09:13.5	0.26
11/06/03 23:13:37.5	0.27
11/06/03 23:17:26.0	0.28
11/06/03 23:21:12.0	0.29
11/06/03 23:24:18.0	0.3
11/06/03 23:27:07.0	0.31
11/06/03 23:30:29.5	0.32
11/06/03 23:33:26.5	0.33
11/06/03 23:37:10.0	0.34
11/06/03 23:40:41.0	0.35
11/06/03 23:44:42.5	0.36
11/06/03 23:48:28.0	0.37
11/06/03 23:53:28.5	0.38
11/06/03 23:56:41.5	0.39
11/06/03 23:59:54.0	0.4
11/07/03 00:02:56.0	0.41
11/07/03 00:06:22.5	0.42
11/07/03 00:10:05.0	0.43
11/07/03 00:13:54.5	0.44
11/07/03 00:18:07.5	0.45
11/07/03 00:22:27.0	0.46
11/07/03 00:27:11.0	0.47
11/07/03 00:31:28.0	0.48
11/07/03 00:37:16.0	0.49
11/07/03 00:46:38.0	0.5
11/07/03 01:14:37.0	0.51
11/07/03 01:36:01.5	0.52
11/07/03 08:55:44.5	0.52
