Date Time	Event (Rain Bucket Tip)
02/14/03 14:00:14.0	0
02/15/03 16:48:56.5	0.01
02/15/03 17:34:52.0	0.02
02/15/03 17:42:23.0	0.03
02/15/03 17:46:10.0	0.04
02/15/03 17:48:40.5	0.05
02/15/03 17:51:43.0	0.06
02/15/03 17:54:15.5	0.07
02/15/03 17:57:26.5	0.08
02/15/03 18:00:55.0	0.09
02/15/03 18:07:02.0	0.1
02/15/03 18:13:23.0	0.11
02/15/03 18:28:30.5	0.12
02/15/03 18:38:47.5	0.13
02/15/03 18:45:42.0	0.14
02/15/03 18:54:57.0	0.15
02/15/03 19:09:16.0	0.16
02/15/03 19:20:13.5	0.17
02/15/03 19:29:17.0	0.18
02/15/03 19:49:36.0	0.19
02/15/03 19:56:21.0	0.2
02/15/03 20:00:16.5	0.21
02/15/03 20:09:57.5	0.22
02/15/03 20:16:48.0	0.23
02/15/03 20:20:57.5	0.24
02/15/03 20:23:12.5	0.25
02/15/03 20:26:17.5	0.26
02/15/03 20:29:52.5	0.27
02/15/03 20:33:09.5	0.28
02/15/03 20:37:57.0	0.29
02/15/03 20:54:49.5	0.3
02/15/03 21:08:42.5	0.31
02/15/03 21:17:10.5	0.32
02/15/03 21:21:01.5	0.33
02/15/03 21:26:46.0	0.34
02/15/03 21:32:58.5	0.35
02/15/03 21:39:48.0	0.36
02/15/03 21:49:04.0	0.37
02/15/03 21:56:14.5	0.38
02/15/03 22:10:58.5	0.39
02/15/03 22:38:47.5	0.4
02/15/03 22:45:30.5	0.41
02/15/03 22:48:20.5	0.42
02/15/03 22:50:36.0	0.43
02/15/03 22:53:56.0	0.44
02/15/03 22:58:52.0	0.45
02/15/03 23:03:11.5	0.46
02/15/03 23:06:13.0	0.47
02/15/03 23:07:57.5	0.48
02/15/03 23:10:48.5	0.49
02/15/03 23:12:49.5	0.5
02/15/03 23:14:27.5	0.51
02/15/03 23:16:17.0	0.52
02/15/03 23:18:01.0	0.53
02/15/03 23:19:46.5	0.54
02/15/03 23:21:25.0	0.55
02/15/03 23:23:53.5	0.56
02/15/03 23:25:47.0	0.57
02/15/03 23:27:46.0	0.58
02/15/03 23:28:55.0	0.59
02/15/03 23:29:32.0	0.6
02/15/03 23:30:12.0	0.61
02/15/03 23:30:48.0	0.62
02/15/03 23:31:15.0	0.63
02/15/03 23:31:37.5	0.64
02/15/03 23:31:59.0	0.65
02/15/03 23:32:29.0	0.66
02/15/03 23:32:51.0	0.67
02/15/03 23:33:17.0	0.68
02/15/03 23:33:42.5	0.69
02/15/03 23:34:12.0	0.7
02/15/03 23:34:36.5	0.71
02/15/03 23:35:39.5	0.72
02/15/03 23:37:27.5	0.73
02/15/03 23:38:30.0	0.74
02/15/03 23:39:20.5	0.75
02/15/03 23:40:58.0	0.76
02/15/03 23:42:20.5	0.77
02/15/03 23:44:22.5	0.78
02/15/03 23:45:43.0	0.79
02/15/03 23:47:51.5	0.8
02/15/03 23:50:09.0	0.81
02/15/03 23:52:46.0	0.82
02/15/03 23:55:00.5	0.83
02/15/03 23:57:21.0	0.84
02/15/03 23:59:33.5	0.85
02/16/03 00:01:46.5	0.86
02/16/03 00:05:44.0	0.87
02/16/03 00:13:04.5	0.88
02/16/03 00:19:39.5	0.89
02/16/03 00:23:27.0	0.9
02/16/03 00:26:53.0	0.91
02/16/03 00:31:25.0	0.92
02/16/03 00:37:13.0	0.93
02/16/03 00:48:18.0	0.94
02/16/03 01:03:39.0	0.95
02/16/03 01:25:45.5	0.96
02/19/03 06:54:03.0	0.97
02/19/03 06:55:24.0	0.98
02/19/03 06:56:28.5	0.99
02/19/03 07:13:15.0	1
02/19/03 07:17:46.0	1.01
02/19/03 07:20:25.0	1.02
02/19/03 07:28:28.0	1.03
02/19/03 07:55:51.5	1.04
02/24/03 15:46:23.5	1.05
02/24/03 15:49:03.5	1.06
02/24/03 15:50:06.0	1.07
