Date Time	Event (Rain Bucket Tip)
03/16/04 17:14:39.0	0
03/25/04 13:45:17.5	0.01
03/25/04 13:50:46.0	0.02
03/25/04 13:57:56.5	0.03
03/25/04 14:04:41.0	0.04
03/25/04 14:08:36.0	0.05
03/25/04 14:11:35.0	0.06
03/25/04 14:15:20.0	0.07
03/25/04 14:19:34.5	0.08
03/25/04 14:22:44.0	0.09
03/25/04 14:26:21.5	0.1
03/25/04 14:29:27.5	0.11
03/25/04 14:33:12.5	0.12
03/25/04 14:36:54.0	0.13
03/25/04 14:42:42.5	0.14
03/25/04 14:48:20.5	0.15
03/25/04 14:50:46.5	0.16
03/25/04 14:52:08.0	0.17
03/25/04 14:55:12.0	0.18
03/25/04 14:58:10.0	0.19
03/25/04 15:03:24.5	0.2
03/25/04 15:09:04.5	0.21
03/25/04 15:14:29.5	0.22
03/25/04 15:20:03.5	0.23
03/25/04 15:24:59.5	0.24
03/25/04 15:28:07.0	0.25
03/25/04 15:32:15.5	0.26
03/25/04 15:35:54.5	0.27
03/25/04 15:40:36.0	0.28
03/25/04 15:46:21.0	0.29
03/25/04 15:53:38.5	0.3
03/25/04 16:08:35.5	0.31
03/25/04 16:16:32.0	0.32
03/25/04 16:23:25.5	0.33
03/25/04 16:29:33.0	0.34
03/25/04 16:34:36.5	0.35
03/25/04 16:37:14.5	0.36
03/25/04 16:38:17.5	0.37
03/25/04 16:39:35.5	0.38
03/25/04 16:41:52.5	0.39
03/25/04 16:44:39.5	0.4
03/25/04 16:46:04.5	0.41
03/25/04 16:48:56.5	0.42
03/25/04 16:51:48.5	0.43
03/25/04 16:54:29.0	0.44
03/25/04 16:57:30.5	0.45
03/25/04 17:00:58.0	0.46
03/25/04 17:04:13.5	0.47
03/25/04 17:07:32.0	0.48
03/25/04 17:10:26.5	0.49
03/25/04 17:14:51.0	0.5
03/25/04 17:20:28.5	0.51
03/25/04 17:51:02.0	0.52
04/10/04 08:07:40.0	0.53
04/11/04 08:06:59.5	0.54
04/19/04 20:06:45.5	0.55
04/19/04 20:28:18.5	0.56
04/19/04 20:52:16.0	0.57
04/19/04 21:09:53.5	0.58
04/19/04 21:21:08.5	0.59
04/19/04 21:32:22.0	0.6
04/19/04 21:48:52.0	0.61
04/19/04 22:00:00.0	0.62
04/19/04 22:05:16.5	0.63
04/19/04 22:09:57.0	0.64
04/19/04 22:14:26.5	0.65
04/19/04 22:21:58.5	0.66
04/19/04 22:26:45.5	0.67
04/19/04 22:32:19.5	0.68
04/19/04 22:35:23.5	0.69
04/19/04 22:39:18.0	0.7
04/19/04 22:44:18.0	0.71
04/19/04 22:49:32.5	0.72
04/19/04 22:55:21.5	0.73
04/19/04 23:05:26.0	0.74
04/19/04 23:13:39.5	0.75
04/19/04 23:23:13.5	0.76
04/19/04 23:29:06.5	0.77
04/19/04 23:39:01.0	0.78
04/19/04 23:49:38.0	0.79
04/20/04 00:01:50.5	0.8
04/20/04 00:06:01.0	0.81
04/20/04 01:34:47.5	0.82
04/20/04 02:04:42.0	0.83
04/20/04 02:07:23.5	0.84
04/20/04 02:10:53.5	0.85
04/20/04 02:13:19.5	0.86
04/20/04 02:16:20.5	0.87
04/20/04 02:33:25.5	0.88
04/20/04 02:54:35.0	0.89
04/20/04 03:36:03.5	0.9
04/20/04 04:18:28.5	0.91
04/20/04 04:22:19.0	0.92
04/20/04 04:27:01.0	0.93
04/20/04 04:29:55.0	0.94
04/20/04 04:32:06.0	0.95
04/20/04 04:35:33.0	0.96
04/20/04 04:39:16.0	0.97
04/20/04 04:42:27.0	0.98
04/20/04 04:45:42.5	0.99
04/20/04 05:17:58.5	1
04/20/04 08:07:17.0	1.01
04/20/04 08:49:40.0	1.02
04/20/04 09:09:52.0	1.03
05/28/04 05:50:45.5	1.04
05/28/04 05:55:55.5	1.05
05/28/04 06:05:19.0	1.06
05/28/04 06:11:03.0	1.07
05/28/04 06:14:35.0	1.08
05/28/04 06:20:22.5	1.09
05/28/04 06:30:03.5	1.1
05/28/04 07:18:00.0	1.11
07/07/04 06:57:12.5	1.12
07/07/04 20:28:47.0	1.13
07/07/04 21:32:30.5	1.14
07/07/04 23:44:34.0	1.15
07/08/04 02:50:45.5	1.16
07/08/04 12:07:06.5	1.17
07/23/04 06:20:51.0	1.18
07/27/04 02:43:22.0	1.19
07/29/04 06:45:31.5	1.2
07/30/04 07:17:48.5	1.21
07/31/04 03:56:24.0	1.22
08/12/04 07:41:16.5	1.23
08/23/04 07:03:50.0	1.24
