Serial Number:     502858     --     Series: Event (Rain Bucket Tip)

Date Time	Event (Rain Bucket Tip)
03/01/06 09:12:00.0	0
03/01/06 23:47:03.5	0.01
03/01/06 23:53:26.0	0.02
03/02/06 00:03:21.5	0.03
03/02/06 00:16:47.5	0.04
03/02/06 00:29:11.0	0.05
03/02/06 00:41:28.0	0.06
03/02/06 00:49:38.0	0.07
03/02/06 00:58:09.0	0.08
03/02/06 01:04:44.0	0.09
03/02/06 01:11:41.0	0.1
03/02/06 01:18:24.0	0.11
03/02/06 01:26:04.0	0.12
03/02/06 01:31:39.5	0.13
03/02/06 01:42:49.5	0.14
03/02/06 02:02:40.0	0.15
03/02/06 02:33:15.5	0.16
03/02/06 02:41:52.0	0.17
03/02/06 02:49:23.5	0.18
03/02/06 03:07:23.0	0.19
03/03/06 00:58:42.0	0.2
03/03/06 00:59:46.5	0.21
03/03/06 01:00:24.0	0.22
03/03/06 01:01:09.5	0.23
03/03/06 01:01:40.5	0.24
03/03/06 01:02:24.0	0.25
03/03/06 01:05:06.5	0.26
03/03/06 01:09:40.0	0.27
03/03/06 01:14:48.0	0.28
03/03/06 01:19:29.0	0.29
03/03/06 01:25:37.5	0.3
03/03/06 01:29:49.5	0.31
03/03/06 01:34:59.5	0.32
03/03/06 01:40:22.5	0.33
03/03/06 01:44:00.0	0.34
03/03/06 01:47:04.5	0.35
03/03/06 01:49:11.5	0.36
03/03/06 01:51:51.0	0.37
03/03/06 01:53:58.5	0.38
03/03/06 01:56:26.0	0.39
03/03/06 01:58:26.0	0.4
03/03/06 02:00:03.5	0.41
03/03/06 02:03:10.0	0.42
03/03/06 02:22:50.5	0.43
03/03/06 02:29:49.5	0.44
03/03/06 02:34:22.0	0.45
03/03/06 02:37:12.5	0.46
03/03/06 02:44:38.5	0.47
03/03/06 02:51:00.0	0.48
03/03/06 02:55:35.0	0.49
03/03/06 03:00:22.5	0.5
03/03/06 03:06:46.0	0.51
03/03/06 03:16:08.5	0.52
03/03/06 03:29:09.5	0.53
03/03/06 03:38:55.5	0.54
03/03/06 03:41:54.0	0.55
03/03/06 03:44:59.0	0.56
