Serial Number:     502858     --     Series: Event (Rain Bucket Tip)

Date Time	Event (Rain Bucket Tip)
12/01/10 13:37:50.0	0
12/01/10 13:38:05.0	0.01
12/04/10 09:46:37.5	0.02
12/04/10 09:59:51.0	0.03
12/04/10 11:43:32.0	0.04
12/04/10 11:43:33.5	0.05
12/04/10 11:43:35.5	0.06
12/04/10 11:43:56.5	0.07
12/04/10 11:44:03.0	0.08
12/04/10 11:44:06.0	0.09
12/04/10 11:45:14.5	0.1
12/04/10 11:45:16.0	0.11
12/04/10 11:45:17.5	0.12
12/04/10 11:45:19.0	0.13
12/04/10 11:45:20.5	0.14
12/04/10 11:45:22.0	0.15
12/04/10 11:45:23.5	0.16
12/04/10 11:45:26.0	0.17
12/04/10 11:45:28.0	0.18
12/04/10 11:45:29.5	0.19
12/04/10 11:45:31.0	0.2
12/04/10 11:45:33.5	0.21
12/04/10 11:45:35.0	0.22
12/04/10 11:45:36.5	0.23
12/04/10 11:45:38.0	0.24
12/04/10 11:45:39.5	0.25
12/04/10 11:45:41.0	0.26
12/04/10 11:45:42.5	0.27
12/04/10 11:45:44.0	0.28
12/04/10 11:45:45.5	0.29
12/04/10 11:45:47.0	0.3
12/04/10 11:45:48.5	0.31
12/04/10 11:45:50.0	0.32
12/04/10 11:45:51.5	0.33
12/04/10 11:45:53.0	0.34
12/04/10 11:45:54.5	0.35
12/04/10 11:45:56.0	0.36
12/04/10 11:45:57.5	0.37
12/04/10 11:45:59.0	0.38
12/04/10 11:46:00.5	0.39
12/04/10 11:46:02.0	0.4
12/04/10 11:46:04.5	0.41
12/04/10 11:46:06.0	0.42
12/04/10 11:46:07.5	0.43
12/04/10 11:46:09.0	0.44
12/04/10 11:46:10.5	0.45
12/04/10 11:46:12.0	0.46
12/04/10 11:46:13.5	0.47
12/04/10 11:46:15.0	0.48
12/04/10 11:46:16.5	0.49
12/04/10 11:46:18.0	0.5
12/04/10 11:46:19.5	0.51
12/04/10 11:46:21.0	0.52
12/04/10 11:46:22.5	0.53
12/04/10 11:46:24.0	0.54
12/04/10 11:46:25.5	0.55
12/04/10 11:46:27.0	0.56
12/04/10 11:46:28.5	0.57
12/04/10 11:46:30.0	0.58
12/04/10 11:46:31.5	0.59
12/04/10 11:46:33.0	0.6
12/04/10 11:46:34.5	0.61
12/04/10 11:46:36.0	0.62
12/04/10 11:46:37.5	0.63
12/04/10 11:46:39.0	0.64
12/04/10 11:46:40.5	0.65
12/04/10 11:46:42.0	0.66
12/04/10 11:46:43.5	0.67
12/04/10 11:46:45.0	0.68
12/04/10 11:46:46.5	0.69
12/04/10 11:46:48.0	0.7
12/04/10 11:46:49.5	0.71
12/04/10 11:46:51.0	0.72
12/04/10 11:46:52.5	0.73
12/04/10 11:46:54.0	0.74
12/04/10 11:46:55.5	0.75
12/04/10 11:46:57.0	0.76
12/04/10 11:46:58.5	0.77
12/04/10 11:47:00.0	0.78
12/04/10 11:47:01.5	0.79
12/04/10 11:47:03.0	0.8
12/04/10 11:47:04.5	0.81
12/04/10 11:47:06.0	0.82
12/04/10 11:47:07.5	0.83
12/04/10 11:47:09.0	0.84
12/04/10 11:47:10.5	0.85
12/04/10 11:47:12.0	0.86
12/04/10 11:47:13.5	0.87
12/04/10 11:47:15.0	0.88
12/04/10 11:47:16.5	0.89
12/04/10 11:47:18.0	0.9
12/04/10 11:47:19.5	0.91
12/04/10 11:47:21.0	0.92
12/04/10 11:47:22.5	0.93
12/04/10 11:47:24.0	0.94
12/04/10 11:47:25.5	0.95
12/04/10 11:47:27.0	0.96
12/04/10 11:47:28.5	0.97
12/04/10 11:47:30.0	0.98
12/04/10 11:47:31.5	0.99
12/04/10 11:47:33.0	1
12/04/10 11:47:34.5	1.01
12/04/10 11:47:36.0	1.02
12/04/10 11:47:37.5	1.03
12/04/10 11:47:39.0	1.04
12/04/10 11:47:40.5	1.05
12/04/10 11:47:42.0	1.06
12/04/10 11:47:43.5	1.07
12/04/10 11:47:45.0	1.08
12/04/10 11:47:46.5	1.09
12/04/10 11:47:48.0	1.1
12/04/10 11:47:49.5	1.11
12/04/10 11:47:51.0	1.12
12/04/10 11:47:52.5	1.13
12/04/10 11:47:54.0	1.14
12/04/10 11:47:55.5	1.15
12/04/10 11:47:57.0	1.16
12/04/10 11:47:58.5	1.17
12/04/10 11:48:00.0	1.18
12/04/10 11:48:01.5	1.19
12/04/10 11:48:03.0	1.2
12/04/10 11:48:04.5	1.21
