Serial Number:     531980     --     Series: Event (Rain bucket tip)

Date Time	Event (Rain bucket tip)
03/26/06 17:58:38.0	0
03/27/06 13:23:29.5	0.01
03/27/06 13:37:13.5	0.02
03/27/06 13:47:53.5	0.03
03/27/06 13:53:57.5	0.04
03/27/06 13:59:23.5	0.05
03/27/06 14:03:05.5	0.06
03/27/06 14:09:25.0	0.07
03/27/06 14:15:40.5	0.08
03/27/06 14:20:53.0	0.09
03/27/06 14:28:02.5	0.1
03/27/06 14:33:49.0	0.11
03/27/06 14:44:46.0	0.12
03/27/06 14:48:16.0	0.13
03/27/06 14:50:56.5	0.14
03/27/06 14:56:06.5	0.15
03/27/06 14:59:12.5	0.16
03/27/06 15:02:43.0	0.17
03/27/06 15:05:21.0	0.18
03/27/06 15:07:57.0	0.19
03/27/06 15:10:59.0	0.2
03/27/06 15:29:06.5	0.21
03/27/06 15:38:21.5	0.22
03/27/06 15:42:41.5	0.23
03/27/06 15:45:15.0	0.24
03/27/06 15:49:22.0	0.25
03/27/06 15:52:36.5	0.26
03/27/06 15:55:11.0	0.27
03/27/06 15:57:30.0	0.28
03/27/06 15:59:38.0	0.29
03/27/06 16:02:34.0	0.3
03/27/06 16:05:04.0	0.31
03/27/06 16:08:57.0	0.32
03/27/06 16:11:32.5	0.33
03/27/06 16:13:18.0	0.34
03/27/06 16:15:53.0	0.35
03/27/06 16:18:00.0	0.36
03/27/06 16:19:37.5	0.37
03/27/06 16:21:13.5	0.38
03/27/06 16:23:32.0	0.39
03/27/06 16:25:01.0	0.4
03/27/06 16:26:31.0	0.41
03/27/06 16:28:37.5	0.42
03/27/06 16:33:55.5	0.43
03/27/06 16:47:02.5	0.44
03/28/06 00:28:28.0	0.45
03/28/06 03:52:49.5	0.46
03/28/06 03:57:50.5	0.47
03/28/06 03:59:10.0	0.48
03/28/06 04:01:55.5	0.49
03/28/06 04:06:42.5	0.5
03/28/06 04:11:34.0	0.51
03/28/06 04:24:58.5	0.52
03/28/06 04:41:45.0	0.53
03/28/06 04:51:27.0	0.54
03/28/06 05:00:45.5	0.55
03/28/06 05:06:58.5	0.56
03/28/06 05:28:05.5	0.57
03/28/06 11:57:32.0	0.58
03/28/06 11:58:46.0	0.59
03/28/06 12:03:20.5	0.6
03/28/06 12:33:01.0	0.61
03/28/06 12:38:09.0	0.62
03/28/06 12:39:47.0	0.63
03/28/06 12:41:58.5	0.64
03/28/06 12:44:36.0	0.65
03/28/06 12:48:22.5	0.66
03/28/06 12:53:06.0	0.67
03/28/06 12:56:20.5	0.68
03/28/06 12:57:59.5	0.69
03/28/06 12:59:31.5	0.7
03/28/06 13:01:05.5	0.71
03/28/06 13:02:24.5	0.72
03/28/06 13:03:52.0	0.73
03/28/06 13:05:24.0	0.74
03/28/06 13:07:27.0	0.75
03/28/06 13:09:56.5	0.76
03/28/06 15:17:18.5	0.77
03/28/06 15:24:45.5	0.78
03/29/06 01:46:14.0	0.79
03/29/06 01:57:19.5	0.8
03/29/06 02:04:26.5	0.81
03/29/06 02:08:22.0	0.82
03/29/06 02:18:52.5	0.83
03/29/06 02:25:06.0	0.84
03/29/06 02:31:26.5	0.85
03/29/06 02:35:16.0	0.86
03/29/06 02:37:59.0	0.87
03/29/06 02:44:22.5	0.88
03/29/06 02:49:39.5	0.89
03/29/06 02:53:02.0	0.9
03/29/06 02:56:50.5	0.91
03/29/06 02:58:57.5	0.92
03/29/06 03:01:18.5	0.93
03/29/06 03:04:19.5	0.94
03/29/06 03:09:57.0	0.95
03/29/06 03:14:44.0	0.96
03/29/06 03:18:22.0	0.97
03/29/06 03:24:47.5	0.98
03/29/06 03:46:22.5	0.99
03/29/06 03:49:31.5	1
03/29/06 03:54:19.5	1.01
03/29/06 03:56:52.0	1.02
03/29/06 03:59:30.0	1.03
03/29/06 04:02:27.0	1.04
03/29/06 04:05:54.5	1.05
03/29/06 04:07:32.5	1.06
03/29/06 04:09:16.5	1.07
03/29/06 04:10:51.5	1.08
03/29/06 04:16:31.5	1.09
03/29/06 04:18:50.5	1.1
03/29/06 04:20:33.0	1.11
03/29/06 04:23:37.0	1.12
03/29/06 04:27:15.5	1.13
03/29/06 04:29:32.5	1.14
03/29/06 04:31:36.5	1.15
03/29/06 04:32:44.0	1.16
03/29/06 04:34:19.5	1.17
03/29/06 04:35:34.5	1.18
03/29/06 04:38:44.0	1.19
03/29/06 04:41:49.0	1.2
03/29/06 04:44:21.5	1.21
03/29/06 04:47:04.0	1.22
03/29/06 04:49:53.0	1.23
03/29/06 04:51:18.0	1.24
03/29/06 04:52:29.0	1.25
03/29/06 04:52:53.5	1.26
03/29/06 04:53:10.5	1.27
03/29/06 04:53:27.5	1.28
03/29/06 04:53:44.0	1.29
03/29/06 04:54:17.0	1.3
03/29/06 04:54:49.5	1.31
03/29/06 04:55:21.5	1.32
03/29/06 04:55:45.5	1.33
03/29/06 04:56:09.5	1.34
03/29/06 04:56:49.0	1.35
03/29/06 04:57:40.5	1.36
03/29/06 04:58:28.0	1.37
03/29/06 04:59:19.5	1.38
03/29/06 05:00:28.0	1.39
03/29/06 05:01:23.5	1.4
03/29/06 05:02:32.5	1.41
03/29/06 05:03:28.0	1.42
03/29/06 05:04:20.5	1.43
03/29/06 05:05:05.5	1.44
03/29/06 05:31:24.5	1.45
03/29/06 06:21:34.0	1.46
03/29/06 07:17:39.0	1.47
03/29/06 08:35:43.5	1.48
03/29/06 08:38:22.5	1.49
03/29/06 08:39:42.5	1.5
03/29/06 08:41:53.0	1.51
03/29/06 08:45:56.0	1.52
03/29/06 08:58:49.0	1.53
03/30/06 06:52:55.5	1.54
03/30/06 17:38:52.0	1.55
03/30/06 18:36:46.5	1.56
03/30/06 18:47:00.5	1.57
03/30/06 19:06:13.0	1.58
03/30/06 19:23:17.5	1.59
03/30/06 19:54:28.0	1.6
03/30/06 19:56:52.5	1.61
03/30/06 19:57:45.5	1.62
03/30/06 20:00:04.0	1.63
03/30/06 20:15:03.5	1.64
03/30/06 20:17:58.5	1.65
03/30/06 20:20:38.0	1.66
03/30/06 20:31:16.5	1.67
03/30/06 23:08:12.5	1.68
03/30/06 23:15:47.5	1.69
03/30/06 23:23:33.5	1.7
03/30/06 23:41:15.0	1.71
03/31/06 00:28:30.0	1.72
03/31/06 00:45:15.5	1.73
03/31/06 01:03:26.5	1.74
03/31/06 13:07:44.0	1.75
03/31/06 13:46:43.0	1.76
03/31/06 13:56:59.0	1.77
03/31/06 14:10:11.5	1.78
03/31/06 14:19:47.0	1.79
03/31/06 14:25:29.5	1.8
03/31/06 14:30:42.5	1.81
03/31/06 14:37:50.5	1.82
03/31/06 14:43:39.0	1.83
03/31/06 14:57:14.5	1.84
