Serial Number:     502858     --     Series: Event (Rain Bucket Tip)	

Date Time	Event (Rain Bucket Tip)
11/3/10 9:14	0
11/7/10 6:26	0.01
11/7/10 6:31	0.02
11/7/10 6:35	0.03
11/7/10 6:39	0.04
11/7/10 6:46	0.05
11/7/10 6:48	0.06
11/7/10 6:51	0.07
11/7/10 6:53	0.08
11/7/10 6:56	0.09
11/7/10 6:57	0.1
11/7/10 6:59	0.11
11/7/10 7:01	0.12
11/7/10 7:02	0.13
11/7/10 7:03	0.14
11/7/10 7:05	0.15
11/7/10 7:06	0.16
11/7/10 7:08	0.17
11/7/10 7:09	0.18
11/7/10 7:11	0.19
11/7/10 7:12	0.2
11/7/10 7:15	0.21
11/7/10 7:18	0.22
11/7/10 7:20	0.23
11/7/10 7:22	0.24
11/7/10 7:26	0.25
11/7/10 7:28	0.26
11/7/10 7:32	0.27
11/7/10 7:35	0.28
11/7/10 7:37	0.29
11/7/10 7:40	0.3
11/7/10 7:43	0.31
11/7/10 7:45	0.32
11/7/10 7:47	0.33
11/7/10 7:50	0.34
11/7/10 7:51	0.35
11/7/10 7:53	0.36
11/7/10 7:55	0.37
11/7/10 7:57	0.38
11/7/10 7:59	0.39
11/7/10 8:01	0.4
11/7/10 8:04	0.41
11/7/10 8:07	0.42
11/7/10 8:10	0.43
11/7/10 8:12	0.44
11/7/10 8:15	0.45
11/7/10 8:17	0.46
11/7/10 8:19	0.47
11/7/10 8:20	0.48
11/7/10 8:21	0.49
11/7/10 8:22	0.5
11/7/10 8:23	0.51
11/7/10 8:24	0.52
11/7/10 8:25	0.53
11/7/10 8:26	0.54
11/7/10 8:28	0.55
11/7/10 8:29	0.56
11/7/10 8:30	0.57
11/7/10 8:32	0.58
11/7/10 8:34	0.59
11/7/10 8:35	0.6
11/7/10 8:36	0.61
11/7/10 8:38	0.62
11/7/10 8:41	0.63
11/7/10 8:44	0.64
11/7/10 8:50	0.65
11/7/10 8:53	0.66
11/7/10 8:58	0.67
11/7/10 9:02	0.68
11/7/10 9:07	0.69
11/7/10 9:11	0.7
11/7/10 9:14	0.71
11/7/10 9:18	0.72
11/7/10 9:22	0.73
11/7/10 9:24	0.74
11/7/10 9:26	0.75
11/7/10 9:29	0.76
11/7/10 9:37	0.77
11/7/10 9:40	0.78
11/7/10 9:44	0.79
11/7/10 9:48	0.8
11/7/10 9:58	0.81
11/7/10 10:02	0.82
11/7/10 10:05	0.83
11/7/10 10:08	0.84
11/7/10 10:10	0.85
11/7/10 10:13	0.86
11/7/10 10:17	0.87
11/7/10 10:18	0.88
11/7/10 10:19	0.89
11/7/10 10:20	0.9
11/7/10 10:22	0.91
11/7/10 10:24	0.92
11/7/10 10:25	0.93
11/7/10 10:26	0.94
11/7/10 10:27	0.95
11/7/10 10:29	0.96
11/7/10 10:31	0.97
11/7/10 10:33	0.98
11/7/10 10:34	0.99
11/7/10 10:36	1
11/7/10 10:37	1.01
11/7/10 10:39	1.02
11/7/10 10:40	1.03
11/7/10 10:42	1.04
11/7/10 10:44	1.05
11/7/10 10:46	1.06
11/7/10 10:49	1.07
11/7/10 10:51	1.08
11/7/10 11:00	1.09
11/7/10 11:06	1.1
11/7/10 11:11	1.11
11/7/10 11:18	1.12
11/7/10 11:26	1.13
11/7/10 11:31	1.14
11/7/10 11:47	1.15
11/7/10 11:58	1.16
11/7/10 12:04	1.17
11/7/10 12:27	1.18
11/7/10 12:35	1.19
11/7/10 12:37	1.2
11/7/10 12:44	1.21
11/7/10 12:46	1.22
11/7/10 12:48	1.23
11/7/10 12:50	1.24
11/7/10 12:54	1.25
11/7/10 13:05	1.26
11/7/10 13:11	1.27
11/7/10 13:13	1.28
11/7/10 15:12	1.29
11/7/10 15:13	1.3
11/7/10 15:32	1.31
11/7/10 16:06	1.32
11/7/10 16:10	1.33
11/7/10 16:12	1.34
11/7/10 16:58	1.35
11/9/10 21:02	1.36
11/9/10 21:34	1.37
11/9/10 22:09	1.38
11/9/10 22:51	1.39
11/9/10 23:07	1.4
11/10/10 3:02	1.41
11/10/10 4:47	1.42
11/10/10 4:48	1.43
11/10/10 5:15	1.44
11/17/10 14:59	1.44
