Serial Number:     502858     --     Series: Event (Rain Bucket Tip)			

Date Time	Event (Events)	Tip Value	Cumulative
			
10/17/10 10:45	0.01	0.01	0.01
10/17/10 12:32	0.02	0.01	0.02
10/17/10 12:56	0.03	0.01	0.03
10/20/10 2:21	0.04	0.01	0.04
10/21/10 23:24	0.05	0.01	0.05
10/21/10 23:52	0.06	0.01	0.06
10/22/10 0:01	0.07	0.01	0.07
10/22/10 0:06	0.08	0.01	0.08
10/22/10 0:11	0.09	0.01	0.09
10/22/10 0:15	0.1	0.01	0.1
10/22/10 0:19	0.11	0.01	0.11
10/22/10 8:34	0.12	0.01	0.12
10/22/10 17:13	0.13	0.01	0.13
10/22/10 17:33	0.14	0.01	0.14
10/23/10 14:52	0.15	0.01	0.15
10/23/10 15:11	0.16	0.01	0.16
10/23/10 15:24	0.17	0.01	0.17
10/23/10 15:34	0.18	0.01	0.18
10/23/10 15:40	0.19	0.01	0.19
10/23/10 15:51	0.2	0.01	0.2
10/23/10 15:55	0.21	0.01	0.21
10/23/10 16:00	0.22	0.01	0.22
10/23/10 16:04	0.23	0.01	0.23
10/23/10 16:09	0.24	0.01	0.24
10/23/10 16:12	0.25	0.01	0.25
10/23/10 16:18	0.26	0.01	0.26
10/23/10 16:22	0.27	0.01	0.27
10/23/10 16:26	0.28	0.01	0.28
10/23/10 16:30	0.29	0.01	0.29
10/23/10 16:34	0.3	0.01	0.3
10/23/10 16:38	0.31	0.01	0.31
10/23/10 16:45	0.32	0.01	0.32
10/23/10 16:50	0.33	0.01	0.33
10/23/10 17:13	0.34	0.01	0.34
10/23/10 17:21	0.35	0.01	0.35
10/23/10 17:27	0.36	0.01	0.36
10/23/10 17:34	0.37	0.01	0.37
10/23/10 17:41	0.38	0.01	0.38
10/23/10 17:49	0.39	0.01	0.39
10/23/10 17:58	0.4	0.01	0.4
10/23/10 18:06	0.41	0.01	0.41
10/23/10 18:10	0.42	0.01	0.42
10/23/10 18:14	0.43	0.01	0.43
10/23/10 18:21	0.44	0.01	0.44
10/23/10 18:28	0.45	0.01	0.45
10/23/10 18:32	0.46	0.01	0.46
10/23/10 18:37	0.47	0.01	0.47
10/23/10 18:43	0.48	0.01	0.48
10/23/10 18:49	0.49	0.01	0.49
10/23/10 18:56	0.5	0.01	0.5
10/23/10 19:01	0.51	0.01	0.51
10/23/10 19:04	0.52	0.01	0.52
10/23/10 19:07	0.53	0.01	0.53
10/23/10 19:11	0.54	0.01	0.54
10/23/10 19:18	0.55	0.01	0.55
10/23/10 19:27	0.56	0.01	0.56
10/23/10 19:36	0.57	0.01	0.57
10/23/10 19:42	0.58	0.01	0.58
10/23/10 19:46	0.59	0.01	0.59
10/23/10 19:52	0.6	0.01	0.6
10/23/10 19:54	0.61	0.01	0.61
10/23/10 19:58	0.62	0.01	0.62
10/23/10 20:04	0.63	0.01	0.63
10/23/10 20:12	0.64	0.01	0.64
10/23/10 20:16	0.65	0.01	0.65
10/23/10 20:22	0.66	0.01	0.66
10/23/10 20:29	0.67	0.01	0.67
10/23/10 20:43	0.68	0.01	0.68
10/23/10 20:55	0.69	0.01	0.69
10/23/10 21:07	0.7	0.01	0.7
10/23/10 21:24	0.71	0.01	0.71
10/23/10 21:35	0.72	0.01	0.72
10/23/10 21:46	0.73	0.01	0.73
10/23/10 21:56	0.74	0.01	0.74
10/23/10 22:04	0.75	0.01	0.75
10/23/10 22:19	0.76	0.01	0.76
10/23/10 22:37	0.77	0.01	0.77
10/23/10 22:56	0.78	0.01	0.78
10/23/10 23:16	0.79	0.01	0.79
10/23/10 23:48	0.8	0.01	0.8
10/24/10 0:04	0.81	0.01	0.81
10/24/10 0:20	0.82	0.01	0.82
10/24/10 0:30	0.83	0.01	0.83
10/24/10 0:54	0.84	0.01	0.84
10/24/10 1:08	0.85	0.01	0.85
10/24/10 1:23	0.86	0.01	0.86
10/24/10 1:35	0.87	0.01	0.87
10/24/10 1:50	0.88	0.01	0.88
10/24/10 2:02	0.89	0.01	0.89
10/24/10 2:14	0.9	0.01	0.9
10/24/10 2:25	0.91	0.01	0.91
10/24/10 2:41	0.92	0.01	0.92
10/24/10 2:50	0.93	0.01	0.93
10/24/10 2:59	0.94	0.01	0.94
10/24/10 3:05	0.95	0.01	0.95
10/24/10 3:09	0.96	0.01	0.96
10/24/10 3:15	0.97	0.01	0.97
10/24/10 3:23	0.98	0.01	0.98
10/24/10 3:28	0.99	0.01	0.99
10/24/10 3:39	1	0.01	1
10/24/10 3:43	1.01	0.01	1.01
10/24/10 3:49	1.02	0.01	1.02
10/24/10 3:54	1.03	0.01	1.03
10/24/10 4:09	1.04	0.01	1.04
10/24/10 4:22	1.05	0.01	1.05
10/24/10 4:30	1.06	0.01	1.06
10/24/10 4:33	1.07	0.01	1.07
10/24/10 4:39	1.08	0.01	1.08
10/24/10 4:44	1.09	0.01	1.09
10/24/10 4:49	1.1	0.01	1.1
10/24/10 5:09	1.11	0.01	1.11
10/24/10 5:13	1.12	0.01	1.12
10/24/10 5:18	1.13	0.01	1.13
10/24/10 5:51	1.14	0.01	1.14
10/24/10 8:24	1.15	0.01	1.15
10/24/10 8:36	1.16	0.01	1.16
10/24/10 8:50	1.17	0.01	1.17
10/24/10 8:57	1.18	0.01	1.18
10/24/10 9:02	1.19	0.01	1.19
10/24/10 9:16	1.2	0.01	1.2
10/24/10 9:24	1.21	0.01	1.21
10/24/10 9:38	1.22	0.01	1.22
10/24/10 9:49	1.23	0.01	1.23
10/24/10 9:57	1.24	0.01	1.24
10/24/10 10:11	1.25	0.01	1.25
10/24/10 10:16	1.26	0.01	1.26
10/24/10 10:21	1.27	0.01	1.27
10/24/10 10:31	1.28	0.01	1.28
10/24/10 10:36	1.29	0.01	1.29
10/24/10 10:51	1.3	0.01	1.3
10/24/10 11:29	1.31	0.01	1.31
10/24/10 11:45	1.32	0.01	1.32
10/24/10 11:59	1.33	0.01	1.33
10/24/10 12:09	1.34	0.01	1.34
10/24/10 12:45	1.35	0.01	1.35
10/24/10 12:58	1.36	0.01	1.36
10/24/10 13:01	1.37	0.01	1.37
10/24/10 13:06	1.38	0.01	1.38
10/24/10 13:09	1.39	0.01	1.39
10/24/10 13:12	1.4	0.01	1.4
10/24/10 13:15	1.41	0.01	1.41
10/24/10 13:19	1.42	0.01	1.42
10/24/10 13:22	1.43	0.01	1.43
10/24/10 13:28	1.44	0.01	1.44
10/24/10 13:31	1.45	0.01	1.45
10/24/10 13:35	1.46	0.01	1.46
10/24/10 13:39	1.47	0.01	1.47
10/24/10 13:45	1.48	0.01	1.48
10/24/10 13:51	1.49	0.01	1.49
10/24/10 13:59	1.5	0.01	1.5
10/24/10 14:09	1.51	0.01	1.51
10/24/10 14:29	1.52	0.01	1.52
10/24/10 14:33	1.53	0.01	1.53
10/24/10 14:37	1.54	0.01	1.54
10/24/10 14:40	1.55	0.01	1.55
10/24/10 14:47	1.56	0.01	1.56
10/24/10 14:51	1.57	0.01	1.57
10/24/10 14:56	1.58	0.01	1.58
10/24/10 15:01	1.59	0.01	1.59
10/24/10 15:07	1.6	0.01	1.6
10/24/10 15:10	1.61	0.01	1.61
10/24/10 15:12	1.62	0.01	1.62
10/24/10 15:15	1.63	0.01	1.63
10/24/10 15:18	1.64	0.01	1.64
10/24/10 15:20	1.65	0.01	1.65
10/24/10 15:24	1.66	0.01	1.66
10/24/10 15:26	1.67	0.01	1.67
10/24/10 15:29	1.68	0.01	1.68
10/24/10 15:31	1.69	0.01	1.69
10/24/10 15:34	1.7	0.01	1.7
10/24/10 15:36	1.71	0.01	1.71
10/24/10 15:43	1.72	0.01	1.72
10/24/10 15:46	1.73	0.01	1.73
10/24/10 15:48	1.74	0.01	1.74
10/24/10 15:53	1.75	0.01	1.75
10/24/10 16:09	1.76	0.01	1.76
10/24/10 16:14	1.77	0.01	1.77
10/24/10 16:55	1.78	0.01	1.78
10/24/10 17:30	1.79	0.01	1.79
10/29/10 19:27	0.01	0.01	1.8
10/29/10 19:42	0.02	0.01	1.81
10/29/10 19:54	0.03	0.01	1.82
10/29/10 20:02	0.04	0.01	1.83
10/29/10 20:26	0.05	0.01	1.84
10/29/10 20:36	0.06	0.01	1.85
10/29/10 20:57	0.07	0.01	1.86
10/29/10 21:07	0.08	0.01	1.87
10/29/10 21:16	0.09	0.01	1.88
10/29/10 21:24	0.1	0.01	1.89
10/29/10 21:35	0.11	0.01	1.9
10/29/10 21:46	0.12	0.01	1.91
10/30/10 0:45	0.13	0.01	1.92
10/30/10 1:57	0.14	0.01	1.93
10/30/10 2:18	0.15	0.01	1.94
10/30/10 2:35	0.16	0.01	1.95
10/30/10 2:50	0.17	0.01	1.96
10/30/10 3:31	0.18	0.01	1.97
10/30/10 3:53	0.19	0.01	1.98
10/30/10 4:02	0.2	0.01	1.99
10/30/10 4:42	0.21	0.01	2
10/30/10 4:56	0.22	0.01	2.01
10/30/10 5:00	0.23	0.01	2.02
10/30/10 5:31	0.24	0.01	2.03
10/30/10 12:53	0.25	0.01	2.04
10/30/10 12:55	0.26	0.01	2.05
10/30/10 13:02	0.27	0.01	2.06
10/30/10 14:24	0.28	0.01	2.07
10/30/10 14:26	0.29	0.01	2.08
10/30/10 14:26	0.3	0.01	2.09
10/30/10 14:27	0.31	0.01	2.1
10/30/10 14:28	0.32	0.01	2.11
11/7/10 6:26	0.01	0.01	2.12
11/7/10 6:31	0.02	0.01	2.13
11/7/10 6:35	0.03	0.01	2.14
11/7/10 6:39	0.04	0.01	2.15
11/7/10 6:46	0.05	0.01	2.16
11/7/10 6:48	0.06	0.01	2.17
11/7/10 6:51	0.07	0.01	2.18
11/7/10 6:53	0.08	0.01	2.19
11/7/10 6:56	0.09	0.01	2.2
