Date Time	1/100 INCHES OF RAIN
10/29/00 10:32:09.0	0	Start
10/29/00 22:33:43.5	1
10/30/00 01:02:46.0	2
10/30/00 01:04:27.5	3
10/30/00 01:06:11.0	4
10/30/00 01:09:39.0	5
10/30/00 01:28:40.0	6
10/30/00 01:28:40.5	7
10/30/00 01:59:13.0	8
10/30/00 02:56:28.0	9
10/30/00 02:56:28.5	10
10/30/00 03:06:05.5	11
10/30/00 03:09:40.0	12
10/30/00 03:09:40.5	13
10/30/00 03:11:30.0	14
10/30/00 03:11:30.5	15
10/30/00 03:13:33.0	16
10/30/00 03:16:52.0	17
10/30/00 03:16:52.5	18
10/30/00 03:29:06.5	19
10/30/00 03:31:56.0	20
10/30/00 03:44:11.5	21
10/30/00 05:29:40.0	22
10/30/00 05:29:40.5	23
10/30/00 06:42:10.5	24
10/30/00 06:49:51.5	25
10/30/00 06:55:44.0	26
10/30/00 07:01:43.5	27
10/30/00 07:06:08.5	28
10/30/00 07:08:58.5	29
10/30/00 07:08:59.0	30
10/30/00 07:12:07.5	31
10/30/00 07:16:53.0	32
10/30/00 07:32:55.5	33
10/30/00 07:39:46.0	34
10/30/00 07:39:46.5	35
10/30/00 07:41:59.0	36
10/30/00 07:41:59.5	37
10/30/00 07:44:05.5	38
10/30/00 07:48:00.0	39
10/30/00 07:50:26.0	40
10/30/00 07:50:26.5	41
10/30/00 07:54:10.0	42
10/30/00 07:56:58.0	43
10/30/00 07:58:40.5	44
10/30/00 07:59:19.5	45
10/30/00 08:00:31.5	46
10/30/00 08:01:48.0	47
10/30/00 08:05:02.5	48
10/30/00 08:08:52.0	49
10/30/00 08:18:02.5	50
10/30/00 09:02:21.0	51
10/30/00 09:36:51.5	52
10/30/00 09:57:25.0	53
10/30/00 10:16:01.0	54
10/30/00 11:55:18.5	55
10/30/00 12:01:45.0	56
10/30/00 15:15:47.5	57
10/30/00 15:18:05.5	58
10/30/00 15:18:32.0	59
10/30/00 15:19:15.5	60
10/30/00 15:19:47.0	61
10/30/00 15:20:16.5	62
10/30/00 15:20:43.0	63
10/30/00 15:20:43.5	64
10/30/00 15:21:18.5	65
10/30/00 15:21:34.0	66
10/30/00 15:21:34.5	67
10/30/00 15:21:49.0	68
10/30/00 15:22:08.5	69
10/30/00 15:22:36.0	70
10/30/00 15:23:00.0	71
10/30/00 15:23:26.0	72
10/30/00 15:23:46.0	73
10/30/00 15:24:04.0	74
10/30/00 15:24:19.5	75
10/30/00 15:24:37.0	76
10/30/00 15:24:54.0	77
10/30/00 15:25:17.5	78
10/30/00 15:25:37.0	79
10/30/00 15:25:59.0	80
10/30/00 15:26:19.5	81
10/30/00 15:26:45.5	82
10/30/00 15:27:05.0	83
10/30/00 15:27:28.0	84
10/30/00 15:27:58.5	85
10/30/00 15:28:45.5	86
10/30/00 15:29:25.5	87
10/30/00 15:29:58.0	88
10/30/00 15:30:26.0	89
10/30/00 15:30:59.0	90
10/30/00 15:31:29.5	91
10/30/00 15:33:54.5	92
10/30/00 16:06:38.0	93
10/30/00 22:40:29.5	94
10/31/00 08:52:59.5	95
11/03/00 12:30:40.5	96
11/10/00 03:55:03.5	97
11/10/00 03:56:46.0	98
11/10/00 04:00:45.5	99
11/10/00 04:05:52.0	100
11/10/00 04:09:29.0	101
11/10/00 04:12:07.5	102
11/10/00 04:16:25.5	103
11/10/00 08:11:42.0	104
11/10/00 08:11:42.5	105
11/10/00 08:21:31.5	106
11/10/00 08:24:54.5	107
11/10/00 08:33:16.5	108
11/10/00 08:40:01.5	109
11/10/00 08:46:55.5	110
11/10/00 08:52:05.0	111
11/10/00 12:27:48.0	112
11/10/00 12:29:41.5	113
11/11/00 05:01:27.5	114
11/13/00 16:01:34.5	115
11/13/00 16:01:35.0	116
11/13/00 16:08:30.5	117
11/13/00 16:20:53.5	118
11/13/00 16:29:39.0	119
11/13/00 16:33:05.0	120
11/13/00 16:36:02.0	121
11/13/00 16:37:48.5	122
11/13/00 16:40:18.5	123
11/13/00 16:42:17.0	124
11/13/00 16:47:26.5	125
11/13/00 16:50:49.5	126
11/13/00 16:50:50.0	127
11/13/00 16:53:17.5	128
11/13/00 16:54:47.0	129
11/13/00 16:56:11.5	130
11/13/00 16:57:40.0	131
11/13/00 17:00:16.5	132
11/13/00 17:04:13.5	133
11/13/00 17:07:11.0	134
11/13/00 17:09:40.5	135
11/13/00 17:14:36.5	136
11/13/00 17:19:48.0	137
11/13/00 17:33:50.5	138
11/13/00 17:44:20.0	139
11/13/00 17:49:21.5	140
11/13/00 17:49:22.0	141
11/13/00 17:53:26.0	142
11/13/00 17:53:26.5	143
11/13/00 19:16:06.5	144
11/14/00 05:18:01.5	145
11/15/00 20:39:41.5	146
11/16/00 02:24:59.0	147
11/16/00 03:55:07.0	148
11/21/00 12:09:51.5	149
11/21/00 12:11:35.0	150
11/21/00 12:13:12.5	151
11/21/00 12:19:01.5	152
11/21/00 12:24:35.0	153
11/21/00 13:06:00.0	154
11/21/00 23:09:55.5	155
11/21/00 23:15:15.5	156
11/21/00 23:19:00.0	157
11/22/00 02:50:10.5	158
11/22/00 03:42:01.5	159
11/23/00 07:22:42.0	160
11/29/00 02:22:24.0	161
11/29/00 06:15:40.0	162
11/29/00 06:22:03.0	163
11/29/00 06:24:33.0	164
11/29/00 06:26:57.5	165
11/29/00 06:31:34.0	166
11/29/00 06:34:27.5	167
11/29/00 06:37:26.5	168
11/29/00 06:40:24.0	169
11/29/00 06:45:20.0	170
11/29/00 06:48:58.5	171
11/29/00 06:54:00.5	172
11/29/00 06:56:27.5	173
11/29/00 07:01:44.5	174
11/29/00 07:07:56.5	175
11/29/00 07:14:18.0	176
11/29/00 07:17:16.5	177
11/29/00 07:22:30.5	178
11/29/00 07:26:46.0	179
11/29/00 07:40:07.5	180
11/29/00 07:49:46.5	181
11/29/00 07:49:47.0	182
11/29/00 07:58:13.5	183
11/29/00 08:00:38.5	184
11/29/00 08:01:54.0	185
11/29/00 08:06:15.5	186
11/29/00 08:08:41.0	187
11/29/00 08:11:03.0	188
11/29/00 08:22:22.5	189
11/29/00 08:30:11.5	190
11/29/00 08:33:56.5	191
11/29/00 08:33:57.0	192
11/29/00 08:36:16.0	193
11/29/00 08:36:16.5	194
11/29/00 08:39:02.0	195
11/29/00 08:42:36.0	196
11/29/00 08:49:47.5	197
11/29/00 08:53:50.0	198
11/29/00 09:03:19.5	199
11/29/00 09:17:52.5	200
11/29/00 09:20:10.5	201
11/29/00 09:20:11.0	202
11/29/00 09:25:16.5	203
11/29/00 09:28:59.0	204
11/29/00 09:30:17.5	205
11/29/00 09:31:25.5	206
11/29/00 09:31:26.0	207
11/29/00 09:33:40.5	208
11/29/00 10:03:25.5	209
11/29/00 11:14:20.5	210
11/29/00 11:15:44.5	211
11/29/00 11:17:36.0	212
11/29/00 11:17:36.5	213
11/29/00 11:19:34.5	214
11/29/00 11:22:07.0	215
11/29/00 11:24:30.5	216
11/29/00 11:26:32.0	217
11/29/00 11:34:57.0	218
11/29/00 20:09:28.5	219
11/29/00 20:09:29.0	220
11/29/00 21:51:22.5	221
11/30/00 08:04:20.0	222
12/07/00 10:56:07.5	223
12/08/00 06:15:50.5	224
12/08/00 06:25:11.5	225
12/08/00 07:34:11.0	226
12/08/00 07:54:10.0	227
12/11/00 18:29:41.5	228
12/11/00 18:56:28.0	229
12/11/00 18:56:28.5	230
12/11/00 19:15:30.5	231
12/11/00 19:27:39.5	232
12/11/00 19:27:40.0	233
12/11/00 19:43:41.5	234
12/11/00 19:55:03.5	235
12/11/00 19:55:04.0	236
12/11/00 19:58:45.5	237
12/11/00 20:02:35.5	238
12/11/00 20:09:49.0	239
12/11/00 20:15:55.5	240
12/11/00 20:23:32.0	241
12/11/00 20:27:23.5	242
12/11/00 20:29:59.5	243
12/11/00 20:37:52.0	244
12/11/00 20:37:52.5	245
12/11/00 20:58:17.5	246
12/11/00 21:10:52.0	247
12/11/00 21:23:41.0	248
12/11/00 21:29:44.5	249
12/11/00 21:29:45.0	250
12/11/00 21:34:18.0	251
12/11/00 21:40:17.5	252
12/11/00 21:43:52.5	253
12/11/00 21:46:47.5	254
12/11/00 21:52:23.0	255
12/11/00 22:02:15.5	256
12/11/00 23:28:52.5	257
12/12/00 06:58:26.5	258
12/12/00 07:09:36.5	259
12/12/00 09:46:31.5	260
12/12/00 09:47:20.5	261
12/12/00 09:48:02.5	262
12/12/00 09:49:10.0	263
12/13/00 09:41:28.0	264
12/13/00 15:30:34.0	265
12/13/00 15:41:50.0	266
12/13/00 15:51:22.5	267
12/13/00 15:51:23.0	268
12/13/00 16:04:00.0	269
12/13/00 16:04:00.5	270
12/13/00 16:17:09.0	271
12/13/00 16:23:57.0	272
12/13/00 16:32:46.5	273
12/13/00 16:32:47.0	274
12/13/00 16:40:16.0	275
12/13/00 16:44:08.5	276
12/13/00 16:49:27.0	277
12/13/00 16:55:13.0	278
12/13/00 17:01:49.5	279
12/13/00 17:12:08.5	280
12/13/00 17:18:52.0	281
12/13/00 17:23:45.5	282
12/13/00 17:30:18.0	283
12/13/00 17:38:22.5	284
12/13/00 17:46:08.0	285
12/13/00 17:50:22.5	286
12/13/00 17:50:23.0	287
12/13/00 18:18:48.0	288
12/13/00 19:11:51.0	289
12/13/00 19:27:22.5	290
12/13/00 19:27:23.0	291
12/13/00 19:30:41.5	292
12/13/00 19:35:07.5	293
12/13/00 19:40:16.5	294
12/13/00 19:59:00.0	295
12/13/00 21:50:11.5	296
12/13/00 22:20:22.0	297
12/13/00 22:28:07.0	298
12/14/00 00:23:05.5	299
12/14/00 00:34:57.5	300
12/14/00 00:34:58.0	301
12/14/00 00:41:32.0	302
12/14/00 00:48:32.0	303
12/14/00 00:57:58.0	304
12/14/00 01:01:16.5	305
12/14/00 01:04:42.0	306
12/14/00 01:04:42.5	307
12/14/00 01:08:29.0	308
12/14/00 01:13:02.0	309
12/14/00 01:18:54.5	310
12/14/00 01:52:11.0	311
12/14/00 01:54:11.5	312
12/14/00 01:55:17.0	313
12/14/00 01:57:06.5	314
12/14/00 01:58:22.0	315
12/14/00 01:58:22.5	316
12/14/00 02:06:09.0	317
12/14/00 02:10:16.0	318
12/14/00 02:33:10.5	319
12/14/00 05:46:55.0	320
12/14/00 17:10:15.0	321
12/14/00 17:40:06.5	322
12/14/00 17:49:13.0	323
12/14/00 17:49:13.5	324
12/14/00 17:55:32.5	325
12/14/00 18:01:19.5	326
12/14/00 18:01:20.0	327
12/14/00 18:06:45.5	328
12/14/00 18:12:08.5	329
12/14/00 18:18:48.0	330
12/14/00 18:25:03.5	331
12/14/00 18:35:05.5	332
12/14/00 18:46:22.0	333
