Date Time	12/9/97 inches of rain
12/23/97 11:13:31.0	0	Start
01/01/98 23:57:52.0	1
01/01/98 23:57:52.5	2
01/02/98 00:02:54.5	3
01/02/98 00:09:17.5	4
01/02/98 00:14:41.0	5
01/02/98 00:59:59.0	6
01/02/98 01:08:44.5	7
01/02/98 01:13:25.5	8
01/02/98 01:25:13.0	9
01/02/98 01:31:11.5	10
01/02/98 01:33:31.5	11
01/02/98 01:35:03.5	12
01/02/98 01:36:38.0	13
01/02/98 01:38:15.0	14
01/02/98 01:39:56.5	15
01/02/98 01:41:41.5	16
01/02/98 01:43:28.5	17
01/02/98 01:45:40.0	18
01/02/98 01:50:54.0	19
01/02/98 01:53:42.5	20
01/02/98 01:55:06.5	21
01/02/98 01:57:36.5	22
01/02/98 02:00:39.5	23
01/02/98 02:03:24.5	24
01/02/98 02:06:09.5	25
01/02/98 02:09:18.5	26
01/02/98 02:12:54.0	27
01/02/98 02:15:22.0	28
01/02/98 02:17:13.0	29
01/02/98 02:18:50.5	30
01/02/98 02:22:26.0	31
01/02/98 02:24:47.5	32
01/02/98 02:27:56.5	33
01/02/98 02:29:55.5	34
01/02/98 02:31:46.0	35
01/02/98 02:33:26.0	36
01/02/98 02:34:23.5	37
01/02/98 02:35:10.5	38
01/02/98 02:36:30.5	39
01/02/98 02:38:36.0	40
01/02/98 02:40:43.0	41
01/02/98 02:42:45.0	42
01/02/98 02:44:09.0	43
01/02/98 02:44:54.5	44
01/02/98 02:45:47.5	45
01/02/98 02:47:04.5	46
01/02/98 02:48:50.5	47
01/02/98 02:48:51.0	48
01/02/98 02:49:35.5	49
01/02/98 02:50:25.5	50
01/02/98 02:51:03.0	51
01/02/98 02:51:45.0	52
01/02/98 02:52:34.5	53
01/02/98 02:53:27.0	54
01/02/98 02:54:12.5	55
01/02/98 02:55:13.5	56
01/02/98 02:56:22.5	57
01/02/98 02:57:24.5	58
01/02/98 02:58:12.0	59
01/02/98 02:58:57.0	60
01/02/98 02:59:47.0	61
01/02/98 02:59:47.5	62
01/02/98 03:01:11.5	63
01/02/98 03:02:31.0	64
01/02/98 03:02:31.5	65
01/02/98 03:04:03.5	66
01/02/98 03:05:27.5	67
01/02/98 03:06:26.5	68
01/02/98 03:07:26.0	69
01/02/98 03:08:40.0	70
01/02/98 03:10:25.0	71
01/02/98 03:12:44.0	72
01/02/98 03:14:33.5	73
01/02/98 03:21:40.5	74
01/02/98 03:24:07.5	75
01/02/98 03:25:21.0	76
01/02/98 03:26:48.5	77
01/02/98 03:29:34.5	78
01/02/98 03:31:00.5	79
01/02/98 03:33:01.5	80
01/02/98 03:34:29.5	81
01/02/98 03:36:27.5	82
01/02/98 03:38:47.0	83
01/02/98 03:40:25.5	84
01/02/98 03:42:21.0	85
01/02/98 03:45:00.0	86
01/02/98 03:49:29.5	87
01/02/98 03:57:30.0	88
01/02/98 03:59:48.5	89
01/02/98 04:07:58.5	90
01/02/98 04:18:58.0	91
01/02/98 04:22:22.5	92
01/02/98 04:29:15.5	93
01/02/98 04:29:16.0	94
01/02/98 04:33:45.0	95
01/02/98 04:37:18.5	96
01/02/98 04:44:35.0	97
01/02/98 04:45:53.5	98
01/02/98 04:45:54.0	99
01/02/98 04:48:29.0	100
01/02/98 04:48:29.5	101
01/02/98 04:50:23.0	102
01/02/98 04:53:27.5	103
01/02/98 04:56:48.5	104
01/02/98 05:01:58.5	105
01/02/98 05:04:23.5	106
01/02/98 05:05:41.5	107
01/02/98 05:08:53.5	108
01/02/98 05:14:19.0	109
01/02/98 05:19:00.5	110
01/02/98 05:20:52.5	111
01/02/98 05:23:03.0	112
01/02/98 05:24:49.5	113
01/02/98 05:25:51.5	114
01/02/98 05:27:20.0	115
01/02/98 05:28:13.0	116
01/02/98 05:28:13.5	117
01/02/98 05:29:10.5	118
01/02/98 05:30:09.5	119
01/02/98 05:31:15.5	120
01/02/98 05:32:38.0	121
01/02/98 05:33:45.0	122
01/02/98 05:34:35.0	123
01/02/98 05:36:05.0	124
