"Plot Title: Landing"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 20309223, SEN S/N: 20309223)","Event, units (LGR S/N: 20309223, SEN S/N: 20309223)","Coupler Detached (LGR S/N: 20309223, SEN S/N: 20309223)","Coupler Attached (LGR S/N: 20309223, SEN S/N: 20309223)","Host Connected (LGR S/N: 20309223, SEN S/N: 20309223)","Stopped (LGR S/N: 20309223, SEN S/N: 20309223)","End Of File (LGR S/N: 20309223, SEN S/N: 20309223)"
1,01/12/19 03:30:17 PM,57.268,0.00,,,,,
2,01/12/19 03:30:26 PM,,,Logged,,,,
3,01/12/19 04:30:17 PM,55.189,,,,,,
4,01/12/19 05:30:17 PM,52.401,,,,,,
5,01/12/19 06:30:17 PM,51.874,,,,,,
6,01/12/19 07:30:17 PM,51.172,,,,,,
7,01/12/19 08:30:17 PM,50.290,,,,,,
8,01/12/19 09:30:17 PM,49.228,,,,,,
9,01/12/19 10:30:17 PM,47.088,,,,,,
10,01/12/19 11:30:17 PM,46.548,,,,,,
11,01/13/19 12:30:17 AM,47.624,,,,,,
12,01/13/19 01:30:17 AM,48.695,,,,,,
13,01/13/19 02:30:17 AM,49.228,,,,,,
14,01/13/19 02:39:36 AM,,0.01,,,,,
15,01/13/19 02:57:56 AM,,0.02,,,,,
16,01/13/19 03:30:17 AM,49.050,,,,,,
17,01/13/19 04:30:17 AM,47.266,,,,,,
18,01/13/19 05:30:17 AM,46.548,,,,,,
19,01/13/19 06:30:17 AM,46.369,,,,,,
20,01/13/19 07:30:17 AM,46.369,,,,,,
21,01/13/19 08:30:17 AM,49.582,,,,,,
22,01/13/19 09:30:17 AM,51.699,,,,,,
23,01/13/19 10:30:17 AM,55.884,,,,,,
24,01/13/19 11:30:17 AM,58.476,,,,,,
25,01/13/19 12:30:17 PM,59.851,,,,,,
26,01/13/19 01:30:17 PM,61.569,,,,,,
27,01/13/19 02:30:17 PM,63.111,,,,,,
28,01/13/19 03:30:17 PM,59.851,,,,,,
29,01/13/19 04:30:17 PM,55.364,,,,,,
30,01/13/19 05:30:17 PM,51.523,,,,,,
31,01/13/19 06:30:17 PM,49.937,,,,,,
32,01/13/19 07:30:17 PM,49.582,,,,,,
33,01/13/19 08:30:17 PM,50.113,,,,,,
34,01/13/19 09:30:17 PM,50.995,,,,,,
35,01/13/19 10:30:17 PM,50.819,,,,,,
36,01/13/19 11:30:17 PM,51.699,,,,,,
37,01/14/19 12:30:17 AM,51.699,,,,,,
38,01/14/19 01:30:17 AM,51.699,,,,,,
39,01/14/19 02:30:17 AM,52.750,,,,,,
40,01/14/19 03:30:17 AM,52.401,,,,,,
41,01/14/19 04:30:17 AM,52.576,,,,,,
42,01/14/19 05:30:17 AM,52.050,,,,,,
43,01/14/19 05:58:13 AM,,0.03,,,,,
44,01/14/19 06:30:17 AM,49.050,,,,,,
45,01/14/19 07:30:17 AM,48.871,,,,,,
46,01/14/19 07:53:14 AM,,0.04,,,,,
47,01/14/19 08:12:21 AM,,0.05,,,,,
48,01/14/19 08:30:17 AM,48.339,,,,,,
49,01/14/19 08:38:11 AM,,0.06,,,,,
50,01/14/19 08:46:32 AM,,0.07,,,,,
51,01/14/19 09:00:45 AM,,0.08,,,,,
52,01/14/19 09:04:29 AM,,0.09,,,,,
53,01/14/19 09:30:17 AM,49.937,,,,,,
54,01/14/19 10:30:17 AM,52.050,,,,,,
55,01/14/19 10:39:20 AM,,0.10,,,,,
56,01/14/19 11:30:17 AM,52.050,,,,,,
57,01/14/19 12:30:17 PM,54.147,,,,,,
58,01/14/19 01:30:17 PM,54.322,,,,,,
59,01/14/19 02:19:08 PM,,0.11,,,,,
60,01/14/19 02:29:49 PM,,0.12,,,,,
61,01/14/19 02:30:17 PM,51.346,,,,,,
62,01/14/19 02:34:01 PM,,0.13,,,,,
63,01/14/19 02:37:23 PM,,0.14,,,,,
64,01/14/19 02:39:54 PM,,0.15,,,,,
65,01/14/19 02:42:35 PM,,0.16,,,,,
66,01/14/19 02:44:40 PM,,0.17,,,,,
67,01/14/19 02:47:31 PM,,0.18,,,,,
68,01/14/19 02:48:51 PM,,0.19,,,,,
69,01/14/19 02:51:33 PM,,0.20,,,,,
70,01/14/19 02:53:17 PM,,0.21,,,,,
71,01/14/19 02:55:22 PM,,0.22,,,,,
72,01/14/19 02:57:26 PM,,0.23,,,,,
73,01/14/19 02:59:44 PM,,0.24,,,,,
74,01/14/19 03:01:06 PM,,0.25,,,,,
75,01/14/19 03:04:12 PM,,0.26,,,,,
76,01/14/19 03:06:56 PM,,0.27,,,,,
77,01/14/19 03:08:31 PM,,0.28,,,,,
78,01/14/19 03:09:20 PM,,0.29,,,,,
79,01/14/19 03:11:16 PM,,0.30,,,,,
80,01/14/19 03:12:12 PM,,0.31,,,,,
81,01/14/19 03:15:22 PM,,0.32,,,,,
82,01/14/19 03:21:45 PM,,0.33,,,,,
83,01/14/19 03:27:50 PM,,0.34,,,,,
84,01/14/19 03:30:17 PM,49.759,,,,,,
85,01/14/19 04:30:17 PM,50.995,,,,,,
86,01/14/19 04:59:04 PM,,0.35,,,,,
87,01/14/19 05:30:17 PM,49.228,,,,,,
88,01/14/19 06:30:17 PM,48.339,,,,,,
89,01/14/19 07:30:17 PM,47.624,,,,,,
90,01/14/19 08:30:17 PM,47.266,,,,,,
91,01/14/19 09:30:17 PM,47.088,,,,,,
92,01/14/19 10:30:17 PM,46.908,,,,,,
93,01/14/19 11:30:17 PM,47.446,,,,,,
94,01/14/19 11:59:54 PM,,0.36,,,,,
95,01/15/19 12:10:52 AM,,0.37,,,,,
96,01/15/19 12:16:43 AM,,0.38,,,,,
97,01/15/19 12:27:37 AM,,0.39,,,,,
98,01/15/19 12:30:17 AM,47.802,,,,,,
99,01/15/19 12:32:51 AM,,0.40,,,,,
100,01/15/19 12:35:19 AM,,0.41,,,,,
101,01/15/19 12:37:57 AM,,0.42,,,,,
102,01/15/19 12:39:44 AM,,0.43,,,,,
103,01/15/19 12:42:02 AM,,0.44,,,,,
104,01/15/19 12:44:28 AM,,0.45,,,,,
105,01/15/19 12:47:41 AM,,0.46,,,,,
106,01/15/19 12:50:23 AM,,0.47,,,,,
107,01/15/19 01:00:49 AM,,0.48,,,,,
108,01/15/19 01:16:44 AM,,0.49,,,,,
109,01/15/19 01:30:17 AM,47.802,,,,,,
110,01/15/19 02:30:17 AM,47.624,,,,,,
111,01/15/19 02:35:14 AM,,0.50,,,,,
112,01/15/19 02:47:06 AM,,0.51,,,,,
113,01/15/19 03:02:00 AM,,0.52,,,,,
114,01/15/19 03:18:00 AM,,0.53,,,,,
115,01/15/19 03:30:17 AM,47.802,,,,,,
116,01/15/19 03:49:11 AM,,0.54,,,,,
117,01/15/19 04:30:17 AM,47.802,,,,,,
118,01/15/19 04:30:38 AM,,0.55,,,,,
119,01/15/19 04:46:25 AM,,0.56,,,,,
120,01/15/19 05:06:01 AM,,0.57,,,,,
121,01/15/19 05:12:03 AM,,0.58,,,,,
122,01/15/19 05:18:15 AM,,0.59,,,,,
123,01/15/19 05:30:17 AM,47.982,,,,,,
124,01/15/19 05:34:37 AM,,0.60,,,,,
125,01/15/19 05:48:03 AM,,0.61,,,,,
126,01/15/19 06:06:42 AM,,0.62,,,,,
127,01/15/19 06:15:33 AM,,0.63,,,,,
128,01/15/19 06:20:09 AM,,0.64,,,,,
129,01/15/19 06:22:39 AM,,0.65,,,,,
130,01/15/19 06:25:50 AM,,0.66,,,,,
131,01/15/19 06:30:17 AM,47.982,,,,,,
132,01/15/19 06:30:39 AM,,0.67,,,,,
133,01/15/19 06:37:45 AM,,0.68,,,,,
134,01/15/19 06:44:34 AM,,0.69,,,,,
135,01/15/19 06:58:23 AM,,0.70,,,,,
136,01/15/19 07:07:03 AM,,0.71,,,,,
137,01/15/19 07:16:58 AM,,0.72,,,,,
138,01/15/19 07:24:12 AM,,0.73,,,,,
139,01/15/19 07:30:17 AM,47.982,,,,,,
140,01/15/19 07:31:36 AM,,0.74,,,,,
141,01/15/19 07:35:48 AM,,0.75,,,,,
142,01/15/19 07:39:38 AM,,0.76,,,,,
143,01/15/19 07:41:54 AM,,0.77,,,,,
144,01/15/19 07:44:34 AM,,0.78,,,,,
145,01/15/19 07:47:22 AM,,0.79,,,,,
146,01/15/19 07:50:54 AM,,0.80,,,,,
147,01/15/19 07:54:18 AM,,0.81,,,,,
148,01/15/19 07:57:51 AM,,0.82,,,,,
149,01/15/19 08:00:29 AM,,0.83,,,,,
150,01/15/19 08:03:43 AM,,0.84,,,,,
151,01/15/19 08:06:43 AM,,0.85,,,,,
152,01/15/19 08:11:15 AM,,0.86,,,,,
153,01/15/19 08:16:23 AM,,0.87,,,,,
154,01/15/19 08:23:34 AM,,0.88,,,,,
155,01/15/19 08:30:17 AM,48.160,,,,,,
