"Plot Title: RLSM"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 20309218, SEN S/N: 20309218)","Event, units (LGR S/N: 20309218, SEN S/N: 20309218)","Coupler Detached (LGR S/N: 20309218, SEN S/N: 20309218)","Coupler Attached (LGR S/N: 20309218, SEN S/N: 20309218)","Host Connected (LGR S/N: 20309218, SEN S/N: 20309218)","Stopped (LGR S/N: 20309218, SEN S/N: 20309218)","End Of File (LGR S/N: 20309218, SEN S/N: 20309218)"
1,03/27/19 02:45:34 PM,73.926,0.00,,,,,
2,03/27/19 02:45:39 PM,,0.01,Logged,,,,
3,03/27/19 02:45:40 PM,,0.02,,,,,
4,03/27/19 02:45:41 PM,,0.03,,,,,
5,03/27/19 02:45:42 PM,,0.04,,,,,
6,03/27/19 02:45:43 PM,,0.05,,,,,
7,03/27/19 02:45:44 PM,,0.06,,,,,
8,03/27/19 02:45:46 PM,,0.07,,Logged,,,
9,03/27/19 02:46:00 PM,,,,,Logged,,
10,03/27/19 02:46:17 PM,,0.07,,,,Logged,Logged
