"Plot Title: LQC"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 20309222, SEN S/N: 20309222)","Event, units (LGR S/N: 20309222, SEN S/N: 20309222)","Coupler Attached (LGR S/N: 20309222, SEN S/N: 20309222)","Host Connected (LGR S/N: 20309222, SEN S/N: 20309222)","Stopped (LGR S/N: 20309222, SEN S/N: 20309222)","End Of File (LGR S/N: 20309222, SEN S/N: 20309222)"
1,04/16/19 11:00:00 AM,69.107,0.00,,,,
2,04/16/19 11:15:00 AM,72.545,,,,,
3,04/16/19 11:30:00 AM,70.308,,,,,
4,04/16/19 11:45:00 AM,68.248,,,,,
5,04/16/19 12:00:00 PM,69.449,,,,,
6,04/16/19 12:15:00 PM,68.763,,,,,
7,04/16/19 12:30:00 PM,68.763,,,,,
8,04/16/19 12:45:00 PM,68.421,,,,,
9,04/16/19 01:00:00 PM,68.077,,,,,
10,04/16/19 01:15:00 PM,67.735,,,,,
11,04/16/19 01:30:00 PM,66.708,,,,,
12,04/16/19 01:45:00 PM,66.366,,,,,
13,04/16/19 02:00:00 PM,65.680,,,,,
14,04/16/19 02:15:00 PM,65.338,,,,,
15,04/16/19 02:30:00 PM,65.338,,,,,
16,04/16/19 02:45:00 PM,64.996,,,,,
17,04/16/19 03:00:00 PM,65.167,,,,,
18,04/16/19 03:15:00 PM,65.509,,,,,
19,04/16/19 03:30:00 PM,65.680,,,,,
20,04/16/19 03:45:00 PM,65.851,,,,,
21,04/16/19 04:00:00 PM,65.851,,,,,
22,04/16/19 04:15:00 PM,66.022,,,,,
23,04/16/19 04:30:00 PM,65.851,,,,,
24,04/16/19 04:45:00 PM,65.509,,,,,
25,04/16/19 05:00:00 PM,64.825,,,,,
26,04/16/19 05:15:00 PM,63.626,,,,,
27,04/16/19 05:30:00 PM,63.797,,,,,
28,04/16/19 05:45:00 PM,64.139,,,,,
29,04/16/19 06:00:00 PM,64.139,,,,,
30,04/16/19 06:15:00 PM,63.282,,,,,
31,04/16/19 06:30:00 PM,62.254,,,,,
32,04/16/19 06:45:00 PM,61.569,,,,,
33,04/16/19 07:00:00 PM,60.539,,,,,
34,04/16/19 07:15:00 PM,58.820,,,,,
35,04/16/19 07:30:00 PM,56.923,,,,,
36,04/16/19 07:45:00 PM,54.669,,,,,
37,04/16/19 08:00:00 PM,53.274,,,,,
38,04/16/19 08:15:00 PM,51.523,,,,,
39,04/16/19 08:30:00 PM,50.643,,,,,
40,04/16/19 08:45:00 PM,50.290,,,,,
41,04/16/19 09:00:00 PM,49.228,,,,,
42,04/16/19 09:15:00 PM,47.982,,,,,
43,04/16/19 09:30:00 PM,47.266,,,,,
44,04/16/19 09:45:00 PM,46.548,,,,,
45,04/16/19 10:00:00 PM,46.728,,,,,
46,04/16/19 10:15:00 PM,47.982,,,,,
47,04/16/19 10:30:00 PM,48.871,,,,,
48,04/16/19 10:45:00 PM,48.517,,,,,
49,04/16/19 11:00:00 PM,47.266,,,,,
50,04/16/19 11:15:00 PM,46.008,,,,,
51,04/16/19 11:30:00 PM,45.104,,,,,
52,04/16/19 11:45:00 PM,44.742,,,,,
53,04/17/19 12:00:00 AM,44.379,,,,,
54,04/17/19 12:15:00 AM,44.013,,,,,
55,04/17/19 12:30:00 AM,43.282,,,,,
56,04/17/19 12:45:00 AM,42.732,,,,,
57,04/17/19 01:00:00 AM,42.363,,,,,
58,04/17/19 01:15:00 AM,41.994,,,,,
59,04/17/19 01:30:00 AM,41.810,,,,,
60,04/17/19 01:45:00 AM,41.625,,,,,
61,04/17/19 02:00:00 AM,41.625,,,,,
62,04/17/19 02:15:00 AM,41.254,,,,,
63,04/17/19 02:30:00 AM,41.067,,,,,
64,04/17/19 02:45:00 AM,40.881,,,,,
65,04/17/19 03:00:00 AM,40.881,,,,,
66,04/17/19 03:15:00 AM,40.509,,,,,
67,04/17/19 03:30:00 AM,40.321,,,,,
68,04/17/19 03:45:00 AM,40.134,,,,,
69,04/17/19 04:00:00 AM,40.134,,,,,
70,04/17/19 04:15:00 AM,39.760,,,,,
71,04/17/19 04:30:00 AM,39.760,,,,,
72,04/17/19 04:45:00 AM,39.573,,,,,
73,04/17/19 05:00:00 AM,39.573,,,,,
74,04/17/19 05:15:00 AM,39.573,,,,,
75,04/17/19 05:30:00 AM,39.760,,,,,
76,04/17/19 05:45:00 AM,39.760,,,,,
77,04/17/19 06:00:00 AM,39.947,,,,,
78,04/17/19 06:15:00 AM,39.573,,,,,
79,04/17/19 06:30:00 AM,39.384,,,,,
80,04/17/19 06:45:00 AM,39.384,,,,,
81,04/17/19 07:00:00 AM,39.573,,,,,
82,04/17/19 07:15:00 AM,39.760,,,,,
83,04/17/19 07:30:00 AM,40.134,,,,,
84,04/17/19 07:45:00 AM,40.509,,,,,
85,04/17/19 08:00:00 AM,41.067,,,,,
86,04/17/19 08:15:00 AM,41.994,,,,,
87,04/17/19 08:30:00 AM,43.282,,,,,
88,04/17/19 08:45:00 AM,45.104,,,,,
89,04/17/19 09:00:00 AM,47.624,,,,,
90,04/17/19 09:15:00 AM,51.346,,,,,
91,04/17/19 09:30:00 AM,53.274,,,,,
92,04/17/19 09:45:00 AM,57.268,,,,,
93,04/17/19 10:00:00 AM,62.254,,,,,
94,04/17/19 10:15:00 AM,67.050,,,,,
95,04/17/19 10:30:00 AM,70.480,,,,,
96,04/17/19 10:45:00 AM,72.891,,,,,
97,04/17/19 11:00:00 AM,73.926,,,,,
98,04/17/19 11:15:00 AM,74.446,,,,,
99,04/17/19 11:30:00 AM,74.619,,,,,
100,04/17/19 11:45:00 AM,75.484,,,,,
101,04/17/19 12:00:00 PM,75.139,,,,,
102,04/17/19 12:15:00 PM,74.619,,,,,
103,04/17/19 12:30:00 PM,72.718,,,,,
104,04/17/19 12:45:00 PM,71.168,,,,,
105,04/17/19 01:00:00 PM,70.308,,,,,
106,04/17/19 01:15:00 PM,68.934,,,,,
107,04/17/19 01:30:00 PM,67.564,,,,,
108,04/17/19 01:45:00 PM,66.366,,,,,
109,04/17/19 02:00:00 PM,66.193,,,,,
110,04/17/19 02:15:00 PM,66.366,,,,,
111,04/17/19 02:30:00 PM,66.022,,,,,
112,04/17/19 02:45:00 PM,65.509,,,,,
113,04/17/19 03:00:00 PM,65.851,,,,,
114,04/17/19 03:15:00 PM,66.366,,,,,
115,04/17/19 03:30:00 PM,66.366,,,,,
116,04/17/19 03:45:00 PM,66.022,,,,,
117,04/17/19 04:00:00 PM,65.338,,,,,
118,04/17/19 04:15:00 PM,66.193,,,,,
119,04/17/19 04:30:00 PM,67.221,,,,,
120,04/17/19 04:45:00 PM,67.392,,,,,
121,04/17/19 05:00:00 PM,67.050,,,,,
122,04/17/19 05:15:00 PM,66.708,,,,,
123,04/17/19 05:30:00 PM,66.022,,,,,
124,04/17/19 05:45:00 PM,64.996,,,,,
125,04/17/19 06:00:00 PM,63.797,,,,,
126,04/17/19 06:15:00 PM,62.254,,,,,
127,04/17/19 06:30:00 PM,61.227,,,,,
128,04/17/19 06:45:00 PM,59.851,,,,,
129,04/17/19 07:00:00 PM,58.820,,,,,
130,04/17/19 07:15:00 PM,57.441,,,,,
131,04/17/19 07:30:00 PM,56.230,,,,,
132,04/17/19 07:45:00 PM,54.669,,,,,
133,04/17/19 08:00:00 PM,53.274,,,,,
