"Plot Title: RLSM"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 10592079, SEN S/N: 10592079)","Event, units (LGR S/N: 10592079, SEN S/N: 10592079, LBL: RLSM)","Coupler Detached (LGR S/N: 10592079, SEN S/N: 10592079)","Coupler Attached (LGR S/N: 10592079, SEN S/N: 10592079)","Host Connected (LGR S/N: 10592079, SEN S/N: 10592079)","Stopped (LGR S/N: 10592079, SEN S/N: 10592079)","End Of File (LGR S/N: 10592079, SEN S/N: 10592079)"
1,11/14/18 04:07:31 PM,71.168,0.00,,,,,
2,11/14/18 04:07:39 PM,,,Logged,,,,
3,11/14/18 05:07:31 PM,62.940,,,,,,
4,11/14/18 06:07:31 PM,60.539,,,,,,
5,11/14/18 07:07:31 PM,57.958,,,,,,
6,11/14/18 08:07:31 PM,58.131,,,,,,
7,11/14/18 09:07:31 PM,56.404,,,,,,
8,11/14/18 10:07:31 PM,55.711,,,,,,
9,11/14/18 11:07:31 PM,55.884,,,,,,
10,11/15/18 12:07:31 AM,54.842,,,,,,
11,11/15/18 01:07:31 AM,53.623,,,,,,
12,11/15/18 02:07:31 AM,53.798,,,,,,
13,11/15/18 03:07:31 AM,53.973,,,,,,
14,11/15/18 04:07:31 AM,53.623,,,,,,
15,11/15/18 05:07:31 AM,53.623,,,,,,
16,11/15/18 06:07:31 AM,53.100,,,,,,
17,11/15/18 07:07:31 AM,55.189,,,,,,
18,11/15/18 08:07:31 AM,61.227,,,,,,
19,11/15/18 09:07:31 AM,69.449,,,,,,
20,11/15/18 10:07:31 AM,81.975,,,,,,
21,11/15/18 11:07:31 AM,91.240,,,,,,
22,11/15/18 12:07:31 PM,93.873,,,,,,
23,11/15/18 01:07:31 PM,88.282,,,,,,
24,11/15/18 02:07:31 PM,79.326,,,,,,
25,11/15/18 03:07:31 PM,71.856,,,,,,
26,11/15/18 04:07:31 PM,65.338,,,,,,
27,11/15/18 05:07:31 PM,57.785,,,,,,
28,11/15/18 06:07:31 PM,58.820,,,,,,
29,11/15/18 07:07:31 PM,58.993,,,,,,
30,11/15/18 08:07:31 PM,58.647,,,,,,
31,11/15/18 09:07:31 PM,59.337,,,,,,
32,11/15/18 10:07:31 PM,57.096,,,,,,
33,11/15/18 11:07:31 PM,57.096,,,,,,
34,11/16/18 12:07:31 AM,55.711,,,,,,
35,11/16/18 01:07:31 AM,54.842,,,,,,
36,11/16/18 02:07:31 AM,54.842,,,,,,
37,11/16/18 03:07:31 AM,56.577,,,,,,
38,11/16/18 04:07:31 AM,55.017,,,,,,
39,11/16/18 05:07:31 AM,53.798,,,,,,
40,11/16/18 06:07:31 AM,54.669,,,,,,
41,11/16/18 07:07:31 AM,54.322,,,,,,
42,11/16/18 08:07:31 AM,60.712,,,,,,
43,11/16/18 09:07:31 AM,71.512,,,,,,
