"Plot Title: HS"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 10592074, SEN S/N: 10592074)","Event, units (LGR S/N: 10592074, SEN S/N: 10592074)","Coupler Detached (LGR S/N: 10592074, SEN S/N: 10592074)","Coupler Attached (LGR S/N: 10592074, SEN S/N: 10592074)","Host Connected (LGR S/N: 10592074, SEN S/N: 10592074)","Stopped (LGR S/N: 10592074, SEN S/N: 10592074)","End Of File (LGR S/N: 10592074, SEN S/N: 10592074)"
1,11/28/18 12:20:46 PM,62.425,0.00,,,,,
2,11/28/18 12:20:52 PM,,,Logged,,,,
3,11/28/18 01:20:46 PM,61.741,,,,,,
4,11/28/18 02:20:46 PM,61.398,,,,,,
5,11/28/18 03:20:46 PM,58.476,,,,,,
6,11/28/18 04:20:46 PM,56.057,,,,,,
7,11/28/18 04:58:54 PM,,0.01,,,,,
8,11/28/18 05:20:46 PM,55.364,,,,,,
9,11/28/18 06:20:46 PM,55.364,,,,,,
10,11/28/18 07:20:46 PM,55.537,,,,,,
11,11/28/18 08:20:46 PM,55.537,,,,,,
12,11/28/18 09:20:46 PM,56.057,,,,,,
13,11/28/18 10:20:46 PM,56.750,,,,,,
14,11/28/18 11:20:46 PM,55.711,,,,,,
15,11/29/18 12:20:46 AM,56.230,,,,,,
16,11/29/18 01:20:46 AM,55.884,,,,,,
17,11/29/18 02:20:46 AM,55.364,,,,,,
18,11/29/18 03:20:46 AM,54.495,,,,,,
19,11/29/18 04:20:46 AM,53.274,,,,,,
20,11/29/18 05:20:46 AM,53.100,,,,,,
21,11/29/18 06:20:46 AM,53.274,,,,,,
22,11/29/18 07:20:46 AM,53.100,,,,,,
23,11/29/18 08:20:46 AM,52.925,,,,,,
24,11/29/18 09:20:46 AM,53.274,,,,,,
25,11/29/18 10:20:46 AM,53.449,,,,,,
26,11/29/18 11:20:46 AM,54.322,,,,,,
27,11/29/18 12:20:46 PM,54.669,,,,,,
28,11/29/18 01:20:46 PM,52.925,,,,,,
29,11/29/18 02:20:46 PM,55.537,,,,,,
30,11/29/18 03:20:46 PM,54.147,,,,,,
31,11/29/18 04:20:46 PM,52.401,,,,,,
32,11/29/18 05:20:46 PM,51.346,,,,,,
33,11/29/18 06:20:46 PM,51.172,,,,,,
34,11/29/18 07:20:46 PM,50.643,,,,,,
35,11/29/18 08:20:46 PM,50.643,,,,,,
36,11/29/18 09:20:46 PM,50.643,,,,,,
37,11/29/18 10:20:46 PM,49.582,,,,,,
38,11/29/18 11:20:46 PM,49.050,,,,,,
39,11/30/18 12:20:46 AM,49.228,,,,,,
40,11/30/18 01:20:46 AM,48.517,,,,,,
41,11/30/18 02:20:46 AM,47.982,,,,,,
42,11/30/18 03:20:46 AM,47.624,,,,,,
43,11/30/18 04:20:46 AM,47.624,,,,,,
44,11/30/18 05:20:46 AM,47.446,,,,,,
45,11/30/18 06:20:46 AM,47.802,,,,,,
46,11/30/18 07:20:46 AM,47.624,,,,,,
47,11/30/18 08:20:46 AM,48.695,,,,,,
48,11/30/18 09:20:46 AM,51.523,,,,,,
49,11/30/18 10:20:46 AM,57.096,,,,,,
50,11/30/18 11:20:46 AM,55.537,,,,,,
51,11/30/18 12:20:46 PM,54.669,,,,,,
52,11/30/18 01:20:46 PM,53.274,,,,,,
53,11/30/18 02:20:46 PM,53.798,,,,,,
54,11/30/18 03:20:46 PM,51.523,,,,,,
55,11/30/18 04:20:46 PM,50.290,,,,,,
56,11/30/18 05:20:46 PM,48.339,,,,,,
57,11/30/18 06:20:46 PM,46.369,,,,,,
58,11/30/18 07:20:46 PM,46.188,,,,,,
59,11/30/18 08:20:46 PM,46.369,,,,,,
60,11/30/18 09:20:46 PM,46.008,,,,,,
61,11/30/18 10:20:46 PM,45.648,,,,,,
62,11/30/18 11:20:46 PM,45.466,,,,,,
63,12/01/18 12:20:46 AM,45.286,,,,,,
64,12/01/18 01:20:46 AM,45.648,,,,,,
65,12/01/18 02:20:46 AM,46.728,,,,,,
66,12/01/18 03:20:46 AM,47.624,,,,,,
67,12/01/18 04:20:46 AM,48.695,,,,,,
68,12/01/18 05:20:46 AM,49.759,,,,,,
69,12/01/18 06:20:46 AM,50.466,,,,,,
70,12/01/18 07:20:46 AM,51.699,,,,,,
71,12/01/18 08:20:46 AM,52.750,,,,,,
72,12/01/18 09:20:46 AM,53.623,,,,,,
73,12/01/18 10:20:46 AM,55.189,,,,,,
74,12/01/18 11:20:46 AM,51.699,,,,,,
75,12/01/18 12:20:46 PM,51.699,,,,,,
76,12/01/18 01:20:46 PM,52.225,,,,,,
77,12/01/18 02:20:46 PM,51.874,,,,,,
78,12/01/18 03:20:46 PM,49.937,,,,,,
79,12/01/18 04:20:46 PM,49.404,,,,,,
80,12/01/18 05:20:46 PM,46.728,,,,,,
81,12/01/18 06:20:46 PM,45.648,,,,,,
82,12/01/18 07:20:46 PM,45.466,,,,,,
83,12/01/18 08:20:46 PM,44.560,,,,,,
84,12/01/18 09:20:46 PM,44.742,,,,,,
85,12/01/18 10:20:46 PM,45.286,,,,,,
86,12/01/18 11:20:46 PM,45.104,,,,,,
87,12/02/18 12:20:46 AM,44.742,,,,,,
88,12/02/18 01:20:46 AM,44.379,,,,,,
89,12/02/18 02:20:46 AM,44.195,,,,,,
90,12/02/18 03:20:46 AM,43.831,,,,,,
91,12/02/18 04:20:46 AM,43.466,,,,,,
92,12/02/18 05:20:46 AM,42.915,,,,,,
93,12/02/18 06:20:46 AM,41.994,,,,,,
94,12/02/18 07:20:46 AM,41.994,,,,,,
95,12/02/18 08:20:46 AM,42.363,,,,,,
96,12/02/18 09:20:46 AM,46.908,,,,,,
97,12/02/18 10:20:46 AM,57.268,,,,,,
98,12/02/18 11:20:46 AM,53.274,,,,,,
99,12/02/18 12:20:46 PM,54.322,,,,,,
100,12/02/18 01:20:46 PM,52.576,,,,,,
101,12/02/18 02:20:46 PM,53.623,,,,,,
102,12/02/18 03:20:46 PM,53.274,,,,,,
103,12/02/18 04:20:46 PM,49.228,,,,,,
104,12/02/18 05:20:46 PM,46.908,,,,,,
105,12/02/18 06:20:46 PM,45.648,,,,,,
106,12/02/18 07:20:46 PM,45.466,,,,,,
107,12/02/18 08:20:46 PM,44.560,,,,,,
108,12/02/18 09:20:46 PM,45.466,,,,,,
109,12/02/18 10:20:46 PM,45.466,,,,,,
110,12/02/18 11:20:46 PM,44.195,,,,,,
111,12/03/18 12:20:46 AM,43.282,,,,,,
112,12/03/18 01:20:46 AM,46.008,,,,,,
113,12/03/18 02:20:46 AM,47.446,,,,,,
114,12/03/18 03:20:46 AM,46.548,,,,,,
115,12/03/18 04:20:46 AM,47.088,,,,,,
116,12/03/18 05:20:46 AM,46.188,,,,,,
117,12/03/18 06:20:46 AM,44.560,,,,,,
118,12/03/18 07:20:46 AM,43.831,,,,,,
119,12/03/18 08:20:46 AM,45.104,,,,,,
120,12/03/18 09:20:46 AM,48.160,,,,,,
121,12/03/18 10:20:46 AM,58.820,,,,,,
122,12/03/18 11:20:46 AM,56.230,,,,,,
123,12/03/18 12:20:46 PM,56.750,,,,,,
124,12/03/18 01:20:46 PM,57.268,,,,,,
125,12/03/18 02:20:46 PM,57.614,,,,,,
126,12/03/18 03:20:46 PM,55.537,,,,,,
127,12/03/18 04:20:46 PM,52.750,,,,,,
128,12/03/18 05:20:46 PM,50.995,,,,,,
129,12/03/18 06:20:46 PM,50.290,,,,,,
130,12/03/18 07:20:46 PM,50.819,,,,,,
131,12/03/18 08:20:46 PM,51.523,,,,,,
132,12/03/18 09:20:46 PM,51.346,,,,,,
133,12/03/18 10:20:46 PM,51.346,,,,,,
134,12/03/18 11:20:46 PM,51.523,,,,,,
135,12/04/18 12:20:46 AM,51.874,,,,,,
