"Plot Title: RLNF"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 10592085, SEN S/N: 10592085)","Event, units (LGR S/N: 10592085, SEN S/N: 10592085)","Coupler Detached (LGR S/N: 10592085, SEN S/N: 10592085)","Coupler Attached (LGR S/N: 10592085, SEN S/N: 10592085)","Host Connected (LGR S/N: 10592085, SEN S/N: 10592085)","Stopped (LGR S/N: 10592085, SEN S/N: 10592085)","End Of File (LGR S/N: 10592085, SEN S/N: 10592085)"
1,11/28/18 01:39:49 PM,73.753,0.00,,,,,
2,11/28/18 01:39:57 PM,,,Logged,,,,
3,11/28/18 02:39:49 PM,56.923,,,,,,
4,11/28/18 03:39:49 PM,55.189,,,,,,
5,11/28/18 04:24:00 PM,,0.01,,,,,
6,11/28/18 04:39:49 PM,54.322,,,,,,
7,11/28/18 04:53:23 PM,,0.02,,,,,
8,11/28/18 04:58:22 PM,,0.03,,,,,
9,11/28/18 05:01:29 PM,,0.04,,,,,
10,11/28/18 05:02:50 PM,,0.05,,,,,
11,11/28/18 05:05:17 PM,,0.06,,,,,
12,11/28/18 05:05:18 PM,,0.07,,,,,
13,11/28/18 05:09:49 PM,,0.08,,,,,
14,11/28/18 05:16:55 PM,,0.09,,,,,
15,11/28/18 05:22:22 PM,,0.10,,,,,
16,11/28/18 05:29:44 PM,,0.11,,,,,
17,11/28/18 05:30:54 PM,,0.12,,,,,
18,11/28/18 05:33:04 PM,,0.13,,,,,
19,11/28/18 05:35:17 PM,,0.14,,,,,
20,11/28/18 05:39:49 PM,53.973,,,,,,
21,11/28/18 05:56:45 PM,,0.15,,,,,
22,11/28/18 06:39:49 PM,53.973,,,,,,
23,11/28/18 06:48:27 PM,,0.16,,,,,
24,11/28/18 07:00:53 PM,,0.17,,,,,
25,11/28/18 07:32:20 PM,,0.18,,,,,
26,11/28/18 07:39:49 PM,54.147,,,,,,
27,11/28/18 08:01:51 PM,,0.19,,,,,
28,11/28/18 08:01:52 PM,,0.20,,,,,
29,11/28/18 08:21:59 PM,,0.21,,,,,
30,11/28/18 08:24:32 PM,,0.22,,,,,
31,11/28/18 08:26:21 PM,,0.23,,,,,
32,11/28/18 08:27:16 PM,,0.24,,,,,
33,11/28/18 08:28:58 PM,,0.25,,,,,
34,11/28/18 08:33:22 PM,,0.26,,,,,
35,11/28/18 08:37:38 PM,,0.27,,,,,
36,11/28/18 08:37:39 PM,,0.28,,,,,
37,11/28/18 08:39:43 PM,,0.29,,,,,
38,11/28/18 08:39:49 PM,54.147,,,,,,
39,11/28/18 08:41:44 PM,,0.30,,,,,
40,11/28/18 08:43:06 PM,,0.31,,,,,
41,11/28/18 08:44:26 PM,,0.32,,,,,
42,11/28/18 08:45:32 PM,,0.33,,,,,
43,11/28/18 08:45:33 PM,,0.34,,,,,
44,11/28/18 08:46:53 PM,,0.35,,,,,
45,11/28/18 08:48:05 PM,,0.36,,,,,
46,11/28/18 08:49:12 PM,,0.37,,,,,
47,11/28/18 08:50:27 PM,,0.38,,,,,
48,11/28/18 08:51:14 PM,,0.39,,,,,
49,11/28/18 08:52:00 PM,,0.40,,,,,
50,11/28/18 08:52:46 PM,,0.41,,,,,
51,11/28/18 08:53:51 PM,,0.42,,,,,
52,11/28/18 08:55:43 PM,,0.43,,,,,
53,11/28/18 08:57:28 PM,,0.44,,,,,
54,11/28/18 09:00:09 PM,,0.45,,,,,
55,11/28/18 09:03:08 PM,,0.46,,,,,
56,11/28/18 09:07:05 PM,,0.47,,,,,
57,11/28/18 09:12:10 PM,,0.48,,,,,
