"Plot Title: LQC"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 20309222, SEN S/N: 20309222)","Event, units (LGR S/N: 20309222, SEN S/N: 20309222)","Coupler Detached (LGR S/N: 20309222, SEN S/N: 20309222)","Coupler Attached (LGR S/N: 20309222, SEN S/N: 20309222)","Host Connected (LGR S/N: 20309222, SEN S/N: 20309222)","Stopped (LGR S/N: 20309222, SEN S/N: 20309222)","End Of File (LGR S/N: 20309222, SEN S/N: 20309222)"
1,12/12/18 09:46:48 AM,57.268,0.00,,,,,
2,12/12/18 09:47:00 AM,,,Logged,,,,
3,12/12/18 10:46:48 AM,71.683,,,,,,
4,12/12/18 11:46:48 AM,76.181,,,,,,
5,12/12/18 12:46:48 PM,74.619,,,,,,
6,12/12/18 01:46:48 PM,74.619,,,,,,
7,12/12/18 02:46:48 PM,76.006,,,,,,
8,12/12/18 03:46:48 PM,70.480,,,,,,
9,12/12/18 04:46:48 PM,57.958,,,,,,
10,12/12/18 05:46:48 PM,49.937,,,,,,
11,12/12/18 06:46:48 PM,45.286,,,,,,
12,12/12/18 07:46:48 PM,43.648,,,,,,
13,12/12/18 08:46:48 PM,41.625,,,,,,
14,12/12/18 09:46:48 PM,40.696,,,,,,
15,12/12/18 10:46:48 PM,39.947,,,,,,
16,12/12/18 11:46:48 PM,39.196,,,,,,
17,12/13/18 12:46:48 AM,38.818,,,,,,
18,12/13/18 01:46:48 AM,38.250,,,,,,
19,12/13/18 02:46:48 AM,37.679,,,,,,
20,12/13/18 03:46:48 AM,37.488,,,,,,
21,12/13/18 04:46:48 AM,37.107,,,,,,
22,12/13/18 05:46:48 AM,36.531,,,,,,
23,12/13/18 06:46:48 AM,36.723,,,,,,
24,12/13/18 07:46:48 AM,36.338,,,,,,
25,12/13/18 08:46:48 AM,38.440,,,,,,
26,12/13/18 09:46:48 AM,45.286,,,,,,
27,12/13/18 10:46:48 AM,68.592,,,,,,
28,12/13/18 11:46:48 AM,70.651,,,,,,
29,12/13/18 12:46:48 PM,71.339,,,,,,
30,12/13/18 01:46:48 PM,72.199,,,,,,
31,12/13/18 02:46:48 PM,71.339,,,,,,
32,12/13/18 03:46:48 PM,69.964,,,,,,
33,12/13/18 04:46:48 PM,56.923,,,,,,
34,12/13/18 05:46:48 PM,48.695,,,,,,
35,12/13/18 06:46:48 PM,45.828,,,,,,
36,12/13/18 07:46:48 PM,44.013,,,,,,
37,12/13/18 08:46:48 PM,43.099,,,,,,
38,12/13/18 09:46:48 PM,43.648,,,,,,
39,12/13/18 10:46:48 PM,44.379,,,,,,
40,12/13/18 11:46:48 PM,43.466,,,,,,
41,12/14/18 12:46:48 AM,42.548,,,,,,
42,12/14/18 01:46:48 AM,43.831,,,,,,
43,12/14/18 02:46:48 AM,44.379,,,,,,
44,12/14/18 03:46:48 AM,56.750,,,,,,
45,12/14/18 04:46:48 AM,57.441,,,,,,
46,12/14/18 05:46:48 AM,57.785,,,,,,
47,12/14/18 06:46:48 AM,57.958,,,,,,
48,12/14/18 07:46:48 AM,58.993,,,,,,
49,12/14/18 08:46:48 AM,60.195,,,,,,
50,12/14/18 09:46:48 AM,60.539,,,,,,
51,12/14/18 10:46:48 AM,60.712,,,,,,
52,12/14/18 11:02:39 AM,,0.01,,,,,
53,12/14/18 11:08:22 AM,,0.02,,,,,
54,12/14/18 11:46:48 AM,59.851,,,,,,
55,12/14/18 12:46:48 PM,71.339,,,,,,
56,12/14/18 01:46:48 PM,69.107,,,,,,
57,12/14/18 02:46:48 PM,62.940,,,,,,
58,12/14/18 03:46:48 PM,60.539,,,,,,
59,12/14/18 04:46:48 PM,58.647,,,,,,
60,12/14/18 05:46:48 PM,57.441,,,,,,
61,12/14/18 06:46:48 PM,55.711,,,,,,
62,12/14/18 07:46:48 PM,53.798,,,,,,
63,12/14/18 08:46:48 PM,50.819,,,,,,
64,12/14/18 09:46:48 PM,49.937,,,,,,
65,12/14/18 10:46:48 PM,48.695,,,,,,
66,12/14/18 11:46:48 PM,47.446,,,,,,
67,12/15/18 12:46:48 AM,46.369,,,,,,
68,12/15/18 01:46:48 AM,46.728,,,,,,
69,12/15/18 02:46:48 AM,47.802,,,,,,
70,12/15/18 03:46:48 AM,45.286,,,,,,
71,12/15/18 04:46:48 AM,44.379,,,,,,
72,12/15/18 05:46:48 AM,44.195,,,,,,
73,12/15/18 06:46:48 AM,44.013,,,,,,
74,12/15/18 07:46:48 AM,44.922,,,,,,
75,12/15/18 08:46:48 AM,48.695,,,,,,
76,12/15/18 09:46:48 AM,57.096,,,,,,
77,12/15/18 10:46:48 AM,68.934,,,,,,
78,12/15/18 11:46:48 AM,64.996,,,,,,
79,12/15/18 12:46:48 PM,73.407,,,,,,
80,12/15/18 01:46:48 PM,69.449,,,,,,
81,12/15/18 02:46:48 PM,63.111,,,,,,
82,12/15/18 03:46:48 PM,60.195,,,,,,
83,12/15/18 04:46:48 PM,57.958,,,,,,
84,12/15/18 05:46:48 PM,56.230,,,,,,
85,12/15/18 06:46:48 PM,53.623,,,,,,
86,12/15/18 07:46:48 PM,54.669,,,,,,
87,12/15/18 08:46:48 PM,57.096,,,,,,
88,12/15/18 09:46:48 PM,57.441,,,,,,
89,12/15/18 10:46:48 PM,57.614,,,,,,
90,12/15/18 11:46:48 PM,57.441,,,,,,
91,12/16/18 12:46:48 AM,57.614,,,,,,
92,12/16/18 01:46:48 AM,57.614,,,,,,
93,12/16/18 02:46:48 AM,56.750,,,,,,
94,12/16/18 03:46:48 AM,56.923,,,,,,
95,12/16/18 04:46:48 AM,57.096,,,,,,
96,12/16/18 05:46:48 AM,56.750,,,,,,
97,12/16/18 06:46:48 AM,56.230,,,,,,
98,12/16/18 07:46:48 AM,56.057,,,,,,
99,12/16/18 08:46:48 AM,58.993,,,,,,
100,12/16/18 09:46:48 AM,59.337,,,,,,
101,12/16/18 10:46:48 AM,61.398,,,,,,
102,12/16/18 11:46:48 AM,61.741,,,,,,
103,12/16/18 12:46:48 PM,60.883,,,,,,
104,12/16/18 01:46:48 PM,59.164,,,,,,
105,12/16/18 01:54:27 PM,,0.03,,,,,
106,12/16/18 02:26:19 PM,,0.04,,,,,
107,12/16/18 02:36:42 PM,,0.05,,,,,
108,12/16/18 02:46:48 PM,57.614,,,,,,
109,12/16/18 03:04:30 PM,,0.06,,,,,
110,12/16/18 03:14:36 PM,,0.07,,,,,
111,12/16/18 03:21:09 PM,,0.08,,,,,
112,12/16/18 03:22:22 PM,,0.09,,,,,
113,12/16/18 03:23:25 PM,,0.10,,,,,
114,12/16/18 03:24:43 PM,,0.11,,,,,
115,12/16/18 03:27:35 PM,,0.12,,,,,
116,12/16/18 03:30:12 PM,,0.13,,,,,
117,12/16/18 03:32:00 PM,,0.14,,,,,
118,12/16/18 03:33:50 PM,,0.15,,,,,
119,12/16/18 03:35:22 PM,,0.16,,,,,
120,12/16/18 03:37:27 PM,,0.17,,,,,
121,12/16/18 03:39:24 PM,,0.18,,,,,
122,12/16/18 03:40:51 PM,,0.19,,,,,
123,12/16/18 03:44:13 PM,,0.20,,,,,
124,12/16/18 03:46:48 PM,57.096,,,,,,
125,12/16/18 03:58:15 PM,,0.21,,,,,
126,12/16/18 04:25:50 PM,,0.22,,,,,
127,12/16/18 04:46:48 PM,57.096,,,,,,
128,12/16/18 04:52:34 PM,,0.23,,,,,
129,12/16/18 05:04:48 PM,,0.24,,,,,
130,12/16/18 05:14:01 PM,,0.25,,,,,
131,12/16/18 05:20:25 PM,,0.26,,,,,
132,12/16/18 05:26:28 PM,,0.27,,,,,
133,12/16/18 05:33:56 PM,,0.28,,,,,
134,12/16/18 05:45:35 PM,,0.29,,,,,
135,12/16/18 05:46:48 PM,57.096,,,,,,
136,12/16/18 05:51:12 PM,,0.30,,,,,
137,12/16/18 05:52:49 PM,,0.31,,,,,
138,12/16/18 05:54:38 PM,,0.32,,,,,
139,12/16/18 05:56:05 PM,,0.33,,,,,
140,12/16/18 05:58:16 PM,,0.34,,,,,
141,12/16/18 06:00:42 PM,,0.35,,,,,
142,12/16/18 06:03:07 PM,,0.36,,,,,
143,12/16/18 06:07:37 PM,,0.37,,,,,
144,12/16/18 06:14:20 PM,,0.38,,,,,
145,12/16/18 06:19:47 PM,,0.39,,,,,
146,12/16/18 06:25:03 PM,,0.40,,,,,
147,12/16/18 06:30:07 PM,,0.41,,,,,
148,12/16/18 06:36:44 PM,,0.42,,,,,
149,12/16/18 06:46:23 PM,,0.43,,,,,
150,12/16/18 06:46:48 PM,57.096,,,,,,
151,12/16/18 06:53:06 PM,,0.44,,,,,
152,12/16/18 06:57:51 PM,,0.45,,,,,
153,12/16/18 07:01:33 PM,,0.46,,,,,
154,12/16/18 07:05:38 PM,,0.47,,,,,
155,12/16/18 07:27:25 PM,,0.48,,,,,
156,12/16/18 07:46:48 PM,57.096,,,,,,
157,12/16/18 07:47:44 PM,,0.49,,,,,
158,12/16/18 07:53:45 PM,,0.50,,,,,
159,12/16/18 08:09:34 PM,,0.51,,,,,
160,12/16/18 08:44:14 PM,,0.52,,,,,
161,12/16/18 08:46:48 PM,57.268,,,,,,
162,12/16/18 09:46:48 PM,57.441,,,,,,
163,12/16/18 09:50:01 PM,,0.53,,,,,
164,12/16/18 09:54:34 PM,,0.54,,,,,
165,12/16/18 10:00:59 PM,,0.55,,,,,
166,12/16/18 10:06:59 PM,,0.56,,,,,
167,12/16/18 10:10:13 PM,,0.57,,,,,
168,12/16/18 10:12:16 PM,,0.58,,,,,
169,12/16/18 10:14:40 PM,,0.59,,,,,
170,12/16/18 10:17:02 PM,,0.60,,,,,
171,12/16/18 10:19:43 PM,,0.61,,,,,
172,12/16/18 10:21:29 PM,,0.62,,,,,
173,12/16/18 10:28:15 PM,,0.63,,,,,
174,12/16/18 10:36:29 PM,,0.64,,,,,
175,12/16/18 10:40:33 PM,,0.65,,,,,
176,12/16/18 10:44:30 PM,,0.66,,,,,
177,12/16/18 10:45:45 PM,,0.67,,,,,
178,12/16/18 10:46:42 PM,,0.68,,,,,
179,12/16/18 10:46:48 PM,57.096,,,,,,
180,12/16/18 10:47:38 PM,,0.69,,,,,
181,12/16/18 10:48:37 PM,,0.70,,,,,
182,12/16/18 10:49:30 PM,,0.71,,,,,
183,12/16/18 10:50:19 PM,,0.72,,,,,
184,12/16/18 10:51:11 PM,,0.73,,,,,
185,12/16/18 10:52:06 PM,,0.74,,,,,
186,12/16/18 10:52:58 PM,,0.75,,,,,
187,12/16/18 10:53:48 PM,,0.76,,,,,
188,12/16/18 10:54:34 PM,,0.77,,,,,
189,12/16/18 10:55:18 PM,,0.78,,,,,
190,12/16/18 10:56:02 PM,,0.79,,,,,
191,12/16/18 10:56:42 PM,,0.80,,,,,
192,12/16/18 10:57:24 PM,,0.81,,,,,
