"Plot Title: Landing"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 20309223, SEN S/N: 20309223)","Event, units (LGR S/N: 20309223, SEN S/N: 20309223)","Coupler Attached (LGR S/N: 20309223, SEN S/N: 20309223)","Host Connected (LGR S/N: 20309223, SEN S/N: 20309223)","Stopped (LGR S/N: 20309223, SEN S/N: 20309223)","End Of File (LGR S/N: 20309223, SEN S/N: 20309223)"
1,12/18/18 01:00:00 PM,70.995,0.00,,,,
2,12/18/18 02:00:00 PM,66.366,,,,,
3,12/18/18 03:00:00 PM,62.769,,,,,
4,12/18/18 04:00:00 PM,58.131,,,,,
5,12/18/18 05:00:00 PM,54.322,,,,,
6,12/18/18 06:00:00 PM,51.523,,,,,
7,12/18/18 07:00:00 PM,50.290,,,,,
8,12/18/18 08:00:00 PM,49.582,,,,,
9,12/18/18 09:00:00 PM,49.404,,,,,
10,12/18/18 10:00:00 PM,49.228,,,,,
11,12/18/18 11:00:00 PM,49.050,,,,,
12,12/19/18 12:00:00 AM,48.871,,,,,
13,12/19/18 01:00:00 AM,49.228,,,,,
14,12/19/18 02:00:00 AM,49.228,,,,,
15,12/19/18 03:00:00 AM,49.050,,,,,
16,12/19/18 04:00:00 AM,48.871,,,,,
17,12/19/18 05:00:00 AM,48.871,,,,,
18,12/19/18 06:00:00 AM,48.517,,,,,
19,12/19/18 07:00:00 AM,48.695,,,,,
20,12/19/18 08:00:00 AM,48.517,,,,,
21,12/19/18 09:00:00 AM,49.582,,,,,
22,12/19/18 10:00:00 AM,55.537,,,,,
23,12/19/18 11:00:00 AM,61.569,,,,,
24,12/19/18 12:00:00 PM,66.193,,,,,
25,12/19/18 01:00:00 PM,69.107,,,,,
26,12/19/18 02:00:00 PM,66.537,,,,,
27,12/19/18 03:00:00 PM,65.338,,,,,
28,12/19/18 04:00:00 PM,59.680,,,,,
29,12/19/18 05:00:00 PM,55.017,,,,,
30,12/19/18 06:00:00 PM,52.225,,,,,
31,12/19/18 07:00:00 PM,50.995,,,,,
32,12/19/18 08:00:00 PM,49.937,,,,,
33,12/19/18 09:00:00 PM,49.228,,,,,
34,12/19/18 10:00:00 PM,49.404,,,,,
35,12/19/18 11:00:00 PM,49.759,,,,,
36,12/20/18 12:00:00 AM,50.290,,,,,
37,12/20/18 01:00:00 AM,50.995,,,,,
38,12/20/18 02:00:00 AM,50.995,,,,,
39,12/20/18 03:00:00 AM,49.404,,,,,
40,12/20/18 04:00:00 AM,48.695,,,,,
41,12/20/18 05:00:00 AM,48.871,,,,,
42,12/20/18 06:00:00 AM,48.695,,,,,
43,12/20/18 07:00:00 AM,48.160,,,,,
44,12/20/18 08:00:00 AM,48.517,,,,,
45,12/20/18 09:00:00 AM,51.346,,,,,
46,12/20/18 10:00:00 AM,56.230,,,,,
47,12/20/18 11:00:00 AM,61.569,,,,,
48,12/20/18 12:00:00 PM,63.455,,,,,
49,12/20/18 01:00:00 PM,63.455,,,,,
50,12/20/18 02:00:00 PM,62.083,,,,,
51,12/20/18 03:00:00 PM,58.303,,,,,
52,12/20/18 04:00:00 PM,56.404,,,,,
53,12/20/18 05:00:00 PM,54.322,,,,,
54,12/20/18 06:00:00 PM,52.401,,,,,
55,12/20/18 07:00:00 PM,51.346,,,,,
56,12/20/18 08:00:00 PM,51.346,,,,,
57,12/20/18 09:00:00 PM,51.172,,,,,
58,12/20/18 10:00:00 PM,51.346,,,,,
59,12/20/18 11:00:00 PM,51.699,,,,,
60,12/21/18 12:00:00 AM,52.050,,,,,
61,12/21/18 01:00:00 AM,52.401,,,,,
62,12/21/18 02:00:00 AM,51.699,,,,,
63,12/21/18 03:00:00 AM,50.290,,,,,
64,12/21/18 04:00:00 AM,50.290,,,,,
65,12/21/18 05:00:00 AM,50.466,,,,,
66,12/21/18 06:00:00 AM,50.113,,,,,
67,12/21/18 07:00:00 AM,51.346,,,,,
68,12/21/18 08:00:00 AM,52.401,,,,,
69,12/21/18 09:00:00 AM,55.189,,,,,
70,12/21/18 10:00:00 AM,59.680,,,,,
71,12/21/18 11:00:00 AM,62.083,,,,,
72,12/21/18 12:00:00 PM,61.741,,,,,
73,12/21/18 01:00:00 PM,63.797,,,,,
74,12/21/18 02:00:00 PM,60.368,,,,,
75,12/21/18 03:00:00 PM,59.851,,,,,
76,12/21/18 04:00:00 PM,59.337,,,,,
77,12/21/18 05:00:00 PM,55.364,,,,,
78,12/21/18 06:00:00 PM,52.401,,,,,
79,12/21/18 07:00:00 PM,51.523,,,,,
80,12/21/18 08:00:00 PM,50.819,,,,,
81,12/21/18 09:00:00 PM,49.404,,,,,
82,12/21/18 10:00:00 PM,49.228,,,,,
83,12/21/18 11:00:00 PM,48.871,,,,,
84,12/22/18 12:00:00 AM,48.695,,,,,
85,12/22/18 01:00:00 AM,48.160,,,,,
86,12/22/18 02:00:00 AM,47.446,,,,,
87,12/22/18 03:00:00 AM,46.728,,,,,
88,12/22/18 04:00:00 AM,46.728,,,,,
89,12/22/18 05:00:00 AM,46.369,,,,,
90,12/22/18 06:00:00 AM,46.188,,,,,
91,12/22/18 07:00:00 AM,45.828,,,,,
92,12/22/18 08:00:00 AM,46.188,,,,,
93,12/22/18 09:00:00 AM,48.160,,,,,
94,12/22/18 10:00:00 AM,52.576,,,,,
95,12/22/18 11:00:00 AM,61.227,,,,,
96,12/22/18 12:00:00 PM,66.022,,,,,
97,12/22/18 01:00:00 PM,66.022,,,,,
98,12/22/18 02:00:00 PM,63.626,,,,,
99,12/22/18 03:00:00 PM,60.024,,,,,
100,12/22/18 04:00:00 PM,57.441,,,,,
101,12/22/18 05:00:00 PM,53.623,,,,,
102,12/22/18 06:00:00 PM,52.401,,,,,
103,12/22/18 07:00:00 PM,52.576,,,,,
104,12/22/18 08:00:00 PM,49.228,,,,,
105,12/22/18 09:00:00 PM,48.339,,,,,
106,12/22/18 10:00:00 PM,47.802,,,,,
107,12/22/18 11:00:00 PM,47.266,,,,,
108,12/23/18 12:00:00 AM,46.728,,,,,
109,12/23/18 01:00:00 AM,47.446,,,,,
110,12/23/18 02:00:00 AM,48.160,,,,,
111,12/23/18 03:00:00 AM,49.050,,,,,
112,12/23/18 04:00:00 AM,48.339,,,,,
113,12/23/18 05:00:00 AM,47.802,,,,,
114,12/23/18 06:00:00 AM,46.728,,,,,
115,12/23/18 07:00:00 AM,46.008,,,,,
116,12/23/18 08:00:00 AM,45.466,,,,,
117,12/23/18 09:00:00 AM,48.695,,,,,
118,12/23/18 10:00:00 AM,52.050,,,,,
119,12/23/18 11:00:00 AM,60.195,,,,,
120,12/23/18 12:00:00 PM,67.906,,,,,
121,12/23/18 01:00:00 PM,71.168,,,,,
122,12/23/18 02:00:00 PM,68.421,,,,,
