"Plot Title: Als"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 20309221, SEN S/N: 20309221)","Event, units (LGR S/N: 20309221, SEN S/N: 20309221)","Coupler Detached (LGR S/N: 20309221, SEN S/N: 20309221)","Coupler Attached (LGR S/N: 20309221, SEN S/N: 20309221)","Host Connected (LGR S/N: 20309221, SEN S/N: 20309221)","Stopped (LGR S/N: 20309221, SEN S/N: 20309221)","End Of File (LGR S/N: 20309221, SEN S/N: 20309221)"
1,01/02/19 01:32:32 PM,66.366,0.00,,,,,
2,01/02/19 01:32:37 PM,,,Logged,,,,
3,01/02/19 02:32:32 PM,69.449,,,,,,
4,01/02/19 03:32:32 PM,70.308,,,,,,
5,01/02/19 04:32:32 PM,66.022,,,,,,
6,01/02/19 05:32:32 PM,47.624,,,,,,
7,01/02/19 06:32:32 PM,43.099,,,,,,
8,01/02/19 07:32:32 PM,41.067,,,,,,
9,01/02/19 08:32:32 PM,39.947,,,,,,
10,01/02/19 09:32:32 PM,39.947,,,,,,
11,01/02/19 10:32:32 PM,39.007,,,,,,
12,01/02/19 11:32:32 PM,38.440,,,,,,
13,01/03/19 12:32:32 AM,37.488,,,,,,
14,01/03/19 01:32:32 AM,37.679,,,,,,
15,01/03/19 02:32:32 AM,37.488,,,,,,
16,01/03/19 03:32:32 AM,37.297,,,,,,
17,01/03/19 04:32:32 AM,37.297,,,,,,
18,01/03/19 05:32:32 AM,37.297,,,,,,
19,01/03/19 06:32:32 AM,36.914,,,,,,
20,01/03/19 07:32:32 AM,37.679,,,,,,
21,01/03/19 08:32:32 AM,38.250,,,,,,
22,01/03/19 09:32:32 AM,62.769,,,,,,
23,01/03/19 10:32:32 AM,69.793,,,,,,
24,01/03/19 11:32:32 AM,64.996,,,,,,
25,01/03/19 12:32:32 PM,64.310,,,,,,
26,01/03/19 01:32:32 PM,65.851,,,,,,
27,01/03/19 02:32:32 PM,70.308,,,,,,
28,01/03/19 03:32:32 PM,73.234,,,,,,
29,01/03/19 04:32:32 PM,58.476,,,,,,
30,01/03/19 05:32:32 PM,48.160,,,,,,
31,01/03/19 06:32:32 PM,44.922,,,,,,
32,01/03/19 07:32:32 PM,43.099,,,,,,
33,01/03/19 08:32:32 PM,42.363,,,,,,
34,01/03/19 09:32:32 PM,42.548,,,,,,
35,01/03/19 10:32:32 PM,40.881,,,,,,
36,01/03/19 11:32:32 PM,39.947,,,,,,
37,01/04/19 12:32:32 AM,39.573,,,,,,
38,01/04/19 01:32:32 AM,39.007,,,,,,
39,01/04/19 02:32:32 AM,39.007,,,,,,
40,01/04/19 03:32:32 AM,38.629,,,,,,
41,01/04/19 04:32:32 AM,38.818,,,,,,
42,01/04/19 05:32:32 AM,39.007,,,,,,
43,01/04/19 06:32:32 AM,38.629,,,,,,
44,01/04/19 07:32:32 AM,39.196,,,,,,
45,01/04/19 08:32:32 AM,41.439,,,,,,
46,01/04/19 09:32:32 AM,60.368,,,,,,
47,01/04/19 10:32:32 AM,68.248,,,,,,
48,01/04/19 11:32:32 AM,61.054,,,,,,
49,01/04/19 12:32:32 PM,62.425,,,,,,
50,01/04/19 01:32:32 PM,66.193,,,,,,
51,01/04/19 02:32:32 PM,68.592,,,,,,
52,01/04/19 03:32:32 PM,66.022,,,,,,
53,01/04/19 04:32:32 PM,53.623,,,,,,
