"Plot Title: HS"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 10592074, SEN S/N: 10592074)","Event, units (LGR S/N: 10592074, SEN S/N: 10592074)","Coupler Attached (LGR S/N: 10592074, SEN S/N: 10592074)","Host Connected (LGR S/N: 10592074, SEN S/N: 10592074)","Stopped (LGR S/N: 10592074, SEN S/N: 10592074)","End Of File (LGR S/N: 10592074, SEN S/N: 10592074)"
1,01/02/19 02:14:00 PM,55.537,0.00,,,,
2,01/02/19 03:14:00 PM,52.050,,,,,
3,01/02/19 04:14:00 PM,49.582,,,,,
4,01/02/19 05:14:00 PM,46.548,,,,,
5,01/02/19 06:14:00 PM,44.195,,,,,
6,01/02/19 07:14:00 PM,44.379,,,,,
7,01/02/19 08:14:00 PM,45.648,,,,,
8,01/02/19 09:14:00 PM,45.104,,,,,
9,01/02/19 10:14:00 PM,44.560,,,,,
10,01/02/19 11:14:00 PM,44.195,,,,,
11,01/03/19 12:14:00 AM,42.363,,,,,
12,01/03/19 01:14:00 AM,44.013,,,,,
13,01/03/19 02:14:00 AM,43.831,,,,,
14,01/03/19 03:14:00 AM,42.732,,,,,
15,01/03/19 04:14:00 AM,42.915,,,,,
16,01/03/19 05:14:00 AM,43.099,,,,,
17,01/03/19 06:14:00 AM,43.466,,,,,
18,01/03/19 07:14:00 AM,43.282,,,,,
19,01/03/19 08:14:00 AM,44.560,,,,,
20,01/03/19 09:14:00 AM,45.828,,,,,
21,01/03/19 10:14:00 AM,56.404,,,,,
22,01/03/19 11:14:00 AM,60.883,,,,,
23,01/03/19 12:14:00 PM,59.851,,,,,
24,01/03/19 01:14:00 PM,57.958,,,,,
25,01/03/19 02:14:00 PM,56.750,,,,,
26,01/03/19 03:14:00 PM,55.364,,,,,
27,01/03/19 04:14:00 PM,51.874,,,,,
28,01/03/19 05:14:00 PM,48.695,,,,,
29,01/03/19 06:14:00 PM,48.339,,,,,
30,01/03/19 07:14:00 PM,48.517,,,,,
31,01/03/19 08:14:00 PM,47.802,,,,,
32,01/03/19 09:14:00 PM,48.160,,,,,
33,01/03/19 10:14:00 PM,47.088,,,,,
34,01/03/19 11:14:00 PM,45.828,,,,,
35,01/04/19 12:14:00 AM,45.286,,,,,
36,01/04/19 01:14:00 AM,46.728,,,,,
37,01/04/19 02:14:00 AM,45.286,,,,,
38,01/04/19 03:14:00 AM,45.828,,,,,
39,01/04/19 04:14:00 AM,46.369,,,,,
40,01/04/19 05:14:00 AM,46.548,,,,,
41,01/04/19 06:14:00 AM,46.008,,,,,
42,01/04/19 07:14:00 AM,46.369,,,,,
43,01/04/19 08:14:00 AM,47.624,,,,,
44,01/04/19 09:14:00 AM,47.624,,,,,
45,01/04/19 10:14:00 AM,57.441,,,,,
46,01/04/19 11:14:00 AM,58.303,,,,,
47,01/04/19 12:14:00 PM,58.647,,,,,
48,01/04/19 01:14:00 PM,58.131,,,,,
49,01/04/19 02:14:00 PM,56.057,,,,,
50,01/04/19 03:14:00 PM,54.147,,,,,
51,01/04/19 04:14:00 PM,51.523,,,,,
52,01/04/19 05:14:00 PM,49.937,,,,,
53,01/04/19 06:14:00 PM,49.050,,,,,
54,01/04/19 07:14:00 PM,47.982,,,,,
55,01/04/19 08:14:00 PM,48.871,,,,,
56,01/04/19 09:14:00 PM,48.339,,,,,
57,01/04/19 10:14:00 PM,49.050,,,,,
58,01/04/19 11:14:00 PM,49.228,,,,,
59,01/05/19 12:14:00 AM,50.113,,,,,
60,01/05/19 01:14:00 AM,50.466,,,,,
61,01/05/19 02:14:00 AM,48.160,,,,,
62,01/05/19 03:14:00 AM,48.871,,,,,
63,01/05/19 04:14:00 AM,49.050,,,,,
64,01/05/19 05:14:00 AM,49.404,,,,,
65,01/05/19 06:14:00 AM,50.113,,,,,
66,01/05/19 06:33:20 AM,,0.01,,,,
67,01/05/19 06:35:19 AM,,0.02,,,,
68,01/05/19 06:38:54 AM,,0.03,,,,
69,01/05/19 07:14:00 AM,47.446,,,,,
70,01/05/19 08:14:00 AM,47.446,,,,,
71,01/05/19 09:14:00 AM,48.517,,,,,
72,01/05/19 10:14:00 AM,49.937,,,,,
73,01/05/19 11:14:00 AM,50.113,,,,,
74,01/05/19 12:14:00 PM,50.113,,,,,
75,01/05/19 01:14:00 PM,50.643,,,,,
76,01/05/19 02:14:00 PM,51.699,,,,,
77,01/05/19 03:14:00 PM,51.523,,,,,
78,01/05/19 04:14:00 PM,52.050,,,,,
79,01/05/19 05:14:00 PM,50.113,,,,,
80,01/05/19 06:14:00 PM,49.050,,,,,
81,01/05/19 07:14:00 PM,48.695,,,,,
82,01/05/19 08:14:00 PM,47.982,,,,,
83,01/05/19 09:14:00 PM,47.982,,,,,
84,01/05/19 10:14:00 PM,47.088,,,,,
85,01/05/19 11:14:00 PM,46.908,,,,,
86,01/06/19 12:14:00 AM,47.088,,,,,
87,01/06/19 01:14:00 AM,46.728,,,,,
88,01/06/19 02:14:00 AM,46.728,,,,,
89,01/06/19 03:14:00 AM,47.088,,,,,
90,01/06/19 04:14:00 AM,46.908,,,,,
91,01/06/19 05:14:00 AM,46.548,,,,,
92,01/06/19 06:14:00 AM,47.266,,,,,
93,01/06/19 07:14:00 AM,47.982,,,,,
94,01/06/19 08:14:00 AM,48.339,,,,,
95,01/06/19 09:14:00 AM,48.517,,,,,
96,01/06/19 10:14:00 AM,49.228,,,,,
97,01/06/19 11:14:00 AM,50.113,,,,,
98,01/06/19 12:14:00 PM,49.937,,,,,
99,01/06/19 01:14:00 PM,50.290,,,,,
100,01/06/19 02:14:00 PM,50.113,,,,,
101,01/06/19 03:14:00 PM,49.404,,,,,
102,01/06/19 04:14:00 PM,52.050,,,,,
103,01/06/19 05:14:00 PM,53.100,,,,,
104,01/06/19 06:14:00 PM,53.623,,,,,
105,01/06/19 07:14:00 PM,53.973,,,,,
106,01/06/19 08:14:00 PM,54.147,,,,,
107,01/06/19 09:14:00 PM,54.147,,,,,
108,01/06/19 10:14:00 PM,53.973,,,,,
109,01/06/19 11:14:00 PM,53.449,,,,,
110,01/07/19 12:14:00 AM,51.172,,,,,
111,01/07/19 01:14:00 AM,49.937,,,,,
112,01/07/19 02:14:00 AM,48.695,,,,,
113,01/07/19 03:14:00 AM,47.446,,,,,
114,01/07/19 04:14:00 AM,46.908,,,,,
115,01/07/19 05:14:00 AM,46.188,,,,,
116,01/07/19 06:14:00 AM,46.548,,,,,
117,01/07/19 07:14:00 AM,47.088,,,,,
118,01/07/19 08:14:00 AM,47.624,,,,,
119,01/07/19 09:14:00 AM,49.050,,,,,
120,01/07/19 10:14:00 AM,54.669,,,,,
121,01/07/19 11:14:00 AM,57.441,,,,,
122,01/07/19 12:14:00 PM,57.785,,,,,
123,01/07/19 01:14:00 PM,57.268,,,,,
124,01/07/19 02:14:00 PM,57.096,,,,,
125,01/07/19 03:14:00 PM,55.711,,,,,
126,01/07/19 04:14:00 PM,54.842,,,,,
127,01/07/19 05:14:00 PM,52.925,,,,,
128,01/07/19 06:14:00 PM,51.874,,,,,
129,01/07/19 07:14:00 PM,51.523,,,,,
130,01/07/19 08:14:00 PM,51.346,,,,,
131,01/07/19 09:14:00 PM,52.225,,,,,
132,01/07/19 10:14:00 PM,52.925,,,,,
133,01/07/19 11:14:00 PM,52.925,,,,,
134,01/08/19 12:14:00 AM,52.750,,,,,
135,01/08/19 01:14:00 AM,52.401,,,,,
136,01/08/19 02:14:00 AM,53.100,,,,,
137,01/08/19 03:14:00 AM,53.798,,,,,
138,01/08/19 04:14:00 AM,53.449,,,,,
139,01/08/19 05:14:00 AM,52.925,,,,,
140,01/08/19 06:14:00 AM,52.925,,,,,
141,01/08/19 07:14:00 AM,53.100,,,,,
142,01/08/19 08:14:00 AM,53.623,,,,,
143,01/08/19 09:14:00 AM,55.017,,,,,
144,01/08/19 10:14:00 AM,53.623,,,,,
145,01/08/19 11:14:00 AM,52.925,,,,,
146,01/08/19 12:14:00 PM,54.322,,,,,
147,01/08/19 01:14:00 PM,54.842,,,,,
148,01/08/19 02:14:00 PM,55.189,,,,,
149,01/08/19 03:14:00 PM,55.364,,,,,
150,01/08/19 04:14:00 PM,54.495,,,,,
151,01/08/19 05:14:00 PM,53.449,,,,,
152,01/08/19 06:14:00 PM,53.274,,,,,
153,01/08/19 07:14:00 PM,53.274,,,,,
154,01/08/19 08:14:00 PM,53.798,,,,,
155,01/08/19 09:14:00 PM,54.322,,,,,
156,01/08/19 10:14:00 PM,54.842,,,,,
157,01/08/19 11:14:00 PM,54.669,,,,,
158,01/09/19 12:14:00 AM,52.925,,,,,
159,01/09/19 01:14:00 AM,52.576,,,,,
160,01/09/19 02:14:00 AM,52.750,,,,,
161,01/09/19 03:14:00 AM,52.750,,,,,
162,01/09/19 04:14:00 AM,52.925,,,,,
163,01/09/19 05:14:00 AM,52.925,,,,,
164,01/09/19 06:14:00 AM,53.100,,,,,
165,01/09/19 07:14:00 AM,53.449,,,,,
166,01/09/19 08:14:00 AM,53.623,,,,,
167,01/09/19 09:14:00 AM,53.973,,,,,
168,01/09/19 10:14:00 AM,54.495,,,,,
169,01/09/19 11:14:00 AM,55.364,,,,,
170,01/09/19 12:14:00 PM,56.577,,,,,
171,01/09/19 01:14:00 PM,55.537,,,,,
172,01/09/19 02:14:00 PM,54.842,,,,,
173,01/09/19 03:14:00 PM,54.495,,,,,
