"Plot Title: SF"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 10592086, SEN S/N: 10592086)","Event, units (LGR S/N: 10592086, SEN S/N: 10592086)","Coupler Attached (LGR S/N: 10592086, SEN S/N: 10592086)","Host Connected (LGR S/N: 10592086, SEN S/N: 10592086)","Stopped (LGR S/N: 10592086, SEN S/N: 10592086)","End Of File (LGR S/N: 10592086, SEN S/N: 10592086)"
1,01/03/19 02:00:00 PM,62.083,0.00,,,,
2,01/03/19 03:00:00 PM,62.254,,,,,
3,01/03/19 04:00:00 PM,57.958,,,,,
4,01/03/19 05:00:00 PM,48.160,,,,,
5,01/03/19 06:00:00 PM,43.466,,,,,
6,01/03/19 07:00:00 PM,42.179,,,,,
7,01/03/19 08:00:00 PM,41.625,,,,,
8,01/03/19 09:00:00 PM,43.282,,,,,
9,01/03/19 10:00:00 PM,44.013,,,,,
10,01/03/19 11:00:00 PM,41.254,,,,,
11,01/04/19 12:00:00 AM,40.321,,,,,
12,01/04/19 01:00:00 AM,40.134,,,,,
13,01/04/19 02:00:00 AM,39.947,,,,,
14,01/04/19 03:00:00 AM,40.134,,,,,
15,01/04/19 04:00:00 AM,39.007,,,,,
16,01/04/19 05:00:00 AM,39.384,,,,,
17,01/04/19 06:00:00 AM,40.509,,,,,
18,01/04/19 07:00:00 AM,41.994,,,,,
19,01/04/19 08:00:00 AM,43.099,,,,,
20,01/04/19 09:00:00 AM,48.339,,,,,
21,01/04/19 10:00:00 AM,73.926,,,,,
22,01/04/19 11:00:00 AM,67.564,,,,,
23,01/04/19 12:00:00 PM,66.366,,,,,
24,01/04/19 01:00:00 PM,64.481,,,,,
25,01/04/19 02:00:00 PM,60.883,,,,,
26,01/04/19 03:00:00 PM,55.189,,,,,
27,01/04/19 04:00:00 PM,53.623,,,,,
28,01/04/19 05:00:00 PM,47.802,,,,,
29,01/04/19 06:00:00 PM,46.728,,,,,
30,01/04/19 07:00:00 PM,45.104,,,,,
31,01/04/19 08:00:00 PM,45.648,,,,,
32,01/04/19 09:00:00 PM,45.286,,,,,
33,01/04/19 10:00:00 PM,45.828,,,,,
34,01/04/19 11:00:00 PM,44.742,,,,,
35,01/05/19 12:00:00 AM,45.828,,,,,
36,01/05/19 01:00:00 AM,46.188,,,,,
37,01/05/19 02:00:00 AM,44.742,,,,,
38,01/05/19 03:00:00 AM,44.742,,,,,
39,01/05/19 04:00:00 AM,45.104,,,,,
40,01/05/19 05:00:00 AM,45.104,,,,,
41,01/05/19 06:00:00 AM,45.648,,,,,
42,01/05/19 06:34:45 AM,,0.01,,,,
43,01/05/19 06:39:25 AM,,0.02,,,,
44,01/05/19 06:43:30 AM,,0.03,,,,
45,01/05/19 06:48:47 AM,,0.04,,,,
46,01/05/19 06:51:30 AM,,0.05,,,,
47,01/05/19 06:53:56 AM,,0.06,,,,
48,01/05/19 06:56:18 AM,,0.07,,,,
49,01/05/19 07:00:00 AM,44.379,,,,,
50,01/05/19 07:07:20 AM,,0.08,,,,
51,01/05/19 07:11:06 AM,,0.09,,,,
52,01/05/19 07:14:08 AM,,0.10,,,,
53,01/05/19 07:16:18 AM,,0.11,,,,
54,01/05/19 07:19:13 AM,,0.12,,,,
55,01/05/19 07:21:35 AM,,0.13,,,,
56,01/05/19 07:24:28 AM,,0.14,,,,
57,01/05/19 07:27:07 AM,,0.15,,,,
58,01/05/19 07:32:31 AM,,0.16,,,,
59,01/05/19 07:43:11 AM,,0.17,,,,
60,01/05/19 07:43:12 AM,,0.18,,,,
